【Class:500  Car No:100  TEAM KUNIMITSU HONDA  タイム履歴データ】
LapNo,Best,Pit,Driver,LapTime,Sector1,Sector2,Sector3,Sector4,RankClass,Rank,TimeFired,Time,Speed
1,,,B,01'59.872,00'37.671,00'19.144,00'41.385,00'21.672,13,13,14:49'34.872,00:01'59.872,268.62
2,,,B,01'51.653,00'30.774,00'18.600,00'40.967,00'21.312,14,14,14:51'26.525,00:03'51.525,266.18
3,,,B,04'14.170,01'05.981,00'42.386,01'36.787,00'49.016,14,14,14:55'40.695,00:08'05.695,77.66
4,,,B,02'07.676,00'47.496,00'18.653,00'40.656,00'20.871,14,14,14:57'48.371,00:10'13.371,266.99
5,,,B,01'50.910,00'30.711,00'18.663,00'40.816,00'20.720,14,14,14:59'39.281,00:12'04.281,265.37
6,,,B,01'50.942,00'30.836,00'18.628,00'40.836,00'20.642,13,13,15:01'30.223,00:13'55.223,266.99
7,,,B,01'51.092,00'30.874,00'18.666,00'40.872,00'20.680,13,13,15:03'21.315,00:15'46.315,266.18
8,,,B,01'52.372,00'31.072,00'18.869,00'41.265,00'21.166,13,13,15:05'13.687,00:17'38.687,267.8
9,,,B,01'52.582,00'31.343,00'19.097,00'41.251,00'20.891,13,13,15:07'06.269,00:19'31.269,266.18
10,,,B,01'58.685,00'31.904,00'21.272,00'42.259,00'23.250,13,13,15:09'04.954,00:21'29.954,266.18
11,,,B,02'49.924,00'37.730,00'30.079,01'06.180,00'35.935,12,12,15:11'54.878,00:24'19.878,131.1
12,,,B,03'35.600,00'45.191,00'27.868,01'07.997,01'14.544,12,12,15:15'30.478,00:27'55.478,83.02
13,,,B,03'47.435,00'48.083,00'38.933,01'32.955,00'47.464,12,12,15:19'17.913,00:31'42.913,134.31
14,,,B,03'31.319,00'57.642,00'36.998,01'22.649,00'34.030,12,12,15:22'49.232,00:35'14.232,108.98
15,,,B,01'53.880,00'31.652,00'19.349,00'41.611,00'21.268,12,12,15:24'43.112,00:37'08.112,266.18
16,,,B,01'52.624,00'31.404,00'19.061,00'41.190,00'20.969,12,12,15:26'35.736,00:39'00.736,266.18
17,,,B,01'53.239,00'31.160,00'19.635,00'41.515,00'20.929,12,12,15:28'28.975,00:40'53.975,265.37
18,,,B,01'52.789,00'31.219,00'19.108,00'41.492,00'20.970,11,11,15:30'21.764,00:42'46.764,266.18
19,,,B,01'52.036,00'31.278,00'18.762,00'41.129,00'20.867,9,9,15:32'13.800,00:44'38.800,264.57
20,,,B,01'52.186,00'30.925,00'18.753,00'41.676,00'20.832,7,7,15:34'05.986,00:46'30.986,266.18
21,,,B,01'51.300,00'30.931,00'18.608,00'40.979,00'20.782,6,6,15:35'57.286,00:48'22.286,263.78
22,,,B,01'51.735,00'31.039,00'18.714,00'41.059,00'20.923,5,5,15:37'49.021,00:50'14.021,266.99
23,,P,B,01'57.520,00'31.199,00'18.707,00'41.524,00'26.090,5,5,15:39'46.541,00:52'11.541,264.57
24,,,A,03'04.231,01'40.558,00'19.980,00'41.929,00'21.764,10,10,15:42'50.772,00:55'15.772,259.88
25,,,A,01'55.250,00'32.123,00'19.690,00'42.211,00'21.226,10,10,15:44'46.022,00:57'11.022,262.2
26,,,A,01'54.299,00'31.842,00'19.221,00'41.184,00'22.052,10,10,15:46'40.321,00:59'05.321,262.99
27,,,A,02'08.278,00'32.151,00'19.633,00'40.949,00'35.545,11,11,15:48'48.599,01:01'13.599,265.37
28,,,A,02'54.250,01'15.035,00'36.161,00'41.395,00'21.659,11,11,15:51'42.849,01:04'07.849,266.18
29,,,A,01'52.224,00'31.822,00'18.758,00'41.001,00'20.643,11,11,15:53'35.073,01:06'00.073,264.57
30,,,A,01'51.245,00'30.804,00'18.744,00'41.034,00'20.663,11,11,15:55'26.318,01:07'51.318,263.78
31,BL,,A,01'50.865,00'30.721,00'18.606,00'40.838,00'20.700,11,11,15:57'17.183,01:09'42.183,265.37
32,,,A,01'52.431,00'31.173,00'18.926,00'41.501,00'20.831,11,11,15:59'09.614,01:11'34.614,265.37
33,,,A,01'52.687,00'31.025,00'18.764,00'41.210,00'21.688,11,11,16:01'02.301,01:13'27.301,266.18
34,,,A,01'52.819,00'32.056,00'18.850,00'41.108,00'20.805,10,10,16:02'55.120,01:15'20.120,266.18
35,,,A,01'53.611,00'31.466,00'19.716,00'41.258,00'21.171,10,10,16:04'48.731,01:17'13.731,267.8
36,,,A,01'52.418,00'31.226,00'19.107,00'41.272,00'20.813,10,10,16:06'41.149,01:19'06.149,266.18
37,,,A,01'54.250,00'31.555,00'18.980,00'41.526,00'22.189,10,10,16:08'35.399,01:21'00.399,256.84
38,,,A,01'53.346,00'31.222,00'19.770,00'41.441,00'20.913,10,10,16:10'28.745,01:22'53.745,265.37
39,,,A,03'08.682,00'31.089,00'23.000,01'35.734,00'38.859,10,10,16:13'37.427,01:26'02.427,86.03
40,,,A,02'31.315,00'48.705,00'24.083,00'54.185,00'24.342,10,10,16:16'08.742,01:28'33.742,197.83
41,,,A,03'12.492,00'35.562,00'22.069,01'23.594,00'51.267,10,10,16:19'21.234,01:31'46.234,75.26
