【Class:500  Car No:14  TGR TEAM ENEOS ROOKIE TOYOTA  タイム履歴データ】
LapNo,Best,Pit,Driver,LapTime,Sector1,Sector2,Sector3,Sector4,RankClass,Rank,TimeFired,Time,Speed
1,,,B,01'56.437,00'34.986,00'18.810,00'41.381,00'21.260,8,8,14:49'31.437,00:01'56.437,269.44
2,,,B,01'50.772,00'30.851,00'18.527,00'40.740,00'20.654,8,8,14:51'22.209,00:03'47.209,267.8
3,,,B,04'03.995,00'56.842,00'42.190,01'36.203,00'48.760,8,8,14:55'26.204,00:07'51.204,79.34
4,,,B,02'15.597,00'55.574,00'18.799,00'40.740,00'20.484,8,8,14:57'41.801,00:10'06.801,266.99
5,,,B,01'49.798,00'30.491,00'18.355,00'40.473,00'20.479,7,7,14:59'31.599,00:11'56.599,267.8
6,BL,,B,01'49.763,00'30.448,00'18.363,00'40.469,00'20.483,7,7,15:01'21.362,00:13'46.362,268.62
7,,,B,01'50.512,00'30.602,00'18.495,00'40.724,00'20.691,7,7,15:03'11.874,00:15'36.874,267.8
8,,,B,01'52.949,00'31.211,00'19.360,00'41.044,00'21.334,7,7,15:05'04.823,00:17'29.823,268.62
9,,,B,01'54.564,00'31.097,00'19.024,00'42.301,00'22.142,6,6,15:06'59.387,00:19'24.387,266.99
10,,,B,01'54.841,00'32.500,00'19.806,00'41.324,00'21.211,6,6,15:08'54.228,00:21'19.228,268.62
11,,,B,02'34.830,00'32.218,00'26.647,01'04.205,00'31.760,6,6,15:11'29.058,00:23'54.058,175.67
12,,,B,03'29.993,00'43.904,00'26.105,01'18.724,01'01.260,6,6,15:14'59.051,00:27'24.051,70.49
13,,,B,04'06.539,01'05.926,00'42.223,01'29.864,00'48.526,6,6,15:19'05.590,00:31'30.590,101.31
14,,,B,03'38.899,01'02.071,00'35.855,01'24.082,00'36.891,6,6,15:22'44.489,00:35'09.489,96.52
15,,,B,01'52.827,00'31.786,00'18.981,00'41.165,00'20.895,6,6,15:24'37.316,00:37'02.316,266.18
16,,,B,01'51.548,00'30.963,00'18.684,00'40.997,00'20.904,6,6,15:26'28.864,00:38'53.864,266.99
17,,,B,01'52.027,00'31.132,00'18.900,00'41.028,00'20.967,6,6,15:28'20.891,00:40'45.891,268.62
18,,,B,01'52.237,00'31.398,00'18.667,00'41.185,00'20.987,5,5,15:30'13.128,00:42'38.128,268.62
19,,,B,01'52.059,00'30.992,00'18.689,00'41.074,00'21.304,5,5,15:32'05.187,00:44'30.187,267.8
20,,,B,01'51.971,00'31.398,00'18.723,00'41.098,00'20.752,4,4,15:33'57.158,00:46'22.158,267.8
21,,,B,01'51.892,00'31.133,00'18.699,00'41.109,00'20.951,3,3,15:35'49.050,00:48'14.050,267.8
