【Class:500  Car No:16  TEAM Red Bull MUGEN HONDA  タイム履歴データ】
LapNo,Best,Pit,Driver,LapTime,Sector1,Sector2,Sector3,Sector4,RankClass,Rank,TimeFired,Time,Speed
1,,,A,01'51.820,00'31.266,00'18.653,00'40.624,00'21.277,4,4,14:49'26.820,00:01'51.820,268.62
2,,,A,01'51.697,00'31.331,00'18.762,00'40.914,00'20.690,5,5,14:51'18.517,00:03'43.517,267.8
3,,,A,03'58.088,00'51.693,00'41.924,01'35.903,00'48.568,5,5,14:55'16.605,00:07'41.605,78.42
4,,,A,02'20.134,01'00.078,00'18.788,00'40.762,00'20.506,4,4,14:57'36.739,00:10'01.739,267.8
5,BL,,A,01'50.326,00'30.526,00'18.486,00'40.687,00'20.627,4,4,14:59'27.065,00:11'52.065,266.99
6,,,A,01'50.452,00'30.555,00'18.528,00'40.802,00'20.567,4,4,15:01'17.517,00:13'42.517,267.8
7,,,A,01'51.374,00'30.763,00'18.544,00'40.932,00'21.135,4,4,15:03'08.891,00:15'33.891,269.44
8,,,A,01'53.458,00'31.859,00'19.617,00'41.298,00'20.684,4,4,15:05'02.349,00:17'27.349,266.18
9,,,A,01'55.864,00'31.233,00'19.636,00'42.343,00'22.652,4,4,15:06'58.213,00:19'23.213,263.78
10,,,A,01'54.498,00'32.744,00'19.195,00'41.340,00'21.219,4,4,15:08'52.711,00:21'17.711,267.8
11,,,A,02'33.143,00'31.522,00'26.288,01'03.023,00'32.310,4,4,15:11'25.854,00:23'50.854,175.32
12,,,A,03'27.921,00'43.442,00'26.177,01'18.049,01'00.253,4,4,15:14'53.775,00:27'18.775,74.44
13,,,A,04'08.946,01'08.727,00'42.349,01'29.576,00'48.294,4,4,15:19'02.721,00:31'27.721,76.64
14,,,A,03'40.573,01'01.599,00'36.649,01'24.816,00'37.509,4,4,15:22'43.294,00:35'08.294,89.81
15,,,A,01'52.138,00'31.407,00'18.913,00'41.119,00'20.699,4,4,15:24'35.432,00:37'00.432,265.37
16,,,A,01'51.398,00'30.854,00'18.710,00'41.064,00'20.770,4,4,15:26'26.830,00:38'51.830,266.18
17,,,A,01'52.453,00'31.560,00'18.945,00'41.131,00'20.817,4,4,15:28'19.283,00:40'44.283,266.18
18,,P,A,01'55.755,00'30.923,00'18.821,00'41.062,00'24.949,6,6,15:30'15.038,00:42'40.038,267.8
19,,,B,03'03.273,01'38.633,00'20.694,00'42.428,00'21.518,11,11,15:33'18.311,00:45'43.311,264.57
20,,,B,01'55.718,00'32.424,00'19.697,00'41.991,00'21.606,10,10,15:35'14.029,00:47'39.029,266.18
21,,,B,01'51.899,00'31.181,00'19.095,00'41.101,00'20.522,9,9,15:37'05.928,00:49'30.928,265.37
22,,,B,01'51.419,00'31.175,00'18.678,00'41.008,00'20.558,9,9,15:38'57.347,00:51'22.347,264.57
23,,,B,01'50.401,00'30.526,00'18.582,00'40.759,00'20.534,9,9,15:40'47.748,00:53'12.748,266.18
24,,,B,01'55.119,00'31.492,00'19.318,00'42.253,00'22.056,7,7,15:42'42.867,00:55'07.867,270.27
25,,,B,01'53.860,00'32.282,00'19.507,00'41.451,00'20.620,7,7,15:44'36.727,00:57'01.727,263.78
26,,,B,01'53.745,00'31.177,00'19.365,00'41.184,00'22.019,7,7,15:46'30.472,00:58'55.472,270.27
27,,,B,01'52.972,00'31.655,00'19.349,00'41.245,00'20.723,6,6,15:48'23.444,01:00'48.444,264.57
28,,,B,02'56.510,01'04.478,00'41.937,00'49.282,00'20.813,6,6,15:51'19.954,01:03'44.954,264.57
29,,,B,01'51.871,00'30.990,00'18.886,00'41.189,00'20.806,6,6,15:53'11.825,01:05'36.825,263.78
30,,,B,01'52.965,00'30.886,00'19.947,00'41.427,00'20.705,6,6,15:55'04.790,01:07'29.790,266.18
31,,,B,01'51.875,00'30.989,00'19.038,00'41.148,00'20.700,6,6,15:56'56.665,01:09'21.665,265.37
32,,,B,01'54.065,00'31.769,00'19.298,00'42.045,00'20.953,6,6,15:58'50.730,01:11'15.730,265.37
33,,P,B,01'56.805,00'31.297,00'19.075,00'41.408,00'25.025,9,9,16:00'47.535,01:13'12.535,264.57
34,,,B,02'45.522,01'23.345,00'19.723,00'41.665,00'20.789,13,13,16:03'33.057,01:15'58.057,264.57
35,,,B,01'52.258,00'31.195,00'18.810,00'41.424,00'20.829,13,13,16:05'25.315,01:17'50.315,262.2
36,,,B,01'53.161,00'31.038,00'19.596,00'41.733,00'20.794,13,13,16:07'18.476,01:19'43.476,262.99
37,,P,B,01'58.965,00'31.279,00'19.371,00'42.174,00'26.141,13,13,16:09'17.441,01:21'42.441,262.99
38,,,B,,01'32.060,00'22.675,,,13,13,16:11'12.176,01:23'37.176,
