【Class:500  Car No:17  Astemo REAL RACING HONDA  タイム履歴データ】
LapNo,Best,Pit,Driver,LapTime,Sector1,Sector2,Sector3,Sector4,RankClass,Rank,TimeFired,Time,Speed
1,,,B,01'51.952,00'31.724,00'18.648,00'40.611,00'20.969,5,5,14:49'26.952,00:01'51.952,266.99
2,,,B,01'50.908,00'30.770,00'18.608,00'40.986,00'20.544,3,3,14:51'17.860,00:03'42.860,266.18
3,,,B,03'57.703,00'50.011,00'42.211,01'36.589,00'48.892,3,3,14:55'15.563,00:07'40.563,78.99
4,,,B,02'20.533,01'00.348,00'19.103,00'40.665,00'20.417,3,3,14:57'36.096,00:10'01.096,265.37
5,BL,,B,01'49.389,00'30.169,00'18.456,00'40.420,00'20.344,3,3,14:59'25.485,00:11'50.485,266.99
6,,,B,01'49.934,00'30.284,00'18.541,00'40.751,00'20.358,3,3,15:01'15.419,00:13'40.419,266.99
7,,,B,01'51.098,00'30.400,00'18.607,00'41.340,00'20.751,3,3,15:03'06.517,00:15'31.517,266.18
8,,,B,01'52.586,00'31.275,00'19.866,00'40.883,00'20.562,3,3,15:04'59.103,00:17'24.103,266.18
9,,,B,01'55.106,00'31.795,00'19.792,00'42.464,00'21.055,3,3,15:06'54.209,00:19'19.209,267.8
10,,,B,01'52.849,00'30.803,00'19.305,00'41.430,00'21.311,3,3,15:08'47.058,00:21'12.058,264.57
11,,,B,02'17.250,00'31.511,00'19.323,00'50.986,00'35.430,3,3,15:11'04.308,00:23'29.308,177.81
12,,,B,03'32.316,00'37.884,00'28.293,01'35.324,00'50.815,3,3,15:14'36.624,00:27'01.624,106.47
13,,,B,04'23.661,01'25.039,00'41.224,01'30.848,00'46.550,3,3,15:19'00.285,00:31'25.285,75.2
14,,,B,03'42.525,01'03.245,00'35.914,01'25.382,00'37.984,3,3,15:22'42.810,00:35'07.810,88.63
15,,,B,01'51.114,00'30.994,00'18.741,00'40.806,00'20.573,3,3,15:24'33.924,00:36'58.924,267.8
16,,,B,01'51.051,00'30.749,00'18.677,00'41.015,00'20.610,3,3,15:26'24.975,00:38'49.975,265.37
17,,,B,01'51.742,00'31.309,00'18.810,00'41.090,00'20.533,3,3,15:28'16.717,00:40'41.717,263.78
18,,,B,01'50.901,00'30.610,00'18.720,00'40.958,00'20.613,3,3,15:30'07.618,00:42'32.618,265.37
19,,,B,01'51.697,00'30.657,00'18.813,00'41.578,00'20.649,2,2,15:31'59.315,00:44'24.315,264.57
20,,P,B,01'55.985,00'30.634,00'18.732,00'41.213,00'25.406,2,2,15:33'55.300,00:46'20.300,263.78
21,,,A,03'01.396,01'36.049,00'20.502,00'42.415,00'22.430,7,7,15:36'56.696,00:49'21.696,263.78
22,,,A,01'52.222,00'31.193,00'19.066,00'40.983,00'20.980,7,7,15:38'48.918,00:51'13.918,262.99
23,,,A,01'51.757,00'30.698,00'18.937,00'41.348,00'20.774,7,7,15:40'40.675,00:53'05.675,264.57
24,,,A,01'52.248,00'30.959,00'19.467,00'41.025,00'20.797,4,4,15:42'32.923,00:54'57.923,263.78
25,,,A,01'52.319,00'31.468,00'18.874,00'41.024,00'20.953,3,3,15:44'25.242,00:56'50.242,266.18
26,,,A,01'51.470,00'31.229,00'18.673,00'40.897,00'20.671,3,3,15:46'16.712,00:58'41.712,262.99
27,,,A,01'50.745,00'30.586,00'18.583,00'40.848,00'20.728,3,3,15:48'07.457,01:00'32.457,262.99
28,,,A,03'01.761,00'44.774,00'42.468,01'13.449,00'21.070,2,2,15:51'09.218,01:03'34.218,261.42
29,,,A,01'50.738,00'30.502,00'18.649,00'40.940,00'20.647,2,2,15:52'59.956,01:05'24.956,263.78
