【Class:500  Car No:19  TGR TEAM WedsSport BANDOH TOYOTA  タイム履歴データ】
LapNo,Best,Pit,Driver,LapTime,Sector1,Sector2,Sector3,Sector4,RankClass,Rank,TimeFired,Time,Speed
1,,,A,01'51.376,00'29.810,00'18.649,00'41.264,00'21.653,3,3,14:49'26.376,00:01'51.376,260.65
2,,,A,01'51.822,00'30.916,00'18.648,00'41.005,00'21.253,4,4,14:51'18.198,00:03'43.198,261.42
3,,,A,03'57.799,00'51.403,00'41.984,01'35.920,00'48.492,4,4,14:55'15.997,00:07'40.997,79.7
4,,,A,02'21.895,01'01.260,00'18.995,00'41.029,00'20.611,5,5,14:57'37.892,00:10'02.892,262.99
5,BL,,A,01'50.628,00'30.571,00'18.625,00'40.666,00'20.766,5,5,14:59'28.520,00:11'53.520,263.78
6,,,A,01'50.662,00'30.641,00'18.429,00'40.851,00'20.741,5,5,15:01'19.182,00:13'44.182,265.37
7,,,A,01'50.983,00'30.675,00'18.446,00'40.944,00'20.918,5,5,15:03'10.165,00:15'35.165,266.18
8,,,A,01'53.198,00'31.466,00'19.143,00'41.590,00'20.999,5,5,15:05'03.363,00:17'28.363,265.37
9,,,A,01'55.113,00'31.036,00'19.229,00'42.722,00'22.126,5,5,15:06'58.476,00:19'23.476,269.44
10,,,A,01'55.118,00'33.115,00'19.710,00'41.274,00'21.019,5,5,15:08'53.594,00:21'18.594,264.57
11,,,A,02'32.836,00'31.751,00'25.697,01'03.134,00'32.254,5,5,15:11'26.430,00:23'51.430,168.59
12,,,A,03'28.774,00'43.504,00'26.168,01'18.291,01'00.811,5,5,15:14'55.204,00:27'20.204,78.7
13,,,A,04'09.141,01'08.829,00'42.047,01'29.238,00'49.027,5,5,15:19'04.345,00:31'29.345,67.72
14,,,A,03'39.515,01'01.355,00'36.361,01'24.504,00'37.295,5,5,15:22'43.860,00:35'08.860,91.02
15,,,A,01'52.399,00'31.424,00'18.896,00'41.244,00'20.835,5,5,15:24'36.259,00:37'01.259,262.99
16,,,A,01'51.541,00'30.794,00'18.791,00'41.078,00'20.878,5,5,15:26'27.800,00:38'52.800,263.78
17,,,A,01'52.410,00'31.373,00'18.977,00'41.102,00'20.958,5,5,15:28'20.210,00:40'45.210,264.57
18,,,A,01'52.281,00'31.494,00'18.776,00'41.226,00'20.785,4,4,15:30'12.491,00:42'37.491,263.78
19,,,A,01'52.423,00'30.843,00'18.698,00'41.086,00'21.796,4,4,15:32'04.914,00:44'29.914,266.18
20,,,A,01'51.664,00'31.093,00'18.647,00'41.077,00'20.847,3,3,15:33'56.578,00:46'21.578,263.78
21,,,A,01'51.745,00'31.022,00'18.786,00'41.061,00'20.876,2,2,15:35'48.323,00:48'13.323,262.99
22,,,A,01'51.805,00'31.021,00'18.657,00'41.196,00'20.931,1,1,15:37'40.128,00:50'05.128,263.78
23,,,A,01'52.410,00'31.640,00'18.723,00'41.150,00'20.897,1,1,15:39'32.538,00:51'57.538,264.57
24,,P,A,01'59.148,00'32.130,00'19.490,00'41.574,00'25.954,2,2,15:41'31.686,00:53'56.686,265.37
25,,,B,03'00.057,01'36.392,00'20.130,00'42.119,00'21.416,5,5,15:44'31.743,00:56'56.743,261.42
26,,,B,01'53.381,00'31.431,00'19.151,00'41.522,00'21.277,5,5,15:46'25.124,00:58'50.124,265.37
27,,,B,01'50.859,00'30.642,00'18.437,00'40.844,00'20.936,5,5,15:48'15.983,01:00'40.983,262.2
28,,,B,02'58.395,00'51.523,00'42.024,01'03.668,00'21.180,5,5,15:51'14.378,01:03'39.378,262.2
29,,,B,01'52.507,00'31.244,00'19.052,00'41.201,00'21.010,5,5,15:53'06.885,01:05'31.885,263.78
30,,,B,01'52.807,00'31.364,00'19.010,00'41.352,00'21.081,5,5,15:54'59.692,01:07'24.692,264.57
31,,,B,01'51.878,00'30.867,00'18.665,00'41.316,00'21.030,5,5,15:56'51.570,01:09'16.570,262.99
32,,,B,01'52.668,00'31.106,00'18.805,00'41.651,00'21.106,5,5,15:58'44.238,01:11'09.238,264.57
33,,,B,01'52.474,00'31.276,00'18.911,00'41.272,00'21.015,5,5,16:00'36.712,01:13'01.712,264.57
34,,,B,01'53.077,00'31.459,00'18.985,00'41.330,00'21.303,5,5,16:02'29.789,01:14'54.789,264.57
35,,,B,01'55.718,00'31.497,00'19.691,00'42.850,00'21.680,5,5,16:04'25.507,01:16'50.507,266.99
36,,,B,01'53.866,00'31.906,00'19.195,00'41.405,00'21.360,5,5,16:06'19.373,01:18'44.373,265.37
37,,,B,01'52.775,00'31.477,00'19.020,00'41.395,00'20.883,5,5,16:08'12.148,01:20'37.148,264.57
38,,,B,01'55.530,00'32.396,00'19.432,00'42.420,00'21.282,5,5,16:10'07.678,01:22'32.678,263.78
39,,,B,02'57.616,00'32.946,00'19.556,01'23.096,00'42.018,5,5,16:13'05.294,01:25'30.294,80.07
40,,,B,02'23.456,00'40.536,00'23.030,00'54.586,00'25.304,5,5,16:15'28.750,01:27'53.750,239.34
41,,,B,03'29.960,00'35.670,00'34.016,01'30.923,00'49.351,5,5,16:18'58.710,01:31'23.710,95.06
42,,,B,04'08.905,01'18.528,00'41.252,01'25.522,00'43.603,5,5,16:23'07.615,01:35'32.615,88.37
43,,,B,03'39.426,01'02.391,00'37.535,01'22.146,00'37.354,5,5,16:26'47.041,01:39'12.041,96.1
44,,,B,01'53.903,00'32.372,00'19.140,00'41.502,00'20.889,5,5,16:28'40.944,01:41'05.944,264.57
45,,,B,01'51.722,00'31.032,00'18.757,00'41.201,00'20.732,5,5,16:30'32.666,01:42'57.666,265.37
46,,,B,01'51.170,00'30.725,00'18.652,00'41.012,00'20.781,5,5,16:32'23.836,01:44'48.836,264.57
47,,,B,01'50.977,00'30.686,00'18.650,00'40.975,00'20.666,5,5,16:34'14.813,01:46'39.813,264.57
48,,,B,01'50.922,00'30.573,00'18.552,00'40.985,00'20.812,5,5,16:36'05.735,01:48'30.735,264.57
49,,,B,01'50.830,00'30.545,00'18.535,00'40.983,00'20.767,5,5,16:37'56.565,01:50'21.565,265.37
50,,,B,01'51.547,00'30.677,00'18.601,00'41.163,00'21.106,5,5,16:39'48.112,01:52'13.112,264.57
51,,,B,01'52.566,00'30.930,00'19.192,00'41.524,00'20.920,5,5,16:41'40.678,01:54'05.678,264.57
52,,,B,01'53.574,00'30.918,00'19.044,00'42.059,00'21.553,5,5,16:43'34.252,01:55'59.252,264.57
53,,,B,,00'50.189,00'37.100,01'13.644,,4,4,16:46'15.185,01:58'40.185,130.52
