【Class:300  Car No:2  muta Racing INGING TOYOTA  タイム履歴データ】
LapNo,Best,Pit,Driver,LapTime,Sector1,Sector2,Sector3,Sector4,RankClass,Rank,TimeFired,Time,Speed
1,,,A,02'34.990,01'04.774,00'21.783,00'45.633,00'22.800,12,27,14:50'09.990,00:02'34.990,243.32
2,,,A,02'55.317,00'34.318,00'20.806,01'11.309,00'48.884,12,26,14:53'05.307,00:05'30.307,79.92
3,,,A,03'35.375,01'13.504,00'41.690,01'16.930,00'23.251,12,26,14:56'40.682,00:09'05.682,243.99
4,,,A,02'02.979,00'34.144,00'20.803,00'45.223,00'22.809,12,26,14:58'43.661,00:11'08.661,242.65
5,,,A,02'02.708,00'34.041,00'20.913,00'44.960,00'22.794,12,26,15:00'46.369,00:13'11.369,240.65
6,,,A,02'02.766,00'34.041,00'20.741,00'45.218,00'22.766,12,26,15:02'49.135,00:15'14.135,242.65
7,,,A,02'03.557,00'34.178,00'21.092,00'45.382,00'22.905,12,26,15:04'52.692,00:17'17.692,243.32
8,,,A,02'04.775,00'34.842,00'21.405,00'45.742,00'22.786,12,26,15:06'57.467,00:19'22.467,243.99
9,,,A,02'06.591,00'35.309,00'21.466,00'46.253,00'23.563,12,26,15:09'04.058,00:21'29.058,242.65
10,,,A,02'53.375,00'39.711,00'29.983,01'06.698,00'36.983,11,25,15:11'57.433,00:24'22.433,128.6
11,,,A,03'40.032,00'45.545,00'27.109,01'08.860,01'18.518,11,24,15:15'37.465,00:28'02.465,75.52
12,,,A,04'03.518,01'48.700,00'30.303,00'54.984,00'49.531,11,24,15:19'40.983,00:32'05.983,97.92
13,,,A,03'20.067,00'52.918,00'39.395,01'13.583,00'34.171,11,24,15:23'01.050,00:35'26.050,130.71
14,,,A,02'04.398,00'34.627,00'21.024,00'45.525,00'23.222,10,23,15:25'05.448,00:37'30.448,243.99
15,,,A,02'04.418,00'34.984,00'20.975,00'45.306,00'23.153,11,24,15:27'09.866,00:39'34.866,241.98
16,,P,A,02'07.760,00'34.906,00'21.059,00'45.429,00'26.366,14,27,15:29'17.626,00:41'42.626,242.65
17,,,B,03'11.370,01'41.462,00'21.478,00'45.636,00'22.794,21,34,15:32'28.996,00:44'53.996,240.65
18,,,B,02'02.929,00'34.125,00'20.928,00'45.319,00'22.557,18,31,15:34'31.925,00:46'56.925,239.99
19,,,B,02'02.417,00'34.074,00'20.699,00'45.126,00'22.518,17,30,15:36'34.342,00:48'59.342,239.99
20,BL,,B,02'01.936,00'33.565,00'20.470,00'45.214,00'22.687,17,30,15:38'36.278,00:51'01.278,240.65
21,,,B,02'03.692,00'34.464,00'21.027,00'45.295,00'22.906,16,29,15:40'39.970,00:53'04.970,241.98
22,,,B,02'03.416,00'34.014,00'20.993,00'45.213,00'23.196,16,29,15:42'43.386,00:55'08.386,241.98
23,,,B,02'03.057,00'34.148,00'20.814,00'45.400,00'22.695,16,29,15:44'46.443,00:57'11.443,241.98
24,,,B,02'03.462,00'34.465,00'20.940,00'45.278,00'22.779,16,29,15:46'49.905,00:59'14.905,241.98
25,,,B,02'35.065,00'34.165,00'20.905,00'51.575,00'48.420,15,28,15:49'24.970,01:01'49.970,79.34
26,,,B,02'39.981,01'10.357,00'21.340,00'45.518,00'22.766,15,28,15:52'04.951,01:04'29.951,242.65
27,,,B,02'03.796,00'34.290,00'21.148,00'45.537,00'22.821,15,28,15:54'08.747,01:06'33.747,243.32
28,,,B,02'03.392,00'34.331,00'20.932,00'45.407,00'22.722,15,28,15:56'12.139,01:08'37.139,242.65
29,,,B,02'03.524,00'34.343,00'20.812,00'45.648,00'22.721,14,27,15:58'15.663,01:10'40.663,242.65
30,,,B,02'03.889,00'34.663,00'20.917,00'45.602,00'22.707,14,27,16:00'19.552,01:12'44.552,242.65
31,,,B,02'03.651,00'34.270,00'20.901,00'45.657,00'22.823,14,27,16:02'23.203,01:14'48.203,241.98
32,,,B,02'06.433,00'34.468,00'20.932,00'45.840,00'25.193,15,28,16:04'29.636,01:16'54.636,243.99
33,,,B,02'05.205,00'35.705,00'21.098,00'45.548,00'22.854,16,29,16:06'34.841,01:18'59.841,240.65
34,,,B,02'04.032,00'34.495,00'20.900,00'45.689,00'22.948,15,28,16:08'38.873,01:21'03.873,243.99
35,,,B,02'05.195,00'34.545,00'21.461,00'46.183,00'23.006,16,29,16:10'44.068,01:23'09.068,241.98
36,,,B,03'09.021,00'37.382,00'41.822,01'17.622,00'32.195,15,28,16:13'53.089,01:26'18.089,160.87
37,,,B,02'34.599,00'46.966,00'24.614,00'56.757,00'26.262,15,28,16:16'27.688,01:28'52.688,184.53
38,,,B,03'20.126,00'37.515,00'23.500,01'18.097,01'01.014,15,27,16:19'47.814,01:32'12.814,82.78
39,,,B,03'55.297,01'15.580,00'29.830,01'25.441,00'44.446,15,27,16:23'43.111,01:36'08.111,119.02
40,,,B,03'20.937,00'53.998,00'38.396,01'13.694,00'34.849,15,27,16:27'04.048,01:39'29.048,138.98
41,,,B,02'05.669,00'34.933,00'21.507,00'46.182,00'23.047,15,27,16:29'09.717,01:41'34.717,242.65
42,,,B,02'03.983,00'34.472,00'21.023,00'45.482,00'23.006,14,26,16:31'13.700,01:43'38.700,243.32
43,,,B,02'04.529,00'34.850,00'21.162,00'45.585,00'22.932,14,26,16:33'18.229,01:45'43.229,241.98
44,,,B,02'03.832,00'34.436,00'21.014,00'45.321,00'23.061,14,26,16:35'22.061,01:47'47.061,243.99
45,,,B,02'03.966,00'34.493,00'21.096,00'45.523,00'22.854,14,26,16:37'26.027,01:49'51.027,245.36
46,,,B,02'03.566,00'34.411,00'20.946,00'45.420,00'22.789,14,26,16:39'29.593,01:51'54.593,243.99
47,,,B,02'04.086,00'34.442,00'21.051,00'45.648,00'22.945,14,26,16:41'33.679,01:53'58.679,243.32
48,,,B,02'07.359,00'35.393,00'21.553,00'46.206,00'24.207,13,25,16:43'41.038,01:56'06.038,244.67
49,,,B,,00'56.881,00'35.253,01'23.876,,14,26,16:46'37.048,01:59'02.048,122.85
