【Class:500  Car No:23  NISMO NISSAN  タイム履歴データ】
LapNo,Best,Pit,Driver,LapTime,Sector1,Sector2,Sector3,Sector4,RankClass,Rank,TimeFired,Time,Speed
1,,,B,01'58.417,00'37.021,00'18.897,00'41.628,00'20.871,11,11,14:49'33.417,00:01'58.417,274.49
2,,,B,01'51.312,00'31.255,00'18.767,00'40.642,00'20.648,11,11,14:51'24.729,00:03'49.729,269.44
3,,,B,04'11.070,01'03.494,00'42.074,01'36.423,00'49.079,11,11,14:55'35.799,00:08'00.799,79.56
4,,,B,02'10.518,00'50.769,00'18.795,00'40.475,00'20.479,11,11,14:57'46.317,00:10'11.317,267.8
5,BL,,B,01'50.199,00'30.582,00'18.474,00'40.570,00'20.573,11,11,14:59'36.516,00:12'01.516,269.44
6,,,B,01'50.370,00'30.875,00'18.499,00'40.533,00'20.463,10,10,15:01'26.886,00:13'51.886,271.11
7,,,B,01'50.518,00'30.984,00'18.569,00'40.498,00'20.467,10,10,15:03'17.404,00:15'42.404,271.11
8,,,B,01'52.949,00'31.186,00'18.944,00'41.417,00'21.402,10,10,15:05'10.353,00:17'35.353,271.11
9,,,B,01'53.145,00'31.931,00'18.996,00'41.371,00'20.847,10,10,15:07'03.498,00:19'28.498,271.95
10,,,B,01'59.100,00'33.370,00'20.990,00'42.423,00'22.317,10,10,15:09'02.598,00:21'27.598,270.27
11,,,B,02'44.947,00'33.964,00'30.206,01'06.889,00'33.888,10,10,15:11'47.545,00:24'12.545,140.99
12,,,B,03'31.796,00'46.414,00'28.158,01'07.723,01'09.501,10,10,15:15'19.341,00:27'44.341,94.24
13,,,B,03'56.082,00'55.546,00'40.079,01'31.532,00'48.925,10,10,15:19'15.423,00:31'40.423,93.54
14,,,B,03'31.941,00'57.824,00'36.598,01'23.363,00'34.156,10,10,15:22'47.364,00:35'12.364,114.82
15,,,B,01'54.618,00'32.048,00'20.149,00'41.545,00'20.876,10,10,15:24'41.982,00:37'06.982,269.44
16,,,B,01'52.365,00'31.456,00'18.979,00'41.130,00'20.800,10,10,15:26'34.347,00:38'59.347,268.62
17,,,B,01'53.512,00'31.275,00'20.187,00'41.351,00'20.699,10,10,15:28'27.859,00:40'52.859,268.62
18,,,B,01'52.036,00'30.962,00'19.453,00'40.966,00'20.655,10,10,15:30'19.895,00:42'44.895,269.44
19,,,B,01'52.641,00'32.019,00'18.991,00'40.912,00'20.719,8,8,15:32'12.536,00:44'37.536,269.44
20,,P,B,01'55.795,00'30.887,00'19.285,00'40.976,00'24.647,8,8,15:34'08.331,00:46'33.331,269.44
21,,,A,03'05.131,01'42.472,00'20.131,00'41.720,00'20.808,12,12,15:37'13.462,00:49'38.462,266.18
22,,,A,01'54.324,00'32.265,00'19.224,00'41.107,00'21.728,12,12,15:39'07.786,00:51'32.786,268.62
23,,,A,01'51.336,00'30.754,00'18.883,00'40.842,00'20.857,12,12,15:40'59.122,00:53'24.122,270.27
24,,,A,01'51.900,00'31.215,00'18.925,00'40.743,00'21.017,11,11,15:42'51.022,00:55'16.022,270.27
25,,,A,01'55.329,00'32.045,00'20.193,00'41.737,00'21.354,11,11,15:44'46.351,00:57'11.351,268.62
26,,,A,01'54.202,00'31.923,00'19.152,00'41.178,00'21.949,11,11,15:46'40.553,00:59'05.553,269.44
27,,,A,02'07.593,00'32.197,00'19.750,00'40.846,00'34.800,10,10,15:48'48.146,01:01'13.146,270.27
28,,,A,02'53.676,01'14.499,00'36.836,00'41.256,00'21.085,10,10,15:51'41.822,01:04'06.822,266.99
29,,,A,01'51.763,00'31.338,00'18.749,00'41.123,00'20.553,10,10,15:53'33.585,01:05'58.585,266.18
30,,,A,01'51.124,00'30.672,00'18.823,00'41.117,00'20.512,10,10,15:55'24.709,01:07'49.709,266.99
31,,,A,01'51.945,00'30.718,00'18.737,00'41.028,00'21.462,10,10,15:57'16.654,01:09'41.654,267.8
32,,,A,01'52.404,00'31.299,00'18.915,00'41.518,00'20.672,10,10,15:59'09.058,01:11'34.058,266.99
33,,,A,01'53.038,00'31.022,00'18.805,00'41.270,00'21.941,10,10,16:01'02.096,01:13'27.096,268.62
34,,,A,01'52.750,00'31.532,00'18.928,00'41.343,00'20.947,9,9,16:02'54.846,01:15'19.846,266.99
35,,,A,01'53.589,00'31.396,00'19.756,00'41.392,00'21.045,9,9,16:04'48.435,01:17'13.435,266.99
36,,,A,01'52.020,00'31.178,00'18.987,00'41.219,00'20.636,9,9,16:06'40.455,01:19'05.455,268.62
37,,,A,01'53.242,00'31.491,00'19.138,00'41.735,00'20.878,9,9,16:08'33.697,01:20'58.697,267.8
38,,,A,01'53.371,00'31.444,00'19.705,00'41.416,00'20.806,9,9,16:10'27.068,01:22'52.068,268.62
39,,,A,03'09.055,00'31.404,00'23.704,01'35.754,00'38.193,9,9,16:13'36.123,01:26'01.123,86.03
40,,,A,02'31.644,00'48.907,00'23.273,00'54.319,00'25.145,9,9,16:16'07.767,01:28'32.767,211.66
41,,,A,03'12.527,00'35.258,00'22.087,01'23.967,00'51.215,9,9,16:19'20.294,01:31'45.294,85.86
42,,,A,03'52.684,01'00.980,00'43.463,01'24.847,00'43.394,9,9,16:23'12.978,01:35'37.978,100.61
43,,,A,03'36.200,01'00.506,00'38.465,01'20.404,00'36.825,9,9,16:26'49.178,01:39'14.178,100.15
44,,,A,01'53.736,00'32.173,00'19.286,00'41.421,00'20.856,9,9,16:28'42.914,01:41'07.914,268.62
45,,P,A,01'57.067,00'31.431,00'19.079,00'41.301,00'25.256,12,12,16:30'39.981,01:43'04.981,269.44
46,,,A,02'21.179,00'58.095,00'19.604,00'42.388,00'21.092,12,12,16:33'01.160,01:45'26.160,266.99
47,,,A,01'54.380,00'32.380,00'19.496,00'41.491,00'21.013,12,12,16:34'55.540,01:47'20.540,266.18
48,,,A,01'53.111,00'31.497,00'19.277,00'41.348,00'20.989,12,12,16:36'48.651,01:49'13.651,267.8
49,,,A,01'52.660,00'31.313,00'19.177,00'41.362,00'20.808,12,12,16:38'41.311,01:51'06.311,268.62
50,,,A,01'52.290,00'31.242,00'19.019,00'41.329,00'20.700,12,12,16:40'33.601,01:52'58.601,266.99
51,,,A,01'53.089,00'31.411,00'19.226,00'41.521,00'20.931,12,12,16:42'26.690,01:54'51.690,267.8
52,,,A,01'53.427,00'31.380,00'19.192,00'41.613,00'21.242,12,12,16:44'20.117,01:56'45.117,267.8
53,,,A,,00'42.217,00'27.736,01'23.534,,12,12,16:46'53.604,01:59'18.604,138.11
