【Class:500  Car No:24  KONDO RACING NISSAN  タイム履歴データ】
LapNo,Best,Pit,Driver,LapTime,Sector1,Sector2,Sector3,Sector4,RankClass,Rank,TimeFired,Time,Speed
1,,,A,01'57.415,00'36.218,00'19.099,00'41.305,00'20.793,9,9,14:49'32.415,00:01'57.415,269.44
2,,,A,01'50.634,00'30.924,00'18.469,00'40.611,00'20.630,9,9,14:51'23.049,00:03'48.049,269.44
3,,,A,04'03.928,00'56.669,00'42.015,01'36.252,00'48.992,9,9,14:55'26.977,00:07'51.977,80.14
4,,,A,02'16.401,00'55.627,00'19.029,00'40.941,00'20.804,9,9,14:57'43.378,00:10'08.378,268.62
5,,,A,01'50.464,00'30.612,00'18.724,00'40.487,00'20.641,8,8,14:59'33.842,00:11'58.842,269.44
6,,,A,01'50.919,00'30.809,00'18.626,00'40.785,00'20.699,8,8,15:01'24.761,00:13'49.761,269.44
7,,,A,01'50.963,00'30.679,00'18.663,00'40.788,00'20.833,8,8,15:03'15.724,00:15'40.724,269.44
8,,,A,01'53.181,00'31.249,00'19.255,00'41.137,00'21.540,8,8,15:05'08.905,00:17'33.905,270.27
9,,,A,01'53.267,00'31.293,00'19.403,00'40.951,00'21.620,8,8,15:07'02.172,00:19'27.172,273.64
10,,,A,01'59.120,00'33.761,00'20.159,00'43.119,00'22.081,8,8,15:09'01.292,00:21'26.292,268.62
11,,,A,02'43.096,00'32.218,00'30.458,01'04.938,00'35.482,8,8,15:11'44.388,00:24'09.388,172.91
12,,,A,03'31.126,00'45.707,00'28.833,01'07.085,01'09.501,8,8,15:15'15.514,00:27'40.514,79.42
13,,,A,03'55.912,00'55.403,00'40.843,01'30.500,00'49.166,8,8,15:19'11.426,00:31'36.426,91.88
14,,,A,03'35.087,00'58.838,00'36.123,01'24.239,00'35.887,8,8,15:22'46.513,00:35'11.513,139.87
15,,,A,01'54.164,00'32.115,00'19.490,00'41.344,00'21.215,8,8,15:24'40.677,00:37'05.677,268.62
16,,,A,01'51.973,00'31.170,00'18.920,00'41.008,00'20.875,8,8,15:26'32.650,00:38'57.650,268.62
17,,,A,01'52.802,00'31.343,00'19.190,00'41.351,00'20.918,8,8,15:28'25.452,00:40'50.452,269.44
18,,,A,01'52.143,00'31.030,00'19.159,00'41.092,00'20.862,8,8,15:30'17.595,00:42'42.595,269.44
19,,,A,01'52.479,00'31.361,00'18.925,00'41.086,00'21.107,7,7,15:32'10.074,00:44'35.074,268.62
20,,,A,01'52.809,00'31.281,00'19.341,00'41.266,00'20.921,6,6,15:34'02.883,00:46'27.883,268.62
21,,,A,01'52.106,00'31.023,00'18.944,00'41.098,00'21.041,5,5,15:35'54.989,00:48'19.989,268.62
22,,,A,01'52.300,00'31.242,00'18.966,00'41.203,00'20.889,4,4,15:37'47.289,00:50'12.289,268.62
23,,P,A,01'57.938,00'31.208,00'18.922,00'41.559,00'26.249,4,4,15:39'45.227,00:52'10.227,269.44
24,,,B,03'01.752,01'34.873,00'21.836,00'43.023,00'22.020,9,9,15:42'46.979,00:55'11.979,270.27
25,,,B,01'56.460,00'32.269,00'19.860,00'42.732,00'21.599,9,9,15:44'43.439,00:57'08.439,268.62
26,,,B,01'53.807,00'31.866,00'19.124,00'41.167,00'21.650,9,9,15:46'37.246,00:59'02.246,268.62
27,,,B,01'54.647,00'30.782,00'18.662,00'41.149,00'24.054,9,9,15:48'31.893,01:00'56.893,268.62
28,,,B,03'00.727,01'14.042,00'42.074,00'43.653,00'20.958,9,9,15:51'32.620,01:03'57.620,265.37
29,,,B,01'50.258,00'30.450,00'18.670,00'40.623,00'20.515,9,9,15:53'22.878,01:05'47.878,266.18
30,BL,,B,01'50.040,00'30.450,00'18.477,00'40.608,00'20.505,9,9,15:55'12.918,01:07'37.918,268.62
31,,,B,01'51.779,00'31.596,00'18.758,00'40.639,00'20.786,9,9,15:57'04.697,01:09'29.697,269.44
32,,,B,01'51.378,00'30.627,00'18.716,00'40.996,00'21.039,9,9,15:58'56.075,01:11'21.075,269.44
33,,,B,01'50.972,00'30.789,00'18.598,00'40.823,00'20.762,8,8,16:00'47.047,01:13'12.047,268.62
34,,,B,01'50.984,00'30.853,00'18.715,00'40.778,00'20.638,8,8,16:02'38.031,01:15'03.031,270.27
35,,,B,01'51.960,00'30.889,00'18.878,00'40.986,00'21.207,8,8,16:04'29.991,01:16'54.991,270.27
36,,,B,01'53.964,00'32.236,00'19.207,00'41.311,00'21.210,8,8,16:06'23.955,01:18'48.955,270.27
37,,,B,01'54.375,00'31.650,00'19.935,00'41.179,00'21.611,8,8,16:08'18.330,01:20'43.330,266.99
38,,,B,01'55.722,00'33.929,00'19.546,00'41.093,00'21.154,8,8,16:10'14.052,01:22'39.052,269.44
39,,,B,03'11.981,00'34.972,00'19.213,01'29.288,00'48.508,8,8,16:13'26.033,01:25'51.033,80.29
40,,,B,02'24.577,00'47.920,00'23.955,00'48.656,00'24.046,8,8,16:15'50.610,01:28'15.610,241.98
41,,,B,03'20.103,00'34.994,00'24.470,01'31.498,00'49.141,8,8,16:19'10.713,01:31'35.713,82.63
42,,,B,04'00.561,01'09.596,00'42.146,01'25.744,00'43.075,8,8,16:23'11.274,01:35'36.274,112.75
43,,,B,03'37.442,01'00.487,00'38.161,01'21.823,00'36.971,8,8,16:26'48.716,01:39'13.716,92.85
44,,,B,01'53.667,00'32.056,00'19.338,00'40.997,00'21.276,8,8,16:28'42.383,01:41'07.383,272.79
45,,,B,01'52.071,00'30.976,00'18.945,00'41.095,00'21.055,7,7,16:30'34.454,01:42'59.454,271.95
46,,,B,01'50.863,00'30.630,00'18.746,00'40.874,00'20.613,7,7,16:32'25.317,01:44'50.317,269.44
47,,,B,01'51.154,00'30.849,00'18.794,00'40.895,00'20.616,7,7,16:34'16.471,01:46'41.471,269.44
48,,,B,01'51.216,00'30.863,00'18.774,00'40.828,00'20.751,7,7,16:36'07.687,01:48'32.687,271.11
49,,,B,01'51.816,00'31.142,00'18.907,00'40.880,00'20.887,7,7,16:37'59.503,01:50'24.503,271.11
50,,,B,01'51.795,00'31.287,00'18.903,00'40.901,00'20.704,7,7,16:39'51.298,01:52'16.298,271.11
51,,,B,01'52.419,00'31.114,00'18.850,00'41.384,00'21.071,7,7,16:41'43.717,01:54'08.717,269.44
52,,,B,01'52.607,00'30.675,00'18.912,00'41.372,00'21.648,6,6,16:43'36.324,01:56'01.324,271.95
53,,,B,,00'52.360,00'36.721,01'15.757,,5,5,16:46'21.162,01:58'46.162,115.88
