【Class:300  Car No:244  Max Racing NISSAN  タイム履歴データ】
LapNo,Best,Pit,Driver,LapTime,Sector1,Sector2,Sector3,Sector4,RankClass,Rank,TimeFired,Time,Speed
1,,,A,02'39.542,01'08.055,00'22.182,00'45.905,00'23.400,23,38,14:50'14.542,00:02'39.542,242.65
2,,,A,03'05.006,00'35.144,00'21.770,01'19.647,00'48.445,23,37,14:53'19.548,00:05'44.548,80.14
3,,,A,03'28.973,01'13.712,00'41.956,01'10.175,00'23.130,22,36,14:56'48.521,00:09'13.521,239.99
4,,,A,02'03.596,00'33.972,00'21.258,00'45.396,00'22.970,22,36,14:58'52.117,00:11'17.117,241.31
5,,,A,02'02.169,00'34.006,00'20.565,00'45.022,00'22.576,21,35,15:00'54.286,00:13'19.286,239.99
6,,,A,02'02.479,00'34.013,00'20.732,00'45.045,00'22.689,21,35,15:02'56.765,00:15'21.765,240.65
7,,,A,02'02.580,00'34.184,00'20.711,00'45.040,00'22.645,21,35,15:04'59.345,00:17'24.345,241.31
8,,,A,02'03.896,00'34.133,00'21.292,00'45.411,00'23.060,21,35,15:07'03.241,00:19'28.241,241.98
9,,,A,02'06.049,00'34.926,00'22.161,00'45.868,00'23.094,20,34,15:09'09.290,00:21'34.290,241.98
10,,,A,03'00.541,00'40.392,00'31.882,01'07.343,00'40.924,19,33,15:12'09.831,00:24'34.831,141.67
11,,,A,03'46.008,00'44.188,00'25.541,01'11.620,01'24.659,19,32,15:15'55.839,00:28'20.839,70.61
12,,P,A,03'55.112,01'49.915,00'22.323,00'54.453,00'48.421,18,31,15:19'50.951,00:32'15.951,102.73
13,,,A,03'18.441,01'26.262,00'21.433,00'55.426,00'35.320,22,35,15:23'09.392,00:35'34.392,166.67
14,,,A,02'03.871,00'34.883,00'21.223,00'45.091,00'22.674,21,34,15:25'13.263,00:37'38.263,239.99
15,,,A,02'02.565,00'34.020,00'20.829,00'45.080,00'22.636,19,32,15:27'15.828,00:39'40.828,239.99
16,,,A,02'04.388,00'34.345,00'21.415,00'45.460,00'23.168,20,33,15:29'20.216,00:41'45.216,242.65
17,,P,A,02'10.626,00'34.561,00'21.575,00'45.904,00'28.586,16,29,15:31'30.842,00:43'55.842,240.65
18,,,B,02'53.867,01'25.273,00'20.912,00'45.165,00'22.517,16,29,15:34'24.709,00:46'49.709,239.99
19,BL,,B,02'01.416,00'33.544,00'20.693,00'44.928,00'22.251,15,28,15:36'26.125,00:48'51.125,239.99
20,,,B,02'01.610,00'33.893,00'20.513,00'44.962,00'22.242,13,26,15:38'27.735,00:50'52.735,239.99
21,,,B,02'01.653,00'33.595,00'20.690,00'45.046,00'22.322,13,26,15:40'29.388,00:52'54.388,240.65
22,,,B,02'01.626,00'33.577,00'20.572,00'45.066,00'22.411,12,25,15:42'31.014,00:54'56.014,239.99
23,,,B,02'02.340,00'34.126,00'20.705,00'45.097,00'22.412,11,24,15:44'33.354,00:56'58.354,241.31
24,,,B,02'04.841,00'34.476,00'21.528,00'45.582,00'23.255,9,22,15:46'38.195,00:59'03.195,241.31
25,,,B,02'15.836,00'34.547,00'21.995,00'45.239,00'34.055,7,20,15:48'54.031,01:01'19.031,241.31
26,,,B,02'57.316,01'13.550,00'34.467,00'46.254,00'23.045,6,19,15:51'51.347,01:04'16.347,239.34
27,,,B,02'02.922,00'34.312,00'20.973,00'45.087,00'22.550,6,19,15:53'54.269,01:06'19.269,241.98
28,,,B,02'02.246,00'33.982,00'20.697,00'45.092,00'22.475,6,19,15:55'56.515,01:08'21.515,242.65
29,,,B,02'01.950,00'33.983,00'20.549,00'45.082,00'22.336,6,19,15:57'58.465,01:10'23.465,241.98
30,,,B,02'02.004,00'33.922,00'20.672,00'45.076,00'22.334,6,19,16:00'00.469,01:12'25.469,241.98
31,,,B,02'02.439,00'34.057,00'20.604,00'45.028,00'22.750,6,19,16:02'02.908,01:14'27.908,241.31
32,,,B,02'02.200,00'34.157,00'20.616,00'44.973,00'22.454,6,19,16:04'05.108,01:16'30.108,241.31
33,,,B,02'02.780,00'34.102,00'20.642,00'45.092,00'22.944,6,19,16:06'07.888,01:18'32.888,240.65
34,,,B,02'03.045,00'34.369,00'20.815,00'45.278,00'22.583,6,19,16:08'10.933,01:20'35.933,241.98
35,,,B,02'04.333,00'34.793,00'21.142,00'45.477,00'22.921,6,19,16:10'15.266,01:22'40.266,240.65
36,,,B,,00'34.832,00'21.330,,,6,19,16:11'11.428,01:23'36.428,
