【Class:300  Car No:25  HOPPY team TSUCHIYA TOYOTA  タイム履歴データ】
LapNo,Best,Pit,Driver,LapTime,Sector1,Sector2,Sector3,Sector4,RankClass,Rank,TimeFired,Time,Speed
1,,,A,02'39.088,01'07.421,00'21.929,00'46.386,00'23.352,21,36,14:50'14.088,00:02'39.088,238.69
2,,,A,03'05.176,00'35.361,00'21.770,01'19.432,00'48.613,22,36,14:53'19.264,00:05'44.264,80.07
3,,,A,03'29.477,01'13.644,00'41.844,01'10.367,00'23.622,23,37,14:56'48.741,00:09'13.741,238.69
4,,,A,02'04.331,00'34.889,00'21.134,00'45.505,00'22.803,24,38,14:58'53.072,00:11'18.072,238.04
5,,,A,02'06.234,00'34.783,00'21.994,00'45.962,00'23.495,25,39,15:00'59.306,00:13'24.306,240.65
6,,,A,02'06.875,00'35.580,00'22.297,00'45.938,00'23.060,24,38,15:03'06.181,00:15'31.181,239.99
7,,,A,02'05.346,00'34.441,00'21.825,00'45.378,00'23.702,24,38,15:05'11.527,00:17'36.527,239.34
8,,,A,02'04.053,00'34.924,00'20.932,00'45.547,00'22.650,24,38,15:07'15.580,00:19'40.580,239.34
9,,,A,02'05.096,00'34.614,00'21.035,00'45.602,00'23.845,23,37,15:09'20.676,00:21'45.676,238.69
10,,,A,02'57.620,00'39.095,00'30.547,01'06.772,00'41.206,22,36,15:12'18.296,00:24'43.296,125.3
11,,,A,03'51.296,00'50.813,00'24.272,01'03.896,01'32.315,22,35,15:16'09.592,00:28'34.592,58.67
12,,,A,03'46.979,01'44.856,00'23.032,00'50.118,00'48.973,22,35,15:19'56.571,00:32'21.571,126.02
13,,P,A,03'15.090,00'47.792,00'38.156,01'09.354,00'39.788,25,38,15:23'11.661,00:35'36.661,152.23
14,,,A,03'11.849,01'36.942,00'22.930,00'46.999,00'24.978,25,38,15:26'23.510,00:38'48.510,235.49
15,,,A,02'08.004,00'36.526,00'21.721,00'46.381,00'23.376,24,37,15:28'31.514,00:40'56.514,238.04
16,,,A,02'03.168,00'34.467,00'20.892,00'45.202,00'22.607,24,37,15:30'34.682,00:42'59.682,238.04
17,,,A,02'02.959,00'34.371,00'20.779,00'45.119,00'22.690,24,37,15:32'37.641,00:45'02.641,239.99
18,,,A,02'02.306,00'34.066,00'20.699,00'45.056,00'22.485,21,34,15:34'39.947,00:47'04.947,238.69
19,,,A,02'02.073,00'33.885,00'20.586,00'45.130,00'22.472,21,34,15:36'42.020,00:49'07.020,239.34
20,BL,,A,02'01.950,00'33.849,00'20.559,00'45.112,00'22.430,21,34,15:38'43.970,00:51'08.970,239.99
21,,,A,02'02.467,00'33.760,00'20.638,00'45.419,00'22.650,21,34,15:40'46.437,00:53'11.437,238.69
22,,P,A,03'10.574,00'44.657,00'34.209,01'09.413,00'42.295,25,38,15:43'57.011,00:56'22.011,167.63
