【Class:500  Car No:3  NDDP RACING NISSAN  タイム履歴データ】
LapNo,Best,Pit,Driver,LapTime,Sector1,Sector2,Sector3,Sector4,RankClass,Rank,TimeFired,Time,Speed
1,,,A,01'50.435,00'30.411,00'18.356,00'41.010,00'20.658,1,1,14:49'25.435,00:01'50.435,271.95
2,BL,,A,01'48.055,00'29.837,00'17.939,00'40.084,00'20.195,1,1,14:51'13.490,00:03'38.490,267.8
3,,,A,03'53.846,00'46.874,00'42.034,01'36.124,00'48.814,1,1,14:55'07.336,00:07'32.336,79.78
4,,,A,02'24.316,01'05.112,00'18.520,00'40.299,00'20.385,1,1,14:57'31.652,00:09'56.652,267.8
5,,,A,01'48.457,00'30.103,00'18.042,00'40.084,00'20.228,1,1,14:59'20.109,00:11'45.109,268.62
6,,,A,01'48.982,00'30.160,00'18.229,00'40.336,00'20.257,1,1,15:01'09.091,00:13'34.091,269.44
7,,,A,01'50.700,00'30.308,00'18.731,00'41.303,00'20.358,1,1,15:02'59.791,00:15'24.791,270.27
8,,,A,01'53.354,00'30.948,00'18.899,00'42.072,00'21.435,1,1,15:04'53.145,00:17'18.145,269.44
9,,,A,01'53.947,00'32.867,00'18.790,00'41.523,00'20.767,1,1,15:06'47.092,00:19'12.092,270.27
10,,,A,01'52.653,00'31.774,00'19.241,00'41.122,00'20.516,1,1,15:08'39.745,00:21'04.745,267.8
11,,,A,01'56.952,00'30.539,00'18.484,00'41.605,00'26.324,1,1,15:10'36.697,00:23'01.697,259.88
12,,,A,03'55.157,00'49.044,00'41.220,01'35.538,00'49.355,1,1,15:14'31.854,00:26'56.854,92.85
13,,,A,04'25.360,01'26.860,00'41.203,01'30.719,00'46.578,1,1,15:18'57.214,00:31'22.214,89.08
14,,,A,03'44.443,01'03.018,00'36.607,01'26.873,00'37.945,1,1,15:22'41.657,00:35'06.657,88.99
15,,,A,01'49.920,00'30.642,00'18.371,00'40.510,00'20.397,1,1,15:24'31.577,00:36'56.577,267.8
16,,,A,01'50.258,00'30.463,00'18.286,00'40.681,00'20.828,1,1,15:26'21.835,00:38'46.835,269.44
17,,,A,01'49.663,00'30.425,00'18.160,00'40.645,00'20.433,1,1,15:28'11.498,00:40'36.498,268.62
18,,,A,01'49.858,00'30.433,00'18.345,00'40.721,00'20.359,1,1,15:30'01.356,00:42'26.356,269.44
19,,,A,01'51.385,00'31.362,00'18.710,00'40.716,00'20.597,1,1,15:31'52.741,00:44'17.741,268.62
20,,,A,01'50.054,00'30.514,00'18.407,00'40.703,00'20.430,1,1,15:33'42.795,00:46'07.795,269.44
21,,P,A,01'55.800,00'30.701,00'18.641,00'40.760,00'25.698,1,1,15:35'38.595,00:48'03.595,270.27
22,,,B,02'53.896,01'32.177,00'19.501,00'41.397,00'20.821,6,6,15:38'32.491,00:50'57.491,266.99
23,,,B,01'50.985,00'30.383,00'19.193,00'40.846,00'20.563,6,6,15:40'23.476,00:52'48.476,266.99
24,,,B,01'52.975,00'32.364,00'19.341,00'40.793,00'20.477,3,3,15:42'16.451,00:54'41.451,266.99
25,,,B,01'49.359,00'30.258,00'18.386,00'40.392,00'20.323,2,2,15:44'05.810,00:56'30.810,268.62
26,,,B,01'50.206,00'30.345,00'18.332,00'41.096,00'20.433,2,2,15:45'56.016,00:58'21.016,267.8
27,,,B,01'52.883,00'30.599,00'18.876,00'41.021,00'22.387,2,2,15:47'48.899,01:00'13.899,268.62
28,,,B,03'03.700,00'30.625,00'34.782,01'35.156,00'23.137,1,1,15:50'52.599,01:03'17.599,134.31
29,,,B,01'51.590,00'30.616,00'19.667,00'40.835,00'20.472,1,1,15:52'44.189,01:05'09.189,267.8
30,,,B,01'50.098,00'30.342,00'18.635,00'40.740,00'20.381,1,1,15:54'34.287,01:06'59.287,267.8
31,,,B,01'49.559,00'30.424,00'18.337,00'40.495,00'20.303,1,1,15:56'23.846,01:08'48.846,269.44
32,,,B,01'53.444,00'30.379,00'19.506,00'41.309,00'22.250,1,1,15:58'17.290,01:10'42.290,271.95
33,,,B,01'52.577,00'31.762,00'19.100,00'40.908,00'20.807,1,1,16:00'09.867,01:12'34.867,269.44
34,,,B,01'52.084,00'30.543,00'18.862,00'41.821,00'20.858,1,1,16:02'01.951,01:14'26.951,269.44
35,,,B,01'54.413,00'32.509,00'19.528,00'40.849,00'21.527,1,1,16:03'56.364,01:16'21.364,270.27
36,,,B,01'51.728,00'30.983,00'18.762,00'41.266,00'20.717,1,1,16:05'48.092,01:18'13.092,267.8
37,,,B,01'51.534,00'30.949,00'19.133,00'40.887,00'20.565,1,1,16:07'39.626,01:20'04.626,267.8
38,,,B,01'51.777,00'30.836,00'18.741,00'40.961,00'21.239,1,1,16:09'31.403,01:21'56.403,268.62
39,,,B,02'01.368,00'31.709,00'18.708,00'41.058,00'29.893,1,1,16:11'32.771,01:23'57.771,267.8
40,,,B,03'31.840,01'13.653,00'41.513,01'06.704,00'29.970,1,1,16:15'04.611,01:27'29.611,181.11
41,,,B,03'46.132,00'44.695,00'41.345,01'30.318,00'49.774,1,1,16:18'50.743,01:31'15.743,74.94
42,,,B,04'12.786,01'23.189,00'39.850,01'26.363,00'43.384,1,1,16:23'03.529,01:35'28.529,95.47
43,,,B,03'41.209,01'03.327,00'36.719,01'23.978,00'37.185,1,1,16:26'44.738,01:39'09.738,88.28
44,,,B,01'50.382,00'30.874,00'18.447,00'40.539,00'20.522,1,1,16:28'35.120,01:41'00.120,266.99
45,,,B,01'50.006,00'30.353,00'18.584,00'40.682,00'20.387,1,1,16:30'25.126,01:42'50.126,267.8
46,,,B,01'50.141,00'30.378,00'18.517,00'40.693,00'20.553,1,1,16:32'15.267,01:44'40.267,268.62
47,,,B,01'50.219,00'30.590,00'18.537,00'40.585,00'20.507,1,1,16:34'05.486,01:46'30.486,268.62
48,,,B,01'50.400,00'30.661,00'18.480,00'40.741,00'20.518,1,1,16:35'55.886,01:48'20.886,268.62
49,,,B,01'50.412,00'30.479,00'18.607,00'40.706,00'20.620,1,1,16:37'46.298,01:50'11.298,269.44
50,,,B,01'51.441,00'30.611,00'18.617,00'41.477,00'20.736,1,1,16:39'37.739,01:52'02.739,267.8
51,,,B,01'51.465,00'30.729,00'18.736,00'41.170,00'20.830,1,1,16:41'29.204,01:53'54.204,268.62
52,,,B,01'56.691,00'31.454,00'20.075,00'43.700,00'21.462,1,1,16:43'25.895,01:55'50.895,267.8
53,,,B,,01'06.685,00'35.042,01'19.048,,7,7,16:46'26.670,01:58'51.670,118.54
