【Class:300  Car No:31  apr TOYOTA  タイム履歴データ】
LapNo,Best,Pit,Driver,LapTime,Sector1,Sector2,Sector3,Sector4,RankClass,Rank,TimeFired,Time,Speed
1,,,A,02'39.829,01'08.319,00'22.278,00'45.765,00'23.467,24,39,14:50'14.829,00:02'39.829,245.36
2,,,A,03'05.608,00'35.135,00'21.845,01'20.240,00'48.388,24,38,14:53'20.437,00:05'45.437,79.85
3,,,A,03'28.483,01'13.765,00'41.762,01'09.809,00'23.147,24,38,14:56'48.920,00:09'13.920,243.32
4,BL,,A,02'03.443,00'34.261,00'21.026,00'45.207,00'22.949,23,37,14:58'52.363,00:11'17.363,243.99
5,,,A,02'06.484,00'35.212,00'22.034,00'45.467,00'23.771,24,38,15:00'58.847,00:13'23.847,244.67
6,,,A,02'05.730,00'35.585,00'21.742,00'45.491,00'22.912,23,37,15:03'04.577,00:15'29.577,243.32
7,,,A,02'04.640,00'34.724,00'20.998,00'46.083,00'22.835,23,37,15:05'09.217,00:17'34.217,241.98
8,,,A,02'04.813,00'35.248,00'21.259,00'45.546,00'22.760,23,37,15:07'14.030,00:19'39.030,244.67
9,,,A,02'04.166,00'34.294,00'21.038,00'45.706,00'23.128,22,36,15:09'18.196,00:21'43.196,242.65
10,,,A,02'56.067,00'38.321,00'30.738,01'05.494,00'41.514,21,35,15:12'14.263,00:24'39.263,159.99
11,,,A,03'51.862,00'47.958,00'23.577,01'08.618,01'31.709,21,34,15:16'06.125,00:28'31.125,64.73
12,,,A,03'49.305,01'44.416,00'21.673,00'53.373,00'49.843,21,34,15:19'55.430,00:32'20.430,103.09
13,,,A,03'10.763,00'47.606,00'38.048,01'10.017,00'35.092,18,31,15:23'06.193,00:35'31.193,160.58
14,,,A,02'04.719,00'34.622,00'21.207,00'45.721,00'23.169,18,31,15:25'10.912,00:37'35.912,246.74
15,,,A,02'03.957,00'34.510,00'21.027,00'45.478,00'22.942,16,29,15:27'14.869,00:39'39.869,248.83
16,,,A,02'04.108,00'34.284,00'21.221,00'45.612,00'22.991,15,28,15:29'18.977,00:41'43.977,246.05
17,,,A,02'06.147,00'35.099,00'22.095,00'45.852,00'23.101,13,26,15:31'25.124,00:43'50.124,244.67
18,,,A,02'05.132,00'34.474,00'21.238,00'46.352,00'23.068,13,26,15:33'30.256,00:45'55.256,242.65
19,,,A,02'04.506,00'34.478,00'21.201,00'45.786,00'23.041,12,25,15:35'34.762,00:47'59.762,242.65
20,,,A,02'04.091,00'34.410,00'21.147,00'45.655,00'22.879,10,23,15:37'38.853,00:50'03.853,242.65
21,,,A,02'05.477,00'35.334,00'21.173,00'45.869,00'23.101,9,22,15:39'44.330,00:52'09.330,243.32
22,,,A,02'04.796,00'34.514,00'21.021,00'46.186,00'23.075,8,21,15:41'49.126,00:54'14.126,243.99
23,,,A,02'05.307,00'34.711,00'21.406,00'45.951,00'23.239,7,20,15:43'54.433,00:56'19.433,241.98
24,,P,A,02'11.043,00'34.871,00'21.470,00'45.988,00'28.714,4,17,15:46'05.476,00:58'30.476,241.98
25,,,B,04'21.064,01'43.530,00'22.751,01'26.172,00'48.611,20,33,15:50'26.540,01:02'51.540,79.7
26,,,B,02'09.752,00'39.700,00'21.005,00'45.812,00'23.235,20,33,15:52'36.292,01:05'01.292,236.12
27,,,B,02'06.514,00'34.653,00'22.144,00'46.420,00'23.297,21,34,15:54'42.806,01:07'07.806,235.49
28,,,B,02'05.304,00'34.419,00'20.935,00'46.734,00'23.216,21,34,15:56'48.110,01:09'13.110,238.69
29,,,B,02'08.437,00'35.767,00'21.477,00'47.432,00'23.761,20,33,15:58'56.547,01:11'21.547,238.04
30,,,B,02'08.036,00'34.841,00'21.411,00'46.318,00'25.466,21,34,16:01'04.583,01:13'29.583,237.4
31,,,B,02'09.319,00'36.196,00'21.760,00'47.382,00'23.981,21,34,16:03'13.902,01:15'38.902,238.69
32,,,B,02'06.861,00'35.133,00'21.676,00'46.760,00'23.292,21,34,16:05'20.763,01:17'45.763,238.69
33,,,B,02'05.598,00'34.628,00'21.430,00'46.266,00'23.274,20,33,16:07'26.361,01:19'51.361,239.34
34,,,B,02'05.400,00'34.834,00'21.070,00'45.995,00'23.501,18,31,16:09'31.761,01:21'56.761,239.34
35,,,B,,00'35.183,00'21.733,,,17,30,16:10'28.677,01:22'53.677,
