【Class:300  Car No:34  BUSOU Drago CORSE NISSAN  タイム履歴データ】
LapNo,Best,Pit,Driver,LapTime,Sector1,Sector2,Sector3,Sector4,RankClass,Rank,TimeFired,Time,Speed
1,,,B,02'38.184,01'07.212,00'21.825,00'45.333,00'23.814,19,34,14:50'13.184,00:02'38.184,250.97
2,,,B,02'58.222,00'34.577,00'21.143,01'13.798,00'48.704,18,32,14:53'11.406,00:05'36.406,78.92
3,,,B,03'32.743,01'14.415,00'42.140,01'13.430,00'22.758,18,32,14:56'44.149,00:09'09.149,248.13
4,,,B,02'02.575,00'34.310,00'21.195,00'44.516,00'22.554,17,31,14:58'46.724,00:11'11.724,248.13
5,,,B,02'02.687,00'34.395,00'20.992,00'44.675,00'22.625,17,31,15:00'49.411,00:13'14.411,247.43
6,,,B,02'02.861,00'34.425,00'20.984,00'44.801,00'22.651,17,31,15:02'52.272,00:15'17.272,248.13
7,,,B,02'02.848,00'34.388,00'21.020,00'44.855,00'22.585,17,31,15:04'55.120,00:17'20.120,248.83
8,,,B,02'05.155,00'34.634,00'21.659,00'45.343,00'23.519,17,31,15:07'00.275,00:19'25.275,251.69
9,,,B,02'05.834,00'34.655,00'20.988,00'46.170,00'24.021,16,30,15:09'06.109,00:21'31.109,249.54
10,,,B,02'58.285,00'40.061,00'30.605,01'07.294,00'40.325,14,28,15:12'04.394,00:24'29.394,114.07
11,,,B,03'39.182,00'42.793,00'26.811,01'10.594,01'18.984,14,27,15:15'43.576,00:28'08.576,85.86
12,,,B,04'05.184,01'50.307,00'27.289,00'56.391,00'51.197,14,27,15:19'48.760,00:32'13.760,114.52
13,,,B,03'13.465,00'49.284,00'38.402,01'12.280,00'33.499,14,27,15:23'02.225,00:35'27.225,147.13
14,,,B,02'04.657,00'35.517,00'21.296,00'44.980,00'22.864,13,26,15:25'06.882,00:37'31.882,248.83
15,,,B,02'03.617,00'34.634,00'21.181,00'44.897,00'22.905,13,26,15:27'10.499,00:39'35.499,248.13
16,,,B,02'03.754,00'34.651,00'21.161,00'45.188,00'22.754,11,24,15:29'14.253,00:41'39.253,249.54
17,,,B,02'02.389,00'34.282,00'20.872,00'44.770,00'22.465,10,23,15:31'16.642,00:43'41.642,246.74
18,,,B,02'03.148,00'34.827,00'20.916,00'44.868,00'22.537,9,22,15:33'19.790,00:45'44.790,248.83
19,,,B,02'02.826,00'34.347,00'20.964,00'44.924,00'22.591,9,22,15:35'22.616,00:47'47.616,246.05
20,,,B,02'02.972,00'34.317,00'21.021,00'44.712,00'22.922,8,21,15:37'25.588,00:49'50.588,247.43
21,,,B,02'03.396,00'34.825,00'21.030,00'44.919,00'22.622,5,18,15:39'28.984,00:51'53.984,246.05
22,,,B,02'02.522,00'34.300,00'20.845,00'44.922,00'22.455,5,18,15:41'31.506,00:53'56.506,246.74
23,,,B,02'03.417,00'34.572,00'21.290,00'44.953,00'22.602,4,17,15:43'34.923,00:55'59.923,247.43
24,,P,B,02'06.903,00'34.414,00'21.033,00'44.801,00'26.655,2,15,15:45'41.826,00:58'06.826,246.74
25,,,A,03'37.923,01'39.293,00'22.054,00'45.958,00'50.618,11,24,15:49'19.749,01:01'44.749,99.25
26,,,A,02'41.377,01'12.653,00'21.285,00'44.856,00'22.583,11,24,15:52'01.126,01:04'26.126,248.13
27,,,A,02'02.261,00'34.220,00'21.022,00'44.670,00'22.349,11,24,15:54'03.387,01:06'28.387,247.43
28,,,A,02'04.079,00'34.582,00'21.048,00'45.341,00'23.108,11,24,15:56'07.466,01:08'32.466,248.13
29,BL,,A,02'01.917,00'34.244,00'20.657,00'44.621,00'22.395,10,23,15:58'09.383,01:10'34.383,246.74
30,,,A,02'02.396,00'34.192,00'20.767,00'44.696,00'22.741,10,23,16:00'11.779,01:12'36.779,246.74
31,,,A,02'02.076,00'34.165,00'20.708,00'44.673,00'22.530,10,23,16:02'13.855,01:14'38.855,247.43
32,,,A,02'02.872,00'34.188,00'20.903,00'45.078,00'22.703,10,23,16:04'16.727,01:16'41.727,247.43
33,,,A,02'03.786,00'34.482,00'21.167,00'45.117,00'23.020,10,23,16:06'20.513,01:18'45.513,247.43
34,,,A,02'04.341,00'34.910,00'21.845,00'44.905,00'22.681,9,22,16:08'24.854,01:20'49.854,246.74
35,,,A,02'03.376,00'34.436,00'20.999,00'44.820,00'23.121,9,22,16:10'28.230,01:22'53.230,247.43
36,,,A,03'10.978,00'34.761,00'28.378,01'30.430,00'37.409,8,21,16:13'39.208,01:26'04.208,144.71
37,,,A,02'32.828,00'48.925,00'24.715,00'53.525,00'25.663,8,21,16:16'12.036,01:28'37.036,170.89
38,,,A,03'14.969,00'35.889,00'21.857,01'23.682,00'53.541,8,20,16:19'27.005,01:31'52.005,118.22
39,,,A,04'05.852,01'20.783,00'35.723,01'25.199,00'44.147,8,20,16:23'32.857,01:35'57.857,110.76
40,,,A,03'26.879,00'56.703,00'37.515,01'18.821,00'33.840,8,20,16:26'59.736,01:39'24.736,148.37
41,,,A,02'05.249,00'35.146,00'21.194,00'45.480,00'23.429,8,20,16:29'04.985,01:41'29.985,250.25
42,,,A,02'02.998,00'34.411,00'20.820,00'44.998,00'22.769,7,19,16:31'07.983,01:43'32.983,250.25
43,,,A,02'03.171,00'34.514,00'21.018,00'44.962,00'22.677,7,19,16:33'11.154,01:45'36.154,250.25
44,,,A,02'03.088,00'34.489,00'20.988,00'44.717,00'22.894,7,19,16:35'14.242,01:47'39.242,248.83
45,,,A,02'02.655,00'34.337,00'20.925,00'44.732,00'22.661,7,19,16:37'16.897,01:49'41.897,250.25
46,,,A,02'03.052,00'34.453,00'20.997,00'44.837,00'22.765,7,19,16:39'19.949,01:51'44.949,249.54
47,,,A,02'03.207,00'34.692,00'20.977,00'44.727,00'22.811,7,19,16:41'23.156,01:53'48.156,253.14
48,,,A,02'05.403,00'34.546,00'21.250,00'46.164,00'23.443,6,18,16:43'28.559,01:55'53.559,249.54
49,,,A,,00'51.643,00'35.383,01'10.106,,7,19,16:46'05.691,01:58'30.691,150.15
