【Class:500  Car No:36  TGR TEAM au TOM'S TOYOTA  タイム履歴データ】
LapNo,Best,Pit,Driver,LapTime,Sector1,Sector2,Sector3,Sector4,RankClass,Rank,TimeFired,Time,Speed
1,,,B,01'55.768,00'34.559,00'19.103,00'41.226,00'20.880,7,7,14:49'30.768,00:01'55.768,266.18
2,BL,,B,01'50.689,00'30.701,00'18.596,00'40.960,00'20.432,7,7,14:51'21.457,00:03'46.457,265.37
3,,,B,04'00.675,00'53.854,00'42.065,01'36.088,00'48.668,7,7,14:55'22.132,00:07'47.132,79.34
4,,,B,02'17.809,00'57.219,00'19.019,00'40.887,00'20.684,7,7,14:57'39.941,00:10'04.941,266.18
5,,P,B,01'54.890,00'30.753,00'18.818,00'40.631,00'24.688,9,9,14:59'34.831,00:11'59.831,266.99
6,,,B,02'17.458,00'57.416,00'18.697,00'40.790,00'20.555,14,14,15:01'52.289,00:14'17.289,266.18
7,,,B,01'50.703,00'30.553,00'18.734,00'40.837,00'20.579,14,14,15:03'42.992,00:16'07.992,266.18
8,,,B,01'51.094,00'30.772,00'18.781,00'40.871,00'20.670,14,14,15:05'34.086,00:17'59.086,266.18
9,,,B,01'52.087,00'30.852,00'18.688,00'40.882,00'21.665,14,14,15:07'26.173,00:19'51.173,267.8
10,,,B,01'52.701,00'31.061,00'19.147,00'41.089,00'21.404,14,14,15:09'18.874,00:21'43.874,267.8
11,,,B,02'58.212,00'38.890,00'31.647,01'06.850,00'40.825,13,13,15:12'17.086,00:24'42.086,130.9
12,,,B,03'44.001,00'48.776,00'24.368,01'05.645,01'25.212,13,13,15:16'01.087,00:28'26.087,59.55
13,,,B,03'18.824,00'43.876,00'21.029,01'26.980,00'46.939,13,13,15:19'19.911,00:31'44.911,140.31
14,,,B,03'29.965,00'57.230,00'36.717,01'22.307,00'33.711,13,13,15:22'49.876,00:35'14.876,132.09
15,,,B,01'53.932,00'31.632,00'19.246,00'41.668,00'21.386,13,13,15:24'43.808,00:37'08.808,266.18
16,,,B,01'53.056,00'31.290,00'19.201,00'41.610,00'20.955,13,13,15:26'36.864,00:39'01.864,265.37
17,,,B,01'53.337,00'31.075,00'19.158,00'41.640,00'21.464,13,13,15:28'30.201,00:40'55.201,268.62
18,,P,B,01'57.524,00'31.220,00'18.922,00'41.724,00'25.658,13,13,15:30'27.725,00:42'52.725,265.37
19,,,A,03'00.439,01'36.869,00'20.197,00'42.091,00'21.282,13,13,15:33'28.164,00:45'53.164,263.78
20,,,A,01'52.770,00'31.591,00'18.759,00'41.146,00'21.274,13,13,15:35'20.934,00:47'45.934,265.37
21,,,A,01'52.858,00'31.456,00'19.172,00'41.382,00'20.848,13,13,15:37'13.792,00:49'38.792,268.62
22,,,A,01'54.302,00'32.380,00'19.007,00'41.022,00'21.893,13,13,15:39'08.094,00:51'33.094,271.11
23,,,A,01'51.688,00'30.839,00'18.789,00'41.003,00'21.057,13,13,15:40'59.782,00:53'24.782,268.62
24,,,A,01'51.723,00'30.951,00'18.804,00'41.010,00'20.958,13,13,15:42'51.505,00:55'16.505,269.44
25,,,A,01'55.061,00'32.434,00'19.782,00'41.847,00'20.998,12,12,15:44'46.566,00:57'11.566,267.8
26,,,A,01'54.263,00'32.341,00'19.621,00'41.371,00'20.930,12,12,15:46'40.829,00:59'05.829,267.8
27,,,A,02'08.294,00'32.104,00'19.969,00'41.251,00'34.970,12,12,15:48'49.123,01:01'14.123,267.8
28,,,A,02'54.000,01'14.932,00'36.501,00'41.617,00'20.950,12,12,15:51'43.123,01:04'08.123,266.99
29,,,A,01'52.985,00'31.788,00'19.096,00'41.154,00'20.947,12,12,15:53'36.108,01:06'01.108,266.99
30,,,A,01'51.194,00'30.813,00'18.716,00'40.998,00'20.667,12,12,15:55'27.302,01:07'52.302,266.99
31,,,A,01'51.543,00'30.850,00'18.808,00'41.149,00'20.736,12,12,15:57'18.845,01:09'43.845,266.99
32,,,A,01'52.301,00'31.213,00'18.858,00'41.445,00'20.785,12,12,15:59'11.146,01:11'36.146,266.18
33,,,A,01'52.929,00'31.046,00'18.891,00'41.264,00'21.728,12,12,16:01'04.075,01:13'29.075,266.99
34,,,A,01'52.543,00'31.483,00'19.006,00'41.248,00'20.806,11,11,16:02'56.618,01:15'21.618,266.99
35,,,A,01'52.980,00'31.107,00'19.309,00'41.599,00'20.965,11,11,16:04'49.598,01:17'14.598,266.99
36,,,A,01'52.235,00'31.256,00'18.927,00'41.235,00'20.817,11,11,16:06'41.833,01:19'06.833,268.62
37,,,A,01'54.295,00'31.669,00'19.082,00'41.847,00'21.697,11,11,16:08'36.128,01:21'01.128,270.27
38,,,A,01'52.946,00'31.217,00'19.326,00'41.528,00'20.875,11,11,16:10'29.074,01:22'54.074,267.8
39,,,A,03'09.008,00'31.382,00'22.842,01'36.279,00'38.505,11,11,16:13'38.082,01:26'03.082,95.89
40,,,A,02'31.533,00'48.693,00'24.381,00'53.884,00'24.575,11,11,16:16'09.615,01:28'34.615,191.79
41,,,A,03'13.001,00'35.145,00'22.136,01'24.279,00'51.441,11,11,16:19'22.616,01:31'47.616,79.2
42,,,A,03'53.605,01'00.540,00'44.033,01'25.869,00'43.163,11,11,16:23'16.221,01:35'41.221,116.96
43,,,A,03'34.274,00'59.437,00'38.257,01'20.069,00'36.511,11,11,16:26'50.495,01:39'15.495,99.25
44,,,A,01'53.558,00'32.051,00'19.228,00'41.362,00'20.917,11,11,16:28'44.053,01:41'09.053,267.8
45,,,A,01'52.391,00'31.135,00'19.084,00'41.234,00'20.938,10,10,16:30'36.444,01:43'01.444,268.62
46,,,A,01'51.704,00'31.012,00'18.811,00'41.154,00'20.727,10,10,16:32'28.148,01:44'53.148,266.99
47,,,A,01'51.740,00'30.913,00'18.884,00'41.195,00'20.748,10,10,16:34'19.888,01:46'44.888,266.18
48,,,A,01'51.461,00'30.895,00'18.668,00'41.093,00'20.805,10,10,16:36'11.349,01:48'36.349,266.99
49,,,A,01'51.790,00'31.004,00'18.707,00'41.285,00'20.794,10,10,16:38'03.139,01:50'28.139,266.99
50,,,A,01'51.755,00'31.012,00'18.807,00'41.157,00'20.779,10,10,16:39'54.894,01:52'19.894,268.62
51,,,A,01'54.014,00'31.275,00'18.928,00'41.349,00'22.462,10,10,16:41'48.908,01:54'13.908,269.44
52,,,A,01'52.349,00'31.098,00'18.793,00'41.167,00'21.291,10,10,16:43'41.257,01:56'06.257,266.99
53,,,A,,00'57.618,00'35.124,01'26.317,,10,10,16:46'40.316,01:59'05.316,115.27
