【Class:300  Car No:360  TOMEI SPORTS   NISSAN  タイム履歴データ】
LapNo,Best,Pit,Driver,LapTime,Sector1,Sector2,Sector3,Sector4,RankClass,Rank,TimeFired,Time,Speed
1,,,B,02'32.595,01'03.033,00'21.362,00'45.375,00'22.825,8,23,14:50'07.595,00:02'32.595,247.43
2,,,B,02'52.765,00'34.474,00'21.026,01'08.473,00'48.792,8,22,14:53'00.360,00:05'25.360,79.2
3,,,B,03'37.568,01'14.770,00'42.291,01'17.696,00'22.811,8,22,14:56'37.928,00:09'02.928,247.43
4,,,B,02'02.822,00'34.284,00'21.173,00'44.819,00'22.546,8,22,14:58'40.750,00:11'05.750,246.74
5,,,B,02'02.499,00'34.291,00'20.970,00'44.668,00'22.570,8,22,15:00'43.249,00:13'08.249,246.74
6,,,B,02'04.236,00'34.708,00'21.780,00'45.004,00'22.744,9,23,15:02'47.485,00:15'12.485,246.74
7,,,B,02'03.741,00'34.530,00'21.072,00'45.198,00'22.941,9,23,15:04'51.226,00:17'16.226,244.67
8,,,B,02'04.609,00'35.013,00'21.362,00'45.389,00'22.845,9,23,15:06'55.835,00:19'20.835,244.67
9,,,B,02'06.257,00'35.315,00'21.915,00'45.720,00'23.307,9,23,15:09'02.092,00:21'27.092,243.32
10,,,B,02'47.037,00'37.015,00'29.932,01'05.419,00'34.671,8,22,15:11'49.129,00:24'14.129,150.92
11,,,B,03'31.599,00'46.559,00'28.391,01'07.999,01'08.650,8,21,15:15'20.728,00:27'45.728,78.56
12,,,B,04'15.311,01'52.320,00'22.520,01'10.036,00'50.435,8,21,15:19'36.039,00:32'01.039,91.02
13,,,B,03'22.187,00'53.127,00'38.928,01'16.332,00'33.800,8,21,15:22'58.226,00:35'23.226,125.12
14,,P,B,02'09.680,00'34.726,00'21.174,00'46.144,00'27.636,15,28,15:25'07.906,00:37'32.906,246.74
15,,,B,03'30.758,01'57.306,00'24.137,00'45.913,00'23.402,25,38,15:28'38.664,00:41'03.664,243.32
16,,,B,02'05.247,00'34.722,00'21.495,00'45.590,00'23.440,25,38,15:30'43.911,00:43'08.911,243.99
17,,,B,02'03.880,00'34.569,00'21.296,00'45.051,00'22.964,25,38,15:32'47.791,00:45'12.791,243.99
18,,,B,02'04.540,00'34.924,00'21.343,00'45.383,00'22.890,22,35,15:34'52.331,00:47'17.331,243.99
19,,,B,02'04.446,00'34.853,00'21.330,00'45.291,00'22.972,22,35,15:36'56.777,00:49'21.777,244.67
20,,P,B,02'09.946,00'35.072,00'22.070,00'45.631,00'27.173,22,35,15:39'06.723,00:51'31.723,244.67
21,,,B,02'31.347,01'01.718,00'21.399,00'45.259,00'22.971,25,38,15:41'38.070,00:54'03.070,246.05
22,,,B,02'04.480,00'34.759,00'21.252,00'45.265,00'23.204,24,37,15:43'42.550,00:56'07.550,244.67
23,,,B,02'04.941,00'34.964,00'21.468,00'45.537,00'22.972,24,37,15:45'47.491,00:58'12.491,243.99
24,,,B,02'05.946,00'34.999,00'21.414,00'45.553,00'23.980,24,37,15:47'53.437,01:00'18.437,243.99
25,,,B,03'08.076,00'35.315,00'42.282,01'26.651,00'23.828,24,37,15:51'01.513,01:03'26.513,216.88
26,,,B,02'04.726,00'34.605,00'21.272,00'45.377,00'23.472,24,37,15:53'06.239,01:05'31.239,243.99
27,,,B,02'04.983,00'34.874,00'21.595,00'45.468,00'23.046,24,37,15:55'11.222,01:07'36.222,245.36
28,,,B,02'05.607,00'35.670,00'21.447,00'45.384,00'23.106,24,37,15:57'16.829,01:09'41.829,243.99
29,,,B,02'06.529,00'35.294,00'21.691,00'46.147,00'23.397,23,36,15:59'23.358,01:11'48.358,244.67
30,,P,B,02'10.980,00'35.557,00'21.625,00'45.938,00'27.860,23,36,16:01'34.338,01:13'59.338,245.36
31,,,A,03'21.621,01'48.704,00'23.077,00'46.230,00'23.610,23,36,16:04'55.959,01:17'20.959,242.65
32,,,A,02'02.480,00'34.392,00'20.922,00'44.715,00'22.451,23,36,16:06'58.439,01:19'23.439,243.32
33,BL,,A,02'02.279,00'34.286,00'20.990,00'44.439,00'22.564,23,36,16:09'00.718,01:21'25.718,244.67
34,,,A,02'03.868,00'34.494,00'21.638,00'45.067,00'22.669,21,34,16:11'04.586,01:23'29.586,243.99
