【Class:500  Car No:37  TGR TEAM KeePer TOM'S TOYOTA  タイム履歴データ】
LapNo,Best,Pit,Driver,LapTime,Sector1,Sector2,Sector3,Sector4,RankClass,Rank,TimeFired,Time,Speed
1,,,A,01'50.955,00'30.857,00'18.336,00'41.055,00'20.707,2,2,14:49'25.955,00:01'50.955,268.62
2,,,A,01'49.176,00'30.271,00'18.247,00'40.414,00'20.244,2,2,14:51'15.131,00:03'40.131,266.99
3,,,A,03'53.917,00'46.443,00'42.196,01'36.297,00'48.981,2,2,14:55'09.048,00:07'34.048,79.49
4,,,A,02'24.299,01'04.508,00'18.812,00'40.653,00'20.326,2,2,14:57'33.347,00:09'58.347,266.99
5,BL,,A,01'48.997,00'30.133,00'18.299,00'40.365,00'20.200,2,2,14:59'22.344,00:11'47.344,267.8
6,,,A,01'49.515,00'30.301,00'18.328,00'40.575,00'20.311,2,2,15:01'11.859,00:13'36.859,267.8
7,,,A,01'51.181,00'30.357,00'18.867,00'40.986,00'20.971,2,2,15:03'03.040,00:15'28.040,268.62
8,,,A,01'51.967,00'30.807,00'18.633,00'41.267,00'21.260,2,2,15:04'55.007,00:17'20.007,268.62
9,,,A,01'55.536,00'32.782,00'20.481,00'41.470,00'20.803,2,2,15:06'50.543,00:19'15.543,267.8
10,,,A,01'53.852,00'31.426,00'19.127,00'42.218,00'21.081,2,2,15:08'44.395,00:21'09.395,266.18
11,,,A,02'17.600,00'30.639,00'21.335,00'51.551,00'34.075,2,2,15:11'01.995,00:23'26.995,173.94
12,,,A,03'31.505,00'37.604,00'28.676,01'35.390,00'49.835,2,2,15:14'33.500,00:26'58.500,85.19
13,,,A,04'25.348,01'26.720,00'40.729,01'31.130,00'46.769,2,2,15:18'58.848,00:31'23.848,87.57
14,,,A,03'43.463,01'03.703,00'35.466,01'26.257,00'38.037,2,2,15:22'42.311,00:35'07.311,88.54
15,,,A,01'50.920,00'30.923,00'18.702,00'40.909,00'20.386,2,2,15:24'33.231,00:36'58.231,266.18
16,,,A,01'50.490,00'30.481,00'18.558,00'40.898,00'20.553,2,2,15:26'23.721,00:38'48.721,266.18
17,,,A,01'50.454,00'30.515,00'18.534,00'40.936,00'20.469,2,2,15:28'14.175,00:40'39.175,266.18
18,,,A,01'50.452,00'30.510,00'18.461,00'40.947,00'20.534,2,2,15:30'04.627,00:42'29.627,266.18
19,,P,A,01'55.321,00'30.755,00'19.246,00'41.042,00'24.278,3,3,15:31'59.948,00:44'24.948,266.18
20,,,B,03'06.954,01'41.673,00'20.915,00'42.271,00'22.095,9,9,15:35'06.902,00:47'31.902,262.99
21,,,B,01'52.628,00'31.185,00'18.977,00'41.419,00'21.047,8,8,15:36'59.530,00:49'24.530,264.57
22,,,B,01'51.779,00'31.505,00'18.756,00'40.871,00'20.647,8,8,15:38'51.309,00:51'16.309,266.18
23,,,B,01'51.524,00'30.818,00'18.580,00'40.708,00'21.418,8,8,15:40'42.833,00:53'07.833,271.11
24,,,B,01'53.713,00'32.164,00'19.080,00'41.313,00'21.156,5,5,15:42'36.546,00:55'01.546,266.99
25,,,B,01'51.093,00'31.066,00'18.557,00'40.844,00'20.626,4,4,15:44'27.639,00:56'52.639,266.99
26,,,B,01'51.358,00'31.213,00'18.844,00'40.717,00'20.584,4,4,15:46'18.997,00:58'43.997,266.18
27,,,B,01'50.373,00'30.551,00'18.512,00'40.670,00'20.640,4,4,15:48'09.370,01:00'34.370,266.18
28,,,B,03'00.230,00'46.398,00'42.149,01'10.770,00'20.913,3,3,15:51'09.600,01:03'34.600,264.57
29,,,B,01'51.417,00'30.953,00'18.850,00'40.957,00'20.657,3,3,15:53'01.017,01:05'26.017,266.18
30,,,B,01'50.955,00'30.626,00'18.657,00'41.052,00'20.620,3,3,15:54'51.972,01:07'16.972,268.62
31,,,B,01'51.609,00'30.814,00'18.767,00'41.354,00'20.674,3,3,15:56'43.581,01:09'08.581,266.99
32,,,B,01'51.922,00'30.885,00'19.012,00'41.264,00'20.761,3,3,15:58'35.503,01:11'00.503,267.8
33,,,B,01'51.277,00'30.902,00'18.798,00'40.972,00'20.605,3,3,16:00'26.780,01:12'51.780,267.8
34,,,B,01'53.654,00'31.246,00'19.205,00'41.966,00'21.237,3,3,16:02'20.434,01:14'45.434,267.8
35,,,B,01'52.983,00'31.834,00'18.813,00'41.588,00'20.748,3,3,16:04'13.417,01:16'38.417,266.99
36,,,B,01'53.223,00'31.703,00'19.316,00'41.404,00'20.800,3,3,16:06'06.640,01:18'31.640,267.8
37,,,B,01'53.439,00'32.262,00'18.873,00'41.491,00'20.813,3,3,16:08'00.079,01:20'25.079,266.18
38,,,B,01'52.806,00'31.744,00'19.212,00'41.216,00'20.634,3,3,16:09'52.885,01:22'17.885,265.37
39,,,B,02'37.820,00'31.035,00'18.790,00'59.389,00'48.606,3,3,16:12'30.705,01:24'55.705,79.42
40,,,B,02'36.833,00'50.710,00'22.069,00'54.983,00'29.071,3,3,16:15'07.538,01:27'32.538,157.7
41,,,B,03'46.186,00'44.628,00'41.520,01'31.017,00'49.021,3,3,16:18'53.724,01:31'18.724,104.82
42,,,B,04'11.657,01'21.599,00'40.511,01'26.259,00'43.288,3,3,16:23'05.381,01:35'30.381,90.55
43,,,B,03'41.109,01'02.838,00'37.075,01'23.310,00'37.886,3,3,16:26'46.490,01:39'11.490,86.37
44,,,B,01'52.671,00'31.947,00'18.865,00'41.077,00'20.782,3,3,16:28'39.161,01:41'04.161,265.37
45,,,B,01'51.036,00'30.788,00'18.709,00'40.918,00'20.621,3,3,16:30'30.197,01:42'55.197,266.18
46,,,B,01'50.709,00'30.614,00'18.633,00'40.921,00'20.541,3,3,16:32'20.906,01:44'45.906,266.18
47,,,B,01'50.261,00'30.555,00'18.545,00'40.723,00'20.438,3,3,16:34'11.167,01:46'36.167,266.99
48,,,B,01'50.432,00'30.508,00'18.659,00'40.784,00'20.481,3,3,16:36'01.599,01:48'26.599,266.18
49,,,B,01'50.887,00'30.623,00'18.584,00'40.973,00'20.707,3,3,16:37'52.486,01:50'17.486,266.99
