【Class:500  Car No:38  TGR TEAM ZENT CERUMO TOYOTA  タイム履歴データ】
LapNo,Best,Pit,Driver,LapTime,Sector1,Sector2,Sector3,Sector4,RankClass,Rank,TimeFired,Time,Speed
1,,,A,02'00.235,00'37.803,00'19.461,00'41.095,00'21.876,14,14,14:49'35.235,00:02'00.235,266.18
2,,,A,01'51.088,00'30.777,00'18.548,00'40.891,00'20.872,13,13,14:51'26.323,00:03'51.323,266.99
3,,,A,04'13.242,01'05.752,00'42.265,01'36.475,00'48.750,13,13,14:55'39.565,00:08'04.565,79.2
4,,,A,02'07.863,00'48.009,00'18.634,00'40.704,00'20.516,13,13,14:57'47.428,00:10'12.428,266.18
5,BL,,A,01'50.574,00'30.591,00'18.579,00'40.827,00'20.577,13,13,14:59'38.002,00:12'03.002,267.8
6,,,A,01'50.864,00'30.649,00'18.788,00'40.871,00'20.556,12,12,15:01'28.866,00:13'53.866,268.62
7,,,A,01'51.019,00'30.721,00'18.720,00'40.916,00'20.662,12,12,15:03'19.885,00:15'44.885,268.62
8,,,A,01'52.658,00'30.863,00'19.367,00'41.182,00'21.246,12,12,15:05'12.543,00:17'37.543,269.44
9,,,A,01'52.338,00'31.617,00'18.883,00'41.107,00'20.731,12,12,15:07'04.881,00:19'29.881,271.11
10,,,A,01'59.231,00'32.610,00'21.545,00'42.314,00'22.762,12,12,15:09'04.112,00:21'29.112,271.11
