【Class:500  Car No:39  TGR TEAM SARD TOYOTA  タイム履歴データ】
LapNo,Best,Pit,Driver,LapTime,Sector1,Sector2,Sector3,Sector4,RankClass,Rank,TimeFired,Time,Speed
1,,,A,01'53.899,00'33.453,00'18.769,00'40.809,00'20.868,6,6,14:49'28.899,00:01'53.899,264.57
2,,,A,01'50.912,00'30.780,00'18.633,00'40.698,00'20.801,6,6,14:51'19.811,00:03'44.811,266.18
3,,,A,03'59.104,00'51.894,00'42.242,01'36.209,00'48.759,6,6,14:55'18.915,00:07'43.915,79.27
4,,,A,02'19.960,00'59.143,00'19.010,00'41.055,00'20.752,6,6,14:57'38.875,00:10'03.875,266.18
5,,,A,01'50.692,00'30.842,00'18.618,00'40.696,00'20.536,6,6,14:59'29.567,00:11'54.567,266.99
6,BL,,A,01'50.441,00'30.623,00'18.563,00'40.613,00'20.642,6,6,15:01'20.008,00:13'45.008,268.62
7,,,A,01'50.761,00'30.663,00'18.623,00'40.758,00'20.717,6,6,15:03'10.769,00:15'35.769,269.44
8,,,A,01'53.594,00'31.508,00'19.114,00'41.395,00'21.577,6,6,15:05'04.363,00:17'29.363,271.95
9,,,A,01'55.946,00'30.906,00'19.515,00'42.465,00'23.060,7,7,15:07'00.309,00:19'25.309,266.99
10,,,A,01'54.809,00'32.648,00'20.280,00'41.087,00'20.794,7,7,15:08'55.118,00:21'20.118,268.62
11,,,A,02'37.703,00'33.600,00'27.854,01'05.135,00'31.114,7,7,15:11'32.821,00:23'57.821,177.09
12,,,A,03'28.524,00'42.467,00'26.925,01'18.624,01'00.508,7,7,15:15'01.345,00:27'26.345,88.1
13,,,A,04'05.928,01'04.535,00'43.184,01'30.502,00'47.707,7,7,15:19'07.273,00:31'32.273,83.89
14,,,A,03'38.708,01'01.132,00'36.065,01'25.169,00'36.342,7,7,15:22'45.981,00:35'10.981,116.65
15,,,A,01'53.524,00'31.763,00'19.094,00'41.530,00'21.137,7,7,15:24'39.505,00:37'04.505,262.99
16,,,A,01'51.620,00'30.967,00'18.713,00'40.889,00'21.051,7,7,15:26'31.125,00:38'56.125,266.18
17,,,A,01'52.846,00'31.641,00'19.151,00'41.024,00'21.030,7,7,15:28'23.971,00:40'48.971,266.99
18,,,A,01'51.693,00'31.452,00'18.609,00'40.707,00'20.925,7,7,15:30'15.664,00:42'40.664,267.8
19,,,A,01'51.266,00'30.924,00'18.711,00'40.717,00'20.914,6,6,15:32'06.930,00:44'31.930,267.8
20,,,A,01'50.826,00'30.910,00'18.586,00'40.702,00'20.628,5,5,15:33'57.756,00:46'22.756,268.62
21,,,A,01'51.766,00'31.084,00'18.896,00'40.992,00'20.794,4,4,15:35'49.522,00:48'14.522,267.8
22,,,A,01'51.790,00'31.122,00'18.825,00'41.054,00'20.789,3,3,15:37'41.312,00:50'06.312,269.44
23,,,A,01'52.428,00'31.703,00'18.893,00'40.890,00'20.942,2,2,15:39'33.740,00:51'58.740,271.95
24,,,A,01'54.802,00'32.455,00'19.057,00'41.205,00'22.085,1,1,15:41'28.542,00:53'53.542,267.8
25,,,A,01'52.478,00'30.870,00'18.720,00'41.999,00'20.889,1,1,15:43'21.020,00:55'46.020,267.8
26,,,A,01'51.964,00'31.570,00'18.838,00'40.899,00'20.657,1,1,15:45'12.984,00:57'37.984,266.99
27,,P,A,01'55.121,00'30.691,00'18.483,00'40.841,00'25.106,1,1,15:47'08.105,00:59'33.105,267.8
28,,,B,04'03.240,01'43.777,00'42.401,01'14.621,00'22.441,4,4,15:51'11.345,01:03'36.345,261.42
29,,,B,01'53.219,00'31.742,00'19.050,00'41.057,00'21.370,4,4,15:53'04.564,01:05'29.564,266.18
30,,,B,01'51.918,00'30.910,00'18.870,00'41.240,00'20.898,4,4,15:54'56.482,01:07'21.482,263.78
31,,,B,01'52.506,00'30.860,00'19.144,00'41.586,00'20.916,4,4,15:56'48.988,01:09'13.988,263.78
32,,,B,01'53.336,00'31.272,00'19.087,00'41.634,00'21.343,4,4,15:58'42.324,01:11'07.324,263.78
33,,,B,01'52.862,00'31.545,00'18.879,00'41.516,00'20.922,4,4,16:00'35.186,01:13'00.186,264.57
34,,,B,01'52.402,00'31.096,00'18.910,00'41.446,00'20.950,4,4,16:02'27.588,01:14'52.588,264.57
35,,,B,01'53.955,00'31.617,00'19.493,00'41.772,00'21.073,4,4,16:04'21.543,01:16'46.543,265.37
