【Class:300  Car No:4  GOODSMILE RACING & TeamUKYO Mercedes  タイム履歴データ】
LapNo,Best,Pit,Driver,LapTime,Sector1,Sector2,Sector3,Sector4,RankClass,Rank,TimeFired,Time,Speed
1,,,B,02'38.533,01'07.614,00'22.000,00'45.752,00'23.167,20,35,14:50'13.533,00:02'38.533,241.31
2,,,B,03'02.305,00'35.162,00'21.866,01'16.814,00'48.463,20,34,14:53'15.838,00:05'40.838,79.63
3,,,B,03'30.093,01'13.798,00'41.817,01'11.794,00'22.684,19,33,14:56'45.931,00:09'10.931,239.34
4,BL,,B,02'02.274,00'34.017,00'20.892,00'44.998,00'22.367,19,33,14:58'48.205,00:11'13.205,241.31
5,,,B,02'02.335,00'34.110,00'20.877,00'45.053,00'22.295,19,33,15:00'50.540,00:13'15.540,240.65
6,,,B,02'02.925,00'34.254,00'20.945,00'45.208,00'22.518,19,33,15:02'53.465,00:15'18.465,242.65
7,,,B,02'03.257,00'34.286,00'21.052,00'45.329,00'22.590,19,33,15:04'56.722,00:17'21.722,240.65
8,,,B,02'04.677,00'34.673,00'21.178,00'45.592,00'23.234,19,33,15:07'01.399,00:19'26.399,243.99
9,,,B,02'06.442,00'35.366,00'22.655,00'45.827,00'22.594,19,33,15:09'07.841,00:21'32.841,242.65
10,,,B,03'00.641,00'41.145,00'30.939,01'08.207,00'40.350,18,32,15:12'08.482,00:24'33.482,132.09
11,,,B,03'42.909,00'44.202,00'25.717,01'11.539,01'21.451,18,31,15:15'51.391,00:28'16.391,71.53
12,,P,B,03'58.917,01'52.361,00'22.901,00'55.287,00'48.368,16,29,15:19'50.308,00:32'15.308,102.73
13,,,B,03'18.360,01'22.080,00'21.567,00'59.424,00'35.289,21,34,15:23'08.668,00:35'33.668,160.87
14,,,B,02'03.882,00'35.097,00'21.378,00'44.974,00'22.433,20,33,15:25'12.550,00:37'37.550,241.31
15,,,B,02'02.830,00'34.093,00'20.899,00'45.205,00'22.633,18,31,15:27'15.380,00:39'40.380,241.98
16,,,B,02'04.030,00'34.346,00'21.311,00'45.402,00'22.971,17,30,15:29'19.410,00:41'44.410,244.67
17,,,B,02'03.330,00'34.643,00'21.304,00'45.000,00'22.383,12,25,15:31'22.740,00:43'47.740,240.65
18,,,B,02'02.897,00'34.216,00'20.817,00'45.066,00'22.798,12,25,15:33'25.637,00:45'50.637,240.65
19,,P,B,02'07.019,00'34.485,00'20.902,00'45.243,00'26.389,11,24,15:35'32.656,00:47'57.656,239.99
20,,,A,03'03.107,01'30.200,00'22.678,00'47.039,00'23.190,16,29,15:38'35.763,00:51'00.763,239.34
21,,,A,02'04.504,00'34.797,00'20.936,00'45.298,00'23.473,17,30,15:40'40.267,00:53'05.267,241.31
22,,,A,02'03.866,00'34.891,00'20.976,00'45.325,00'22.674,17,30,15:42'44.133,00:55'09.133,240.65
23,,,A,02'04.937,00'34.962,00'21.441,00'45.080,00'23.454,17,30,15:44'49.070,00:57'14.070,240.65
24,,,A,02'02.888,00'34.469,00'20.918,00'45.063,00'22.438,17,30,15:46'51.958,00:59'16.958,240.65
25,,,A,02'39.211,00'34.491,00'20.854,00'55.126,00'48.740,16,29,15:49'31.169,01:01'56.169,79.92
26,,,A,02'35.202,01'07.057,00'20.790,00'44.937,00'22.418,16,29,15:52'06.371,01:04'31.371,241.31
27,,,A,02'03.087,00'34.237,00'20.931,00'45.075,00'22.844,16,29,15:54'09.458,01:06'34.458,241.31
