【Class:300  Car No:48  NILZZ Racing NISSAN  タイム履歴データ】
LapNo,Best,Pit,Driver,LapTime,Sector1,Sector2,Sector3,Sector4,RankClass,Rank,TimeFired,Time,Speed
1,,,A,02'40.511,01'08.745,00'22.414,00'45.769,00'23.583,25,40,14:50'15.511,00:02'40.511,246.05
2,,,A,03'09.668,00'35.028,00'21.926,01'22.585,00'50.129,25,39,14:53'25.179,00:05'50.179,73.62
3,,,A,03'26.171,01'14.377,00'42.181,01'06.538,00'23.075,25,39,14:56'51.350,00:09'16.350,244.67
4,,,A,02'06.558,00'35.019,00'22.011,00'46.131,00'23.397,26,40,14:58'57.908,00:11'22.908,244.67
5,,,A,02'05.405,00'35.126,00'21.361,00'45.511,00'23.407,26,40,15:01'03.313,00:13'28.313,243.99
6,,,A,02'07.579,00'35.544,00'22.276,00'46.002,00'23.757,26,40,15:03'10.892,00:15'35.892,244.67
7,,,A,02'09.376,00'36.029,00'23.475,00'46.425,00'23.447,26,40,15:05'20.268,00:17'45.268,243.32
8,,,A,02'06.940,00'35.303,00'21.624,00'45.670,00'24.343,26,40,15:07'27.208,00:19'52.208,243.99
9,,,A,02'07.444,00'35.661,00'21.733,00'46.231,00'23.819,25,39,15:09'34.652,00:21'59.652,241.98
10,,,A,02'45.599,00'36.819,00'22.848,01'04.255,00'41.677,24,38,15:12'20.251,00:24'45.251,139.2
11,,,A,04'02.946,00'50.966,00'25.242,01'03.475,01'43.263,24,37,15:16'23.197,00:28'48.197,58.87
12,,P,A,03'33.168,01'38.887,00'21.962,00'46.387,00'45.932,22,35,15:19'56.365,00:32'21.365,157.13
13,,,A,03'14.879,01'29.232,00'21.776,00'47.779,00'36.092,24,37,15:23'11.244,00:35'36.244,166.36
14,,,A,02'06.998,00'35.320,00'21.758,00'46.228,00'23.692,24,37,15:25'18.242,00:37'43.242,244.67
15,,,A,02'06.587,00'35.418,00'21.639,00'45.971,00'23.559,22,35,15:27'24.829,00:39'49.829,243.32
16,,,A,02'06.862,00'35.609,00'21.855,00'46.006,00'23.392,21,34,15:29'31.691,00:41'56.691,243.99
17,,P,A,02'13.732,00'35.843,00'22.004,00'46.538,00'29.347,17,30,15:31'45.423,00:44'10.423,241.31
18,,,B,03'14.535,01'42.018,00'22.724,00'46.367,00'23.426,23,36,15:34'59.958,00:47'24.958,240.65
19,,,B,02'04.787,00'34.978,00'21.389,00'45.260,00'23.160,23,36,15:37'04.745,00:49'29.745,242.65
20,,,B,02'05.843,00'34.686,00'20.970,00'45.165,00'25.022,23,36,15:39'10.588,00:51'35.588,243.32
