【Class:300  Car No:5  TEAM MACH TOYOTA  タイム履歴データ】
LapNo,Best,Pit,Driver,LapTime,Sector1,Sector2,Sector3,Sector4,RankClass,Rank,TimeFired,Time,Speed
1,,,A,02'31.756,01'02.581,00'21.168,00'45.250,00'22.757,6,21,14:50'06.756,00:02'31.756,243.99
2,,,A,02'51.076,00'34.198,00'20.708,01'07.309,00'48.861,6,20,14:52'57.832,00:05'22.832,79.42
3,,,A,03'39.046,01'14.361,00'42.164,01'19.228,00'23.293,6,20,14:56'36.878,00:09'01.878,239.99
4,,,A,02'02.392,00'34.187,00'20.705,00'44.886,00'22.614,6,20,14:58'39.270,00:11'04.270,244.67
5,BL,,A,02'01.761,00'33.899,00'20.368,00'44.727,00'22.767,6,20,15:00'41.031,00:13'06.031,245.36
6,,,A,02'02.108,00'33.820,00'20.660,00'44.903,00'22.725,6,20,15:02'43.139,00:15'08.139,245.36
7,,,A,02'02.122,00'34.030,00'20.604,00'44.806,00'22.682,6,20,15:04'45.261,00:17'10.261,245.36
8,,,A,02'03.182,00'34.246,00'20.732,00'45.043,00'23.161,6,20,15:06'48.443,00:19'13.443,244.67
9,,,A,02'02.622,00'34.445,00'20.733,00'44.811,00'22.633,6,20,15:08'51.065,00:21'16.065,245.36
10,,,A,02'37.138,00'34.818,00'26.577,01'04.030,00'31.713,5,19,15:11'28.203,00:23'53.203,164.49
11,,,A,03'30.089,00'43.786,00'26.500,01'18.065,01'01.738,5,18,15:14'58.292,00:27'23.292,65.4
12,,,A,04'33.852,02'08.348,00'23.256,01'12.853,00'49.395,5,18,15:19'32.144,00:31'57.144,90.18
13,,,A,03'23.926,00'54.383,00'38.599,01'17.512,00'33.432,5,18,15:22'56.070,00:35'21.070,119.99
14,,,A,02'03.650,00'34.827,00'21.021,00'44.985,00'22.817,5,18,15:24'59.720,00:37'24.720,243.99
15,,,A,02'02.754,00'34.122,00'20.758,00'45.101,00'22.773,5,18,15:27'02.474,00:39'27.474,243.99
16,,P,A,02'08.468,00'34.452,00'20.800,00'45.154,00'28.062,9,22,15:29'10.942,00:41'35.942,246.05
17,,,B,02'55.543,01'23.835,00'21.730,00'46.238,00'23.740,18,31,15:32'06.485,00:44'31.485,243.99
18,,,B,02'05.017,00'34.764,00'21.459,00'45.545,00'23.249,14,27,15:34'11.502,00:46'36.502,242.65
19,,,B,02'02.838,00'34.219,00'20.730,00'45.059,00'22.830,13,26,15:36'14.340,00:48'39.340,243.99
20,,,B,02'02.324,00'34.002,00'20.630,00'44.865,00'22.827,11,24,15:38'16.664,00:50'41.664,243.99
21,,,B,02'05.255,00'35.262,00'21.409,00'45.199,00'23.385,12,25,15:40'21.919,00:52'46.919,244.67
22,,,B,02'03.516,00'34.947,00'20.721,00'45.017,00'22.831,11,24,15:42'25.435,00:54'50.435,245.36
23,,,B,02'02.346,00'34.041,00'20.686,00'44.747,00'22.872,10,23,15:44'27.781,00:56'52.781,246.74
24,,,B,02'03.169,00'34.296,00'20.979,00'44.795,00'23.099,7,20,15:46'30.950,00:58'55.950,246.05
25,,,B,02'11.748,00'34.335,00'20.917,00'45.474,00'31.022,5,18,15:48'42.698,01:01'07.698,246.05
26,,,B,03'00.259,01'13.924,00'38.419,00'45.015,00'22.901,3,16,15:51'42.957,01:04'07.957,245.36
27,,,B,02'02.573,00'34.310,00'20.905,00'44.722,00'22.636,3,16,15:53'45.530,01:06'10.530,245.36
28,,,B,02'01.941,00'33.909,00'20.606,00'44.678,00'22.748,3,16,15:55'47.471,01:08'12.471,246.05
29,,,B,02'01.924,00'34.109,00'20.610,00'44.643,00'22.562,3,16,15:57'49.395,01:10'14.395,246.74
30,,,B,02'02.357,00'34.057,00'20.669,00'44.955,00'22.676,3,16,15:59'51.752,01:12'16.752,246.05
31,,,B,02'02.800,00'34.125,00'20.763,00'45.082,00'22.830,3,16,16:01'54.552,01:14'19.552,245.36
32,,,B,02'02.907,00'34.178,00'20.721,00'44.981,00'23.027,3,16,16:03'57.459,01:16'22.459,243.99
33,,,B,02'02.725,00'34.309,00'20.744,00'44.895,00'22.777,3,16,16:06'00.184,01:18'25.184,246.05
34,,,B,02'02.855,00'34.185,00'20.703,00'45.151,00'22.816,3,16,16:08'03.039,01:20'28.039,246.74
35,,,B,02'03.324,00'34.406,00'20.886,00'45.130,00'22.902,3,16,16:10'06.363,01:22'31.363,246.74
36,,,B,03'09.497,00'35.021,00'21.081,01'30.457,00'42.938,3,16,16:13'15.860,01:25'40.860,79.63
37,,,B,02'18.894,00'36.127,00'21.476,00'57.093,00'24.198,3,16,16:15'34.754,01:27'59.754,217.96
38,,,B,03'31.140,00'35.631,00'33.148,01'31.556,00'50.805,3,15,16:19'05.894,01:31'30.894,72.71
39,,,B,04'17.672,01'23.366,00'43.807,01'25.484,00'45.015,3,15,16:23'23.566,01:35'48.566,135.55
40,,,B,03'31.986,00'58.399,00'38.134,01'20.013,00'35.440,2,14,16:26'55.552,01:39'20.552,95.99
41,,,B,02'03.583,00'34.963,00'20.961,00'44.857,00'22.802,2,14,16:28'59.135,01:41'24.135,246.05
42,,,B,02'02.027,00'34.133,00'20.653,00'44.624,00'22.617,2,14,16:31'01.162,01:43'26.162,247.43
43,,,B,02'01.842,00'33.801,00'20.604,00'44.660,00'22.777,2,14,16:33'03.004,01:45'28.004,246.05
44,,,B,02'02.518,00'34.170,00'20.763,00'44.692,00'22.893,2,14,16:35'05.522,01:47'30.522,247.43
45,,,B,02'03.000,00'34.274,00'20.803,00'44.846,00'23.077,2,14,16:37'08.522,01:49'33.522,247.43
46,,,B,02'02.278,00'34.165,00'20.712,00'44.712,00'22.689,2,14,16:39'10.800,01:51'35.800,248.13
47,,,B,02'02.660,00'34.133,00'20.770,00'44.930,00'22.827,2,14,16:41'13.460,01:53'38.460,247.43
48,,,B,02'02.617,00'34.269,00'20.810,00'44.783,00'22.755,2,14,16:43'16.077,01:55'41.077,246.74
49,,,B,02'02.879,00'34.291,00'20.952,00'44.851,00'22.785,2,14,16:45'18.956,01:57'43.956,247.43
50,,,B,,00'39.991,00'26.078,00'48.902,,1,13,16:47'13.927,01:59'38.927,236.76
