【Class:300  Car No:50  Arnage Racing TOYOTA  タイム履歴データ】
LapNo,Best,Pit,Driver,LapTime,Sector1,Sector2,Sector3,Sector4,RankClass,Rank,TimeFired,Time,Speed
1,,,B,02'35.298,01'04.950,00'21.837,00'45.590,00'22.921,13,28,14:50'10.298,00:02'35.298,244.67
2,,,B,02'56.551,00'34.308,00'20.811,01'12.663,00'48.769,13,27,14:53'06.849,00:05'31.849,79.06
3,,,B,03'34.768,01'14.403,00'42.200,01'15.492,00'22.673,13,27,14:56'41.617,00:09'06.617,240.65
4,,,B,02'02.198,00'33.645,00'20.656,00'45.118,00'22.779,13,27,14:58'43.815,00:11'08.815,243.32
5,,,B,02'02.817,00'34.141,00'20.940,00'45.157,00'22.579,13,27,15:00'46.632,00:13'11.632,243.99
6,,,B,02'02.679,00'34.007,00'20.823,00'45.356,00'22.493,13,27,15:02'49.311,00:15'14.311,243.99
7,,,B,02'03.636,00'34.386,00'21.005,00'45.468,00'22.777,13,27,15:04'52.947,00:17'17.947,243.32
8,,,B,02'04.715,00'34.934,00'21.287,00'45.760,00'22.734,13,27,15:06'57.662,00:19'22.662,244.67
9,,,B,02'06.552,00'35.493,00'21.330,00'46.188,00'23.541,13,27,15:09'04.214,00:21'29.214,246.05
10,,,B,02'57.786,00'40.494,00'30.262,01'06.971,00'40.059,12,26,15:12'02.000,00:24'27.000,122.68
11,,,B,03'38.625,00'42.645,00'27.446,01'08.654,01'19.880,12,25,15:15'40.625,00:28'05.625,69.6
12,,,B,04'05.344,01'47.845,00'29.241,00'56.988,00'51.270,12,25,15:19'45.969,00:32'10.969,94.85
13,,,B,03'15.385,00'50.195,00'37.657,01'13.476,00'34.057,12,25,15:23'01.354,00:35'26.354,121.99
14,,,B,02'04.122,00'34.699,00'20.922,00'45.403,00'23.098,11,24,15:25'05.476,00:37'30.476,241.98
15,,,B,02'02.062,00'34.122,00'20.552,00'44.773,00'22.615,10,23,15:27'07.538,00:39'32.538,245.36
16,,,B,02'03.186,00'34.112,00'20.944,00'45.397,00'22.733,8,21,15:29'10.724,00:41'35.724,243.99
17,BL,,B,02'01.932,00'33.784,00'20.571,00'44.905,00'22.672,8,21,15:31'12.656,00:43'37.656,243.32
18,,,B,02'02.916,00'34.139,00'20.769,00'45.130,00'22.878,8,21,15:33'15.572,00:45'40.572,243.99
19,,,B,02'04.430,00'35.031,00'21.189,00'45.418,00'22.792,8,21,15:35'20.002,00:47'45.002,242.65
20,,,B,02'04.377,00'34.798,00'21.095,00'45.488,00'22.996,7,20,15:37'24.379,00:49'49.379,243.32
21,,,B,02'05.832,00'35.433,00'21.144,00'46.079,00'23.176,7,20,15:39'30.211,00:51'55.211,243.32
22,,,B,02'05.221,00'35.230,00'21.228,00'45.665,00'23.098,6,19,15:41'35.432,00:54'00.432,241.98
23,,,B,02'05.664,00'34.738,00'21.136,00'45.987,00'23.803,6,19,15:43'41.096,00:56'06.096,241.98
24,,,B,02'07.979,00'35.577,00'21.900,00'46.881,00'23.621,3,16,15:45'49.075,00:58'14.075,242.65
25,,P,B,02'15.229,00'36.100,00'22.538,00'46.885,00'29.706,2,15,15:48'04.304,01:00'29.304,240.65
26,,,A,03'51.391,02'01.345,00'36.366,00'48.570,00'25.110,9,22,15:51'55.695,01:04'20.695,240.65
27,,,A,02'07.112,00'35.313,00'22.310,00'46.133,00'23.356,10,23,15:54'02.807,01:06'27.807,240.65
28,,,A,02'04.467,00'34.625,00'21.300,00'45.535,00'23.007,10,23,15:56'07.274,01:08'32.274,241.31
29,,P,A,03'52.681,00'35.067,00'21.275,02'25.594,00'30.745,24,37,15:59'59.955,01:12'24.955,222.37
30,,,A,03'13.246,01'37.687,00'24.204,00'47.581,00'23.774,24,37,16:03'13.201,01:15'38.201,241.31
31,,,A,02'06.492,00'35.224,00'21.956,00'45.816,00'23.496,24,37,16:05'19.693,01:17'44.693,241.31
32,,,A,02'05.360,00'34.825,00'21.391,00'45.914,00'23.230,24,37,16:07'25.053,01:19'50.053,241.31
33,,,A,02'05.049,00'34.813,00'21.611,00'45.492,00'23.133,24,37,16:09'30.102,01:21'55.102,241.98
34,,,A,02'44.824,00'36.199,00'23.338,00'56.208,00'49.079,23,36,16:12'14.926,01:24'39.926,79.27
35,,,A,02'51.282,01'02.566,00'24.485,00'54.200,00'30.031,22,35,16:15'06.208,01:27'31.208,191.37
36,,,A,03'45.877,00'44.408,00'41.455,01'30.456,00'49.558,21,34,16:18'52.085,01:31'17.085,82.94
37,,,A,02'34.555,00'53.273,00'23.607,00'52.783,00'24.892,21,34,16:21'26.640,01:33'51.640,239.99
38,,,A,02'22.381,00'35.716,00'22.951,00'46.777,00'36.937,21,33,16:23'49.021,01:36'14.021,203.8
39,,,A,03'18.271,00'52.279,00'39.993,01'10.769,00'35.230,21,33,16:27'07.292,01:39'32.292,133.29
40,,,A,02'06.741,00'35.158,00'21.902,00'46.117,00'23.564,21,33,16:29'14.033,01:41'39.033,243.99
41,,,A,02'05.138,00'34.590,00'21.385,00'45.681,00'23.482,21,33,16:31'19.171,01:43'44.171,243.99
42,,,A,02'05.719,00'34.703,00'21.453,00'46.009,00'23.554,21,33,16:33'24.890,01:45'49.890,243.32
