【Class:300  Car No:52  SAITAMATOYOPET Green Brave TOYOTA  タイム履歴データ】
LapNo,Best,Pit,Driver,LapTime,Sector1,Sector2,Sector3,Sector4,RankClass,Rank,TimeFired,Time,Speed
1,,,B,02'37.805,01'06.858,00'21.738,00'45.568,00'23.641,17,32,14:50'12.805,00:02'37.805,246.05
2,,,B,02'57.619,00'34.553,00'21.000,01'13.466,00'48.600,17,31,14:53'10.424,00:05'35.424,79.63
3,,,B,03'33.287,01'14.307,00'42.132,01'14.140,00'22.708,17,31,14:56'43.711,00:09'08.711,241.98
4,,,B,02'03.844,00'34.162,00'21.993,00'45.105,00'22.584,18,32,14:58'47.555,00:11'12.555,243.32
5,,,B,02'02.601,00'33.804,00'21.044,00'44.991,00'22.762,18,32,15:00'50.156,00:13'15.156,243.99
6,,,B,02'02.760,00'33.963,00'21.071,00'45.091,00'22.635,18,32,15:02'52.916,00:15'17.916,244.67
7,,,B,02'03.400,00'34.081,00'21.024,00'45.310,00'22.985,18,32,15:04'56.316,00:17'21.316,244.67
8,,,B,02'04.826,00'34.158,00'21.234,00'45.666,00'23.768,18,32,15:07'01.142,00:19'26.142,245.36
9,,,B,02'06.252,00'34.995,00'22.802,00'45.719,00'22.736,18,32,15:09'07.394,00:21'32.394,244.67
10,,,B,03'00.055,00'40.427,00'30.690,01'07.892,00'41.046,17,31,15:12'07.449,00:24'32.449,95.06
11,,,B,03'42.474,00'43.010,00'26.129,01'12.237,01'21.098,17,30,15:15'49.923,00:28'14.923,78.56
12,,P,B,03'59.449,01'50.234,00'25.507,00'55.531,00'48.177,15,28,15:19'49.372,00:32'14.372,101.54
13,,,B,03'20.890,01'33.510,00'21.978,00'49.822,00'35.580,23,36,15:23'10.262,00:35'35.262,169.24
14,,,B,02'04.593,00'34.259,00'22.214,00'45.397,00'22.723,22,35,15:25'14.855,00:37'39.855,240.65
15,BL,,B,02'01.248,00'33.401,00'20.432,00'44.615,00'22.800,20,33,15:27'16.103,00:39'41.103,245.36
16,,,B,02'03.658,00'34.125,00'21.067,00'45.284,00'23.182,18,31,15:29'19.761,00:41'44.761,246.74
17,,P,B,02'10.315,00'34.553,00'21.403,00'44.929,00'29.430,14,27,15:31'30.076,00:43'55.076,244.67
18,,,A,02'46.348,01'17.987,00'20.686,00'45.112,00'22.563,15,28,15:34'16.424,00:46'41.424,243.32
