【Class:300  Car No:55  ARTA HONDA  タイム履歴データ】
LapNo,Best,Pit,Driver,LapTime,Sector1,Sector2,Sector3,Sector4,RankClass,Rank,TimeFired,Time,Speed
1,,,A,02'36.985,01'06.400,00'21.533,00'45.480,00'23.572,15,30,14:50'11.985,00:02'36.985,250.97
2,,,A,02'56.760,00'34.388,00'20.763,01'12.748,00'48.861,15,29,14:53'08.745,00:05'33.745,79.27
3,,,A,03'34.177,01'14.372,00'42.232,01'14.759,00'22.814,15,29,14:56'42.922,00:09'07.922,248.13
4,,,A,02'02.020,00'34.246,00'20.651,00'44.442,00'22.681,15,29,14:58'44.942,00:11'09.942,248.13
5,,,A,02'02.541,00'34.265,00'20.765,00'44.743,00'22.768,15,29,15:00'47.483,00:13'12.483,234.86
6,,,A,02'02.757,00'34.523,00'20.857,00'44.666,00'22.711,15,29,15:02'50.240,00:15'15.240,248.13
7,,,A,02'03.835,00'34.578,00'20.873,00'44.887,00'23.497,15,29,15:04'54.075,00:17'19.075,239.34
8,,,A,02'04.449,00'34.931,00'21.001,00'45.350,00'23.167,14,28,15:06'58.524,00:19'23.524,248.83
9,,,A,02'07.043,00'35.407,00'21.048,00'45.971,00'24.617,14,28,15:09'05.567,00:21'30.567,250.97
10,,,A,02'57.415,00'39.923,00'30.307,01'07.126,00'40.059,13,27,15:12'02.982,00:24'27.982,125.84
11,,,A,03'38.866,00'42.868,00'26.900,01'09.488,01'19.610,13,26,15:15'41.848,00:28'06.848,75.98
12,,,A,04'05.337,01'48.276,00'28.510,00'57.188,00'51.363,13,26,15:19'47.185,00:32'12.185,101.31
13,,,A,03'14.457,00'49.801,00'37.598,01'13.166,00'33.892,13,26,15:23'01.642,00:35'26.642,139.42
14,,,A,02'04.539,00'35.677,00'21.283,00'44.633,00'22.946,12,25,15:25'06.181,00:37'31.181,248.83
15,,,A,02'03.715,00'34.891,00'20.913,00'44.739,00'23.172,12,25,15:27'09.896,00:39'34.896,250.25
