【Class:300  Car No:6  Team LeMans Audi  タイム履歴データ】
LapNo,Best,Pit,Driver,LapTime,Sector1,Sector2,Sector3,Sector4,RankClass,Rank,TimeFired,Time,Speed
1,,,A,02'37.549,01'06.692,00'21.639,00'45.553,00'23.665,16,31,14:50'12.549,00:02'37.549,247.43
2,,,A,02'57.485,00'34.583,00'21.051,01'13.107,00'48.744,16,30,14:53'10.034,00:05'35.034,79.2
3,,,A,03'33.172,01'14.326,00'42.147,01'14.011,00'22.688,16,30,14:56'43.206,00:09'08.206,244.67
4,,,A,02'03.010,00'34.487,00'21.369,00'44.726,00'22.428,16,30,14:58'46.216,00:11'11.216,243.99
5,,,A,02'02.380,00'34.279,00'20.912,00'44.695,00'22.494,16,30,15:00'48.596,00:13'13.596,243.32
6,,,A,02'02.965,00'34.485,00'20.927,00'45.028,00'22.525,16,30,15:02'51.561,00:15'16.561,244.67
7,,,A,02'03.132,00'34.475,00'20.948,00'44.929,00'22.780,16,30,15:04'54.693,00:17'19.693,243.32
8,,,A,02'05.409,00'34.815,00'21.016,00'45.618,00'23.960,16,30,15:07'00.102,00:19'25.102,244.67
9,,,A,02'06.744,00'35.794,00'22.567,00'45.626,00'22.757,17,31,15:09'06.846,00:21'31.846,246.05
10,,,A,02'59.812,00'40.577,00'30.637,01'07.945,00'40.653,16,30,15:12'06.658,00:24'31.658,107.12
11,,,A,03'41.858,00'43.072,00'26.099,01'11.838,01'20.849,16,29,15:15'48.516,00:28'13.516,92.75
12,,,A,04'03.259,01'48.935,00'27.283,00'55.443,00'51.598,19,32,15:19'51.775,00:32'16.775,106.21
13,,,A,03'12.896,00'48.466,00'38.265,01'11.412,00'34.753,16,29,15:23'04.671,00:35'29.671,169.9
14,,,A,02'03.928,00'34.730,00'21.686,00'44.973,00'22.539,16,29,15:25'08.599,00:37'33.599,246.05
15,,P,A,02'09.755,00'35.363,00'20.958,00'44.941,00'28.493,21,34,15:27'18.354,00:39'43.354,245.36
16,,,B,03'09.840,01'37.980,00'22.833,00'46.027,00'23.000,23,36,15:30'28.194,00:42'53.194,240.65
17,,,B,02'03.207,00'34.328,00'21.005,00'45.105,00'22.769,23,36,15:32'31.401,00:44'56.401,243.32
18,,,B,02'02.435,00'34.404,00'20.766,00'44.875,00'22.390,20,33,15:34'33.836,00:46'58.836,243.99
19,,,B,02'02.895,00'34.263,00'20.825,00'45.315,00'22.492,19,32,15:36'36.731,00:49'01.731,243.99
20,,,B,02'03.710,00'35.221,00'20.957,00'44.997,00'22.535,19,32,15:38'40.441,00:51'05.441,243.32
21,,,B,02'03.547,00'34.331,00'20.828,00'44.937,00'23.451,20,33,15:40'43.988,00:53'08.988,243.32
22,,,B,02'04.349,00'35.344,00'21.163,00'45.159,00'22.683,20,33,15:42'48.337,00:55'13.337,244.67
23,,,B,02'04.727,00'34.538,00'22.029,00'45.468,00'22.692,20,33,15:44'53.064,00:57'18.064,243.32
24,,,B,02'03.228,00'34.605,00'20.950,00'45.089,00'22.584,20,33,15:46'56.292,00:59'21.292,243.99
25,,,B,02'44.548,00'34.536,00'20.983,01'00.454,00'48.575,19,32,15:49'40.840,01:02'05.840,79.56
26,,,B,02'31.991,01'03.262,00'21.031,00'45.004,00'22.694,19,32,15:52'12.831,01:04'37.831,243.99
27,,,B,02'02.509,00'34.281,00'20.886,00'44.819,00'22.523,19,32,15:54'15.340,01:06'40.340,243.99
28,,,B,02'02.753,00'34.370,00'20.886,00'44.998,00'22.499,19,32,15:56'18.093,01:08'43.093,243.32
29,,,B,02'04.185,00'34.453,00'21.154,00'45.909,00'22.669,18,31,15:58'22.278,01:10'47.278,243.99
30,,,B,02'03.354,00'34.643,00'20.943,00'45.164,00'22.604,18,31,16:00'25.632,01:12'50.632,243.99
31,,,B,02'04.288,00'35.170,00'21.029,00'45.243,00'22.846,18,31,16:02'29.920,01:14'54.920,243.99
32,,,B,02'04.608,00'34.756,00'21.463,00'45.591,00'22.798,18,31,16:04'34.528,01:16'59.528,243.99
33,,,B,02'04.390,00'34.699,00'21.197,00'45.352,00'23.142,18,31,16:06'38.918,01:19'03.918,244.67
34,,P,B,02'28.986,00'39.318,00'25.638,00'52.279,00'31.751,17,30,16:09'07.904,01:21'32.904,233.61
35,,,B,04'21.095,01'42.460,00'23.501,01'34.378,00'40.756,18,31,16:13'28.999,01:25'53.999,78.99
36,,,B,02'24.331,00'47.900,00'23.128,00'48.594,00'24.709,17,30,16:15'53.330,01:28'18.330,239.99
37,,,B,03'19.392,00'35.815,00'22.351,01'31.191,00'50.035,17,30,16:19'12.722,01:31'37.722,83.49
38,,,B,04'14.803,01'24.337,00'40.956,01'25.500,00'44.010,17,29,16:23'27.525,01:35'52.525,131.69
39,,,B,03'30.136,00'57.731,00'38.168,01'19.435,00'34.802,17,29,16:26'57.661,01:39'22.661,120.99
40,,,B,02'05.886,00'35.216,00'21.316,00'45.348,00'24.006,18,30,16:29'03.547,01:41'28.547,243.32
41,,,B,02'02.975,00'34.735,00'20.854,00'44.724,00'22.662,18,30,16:31'06.522,01:43'31.522,245.36
42,,,B,02'02.117,00'34.352,00'20.668,00'44.610,00'22.487,18,30,16:33'08.639,01:45'33.639,246.05
43,,,B,02'03.520,00'34.680,00'21.059,00'45.042,00'22.739,18,30,16:35'12.159,01:47'37.159,245.36
44,BL,,B,02'01.568,00'33.947,00'20.677,00'44.622,00'22.322,18,30,16:37'13.727,01:49'38.727,246.74
45,,,B,02'03.706,00'34.402,00'20.730,00'44.944,00'23.630,18,30,16:39'17.433,01:51'42.433,244.67
46,,,B,02'02.997,00'34.224,00'20.858,00'45.056,00'22.859,18,30,16:41'20.430,01:53'45.430,243.99
47,,,B,02'03.104,00'34.352,00'20.915,00'45.084,00'22.753,18,30,16:43'23.534,01:55'48.534,244.67
48,,,B,02'04.708,00'35.671,00'21.261,00'44.904,00'22.872,18,30,16:45'28.242,01:57'53.242,243.99
49,,,B,,00'37.613,00'28.118,01'14.309,,18,30,16:47'48.282,02:00'13.282,122.85
