【Class:300  Car No:61  R&D SPORT SUBARU  タイム履歴データ】
LapNo,Best,Pit,Driver,LapTime,Sector1,Sector2,Sector3,Sector4,RankClass,Rank,TimeFired,Time,Speed
1,,,A,02'35.726,01'05.124,00'21.972,00'45.689,00'22.941,14,29,14:50'10.726,00:02'35.726,243.32
2,,,A,02'56.706,00'34.257,00'20.705,01'13.088,00'48.656,14,28,14:53'07.432,00:05'32.432,79.49
3,,,A,03'34.684,01'14.270,00'42.203,01'15.510,00'22.701,14,28,14:56'42.116,00:09'07.116,243.32
4,BL,,A,02'02.240,00'33.865,00'20.421,00'45.172,00'22.782,14,28,14:58'44.356,00:11'09.356,242.65
5,,,A,02'02.720,00'33.989,00'20.870,00'45.242,00'22.619,14,28,15:00'47.076,00:13'12.076,241.98
6,,,A,02'02.807,00'34.095,00'20.756,00'45.388,00'22.568,14,28,15:02'49.883,00:15'14.883,241.98
7,,,A,02'03.606,00'34.225,00'20.937,00'45.494,00'22.950,14,28,15:04'53.489,00:17'18.489,239.34
8,,,A,02'06.303,00'34.938,00'21.191,00'45.757,00'24.417,15,29,15:06'59.792,00:19'24.792,241.31
9,,,A,02'06.297,00'34.535,00'21.059,00'46.611,00'24.092,15,29,15:09'06.089,00:21'31.089,243.99
10,,,A,02'59.687,00'40.781,00'30.588,01'07.808,00'40.510,15,29,15:12'05.776,00:24'30.776,106.21
11,,,A,03'41.011,00'43.118,00'26.339,01'11.031,01'20.523,15,28,15:15'46.787,00:28'11.787,88.19
12,,,A,04'03.566,01'49.221,00'27.465,00'55.642,00'51.238,16,29,15:19'50.353,00:32'15.353,115.57
13,,,A,03'13.301,00'48.703,00'38.612,01'11.463,00'34.523,15,28,15:23'03.654,00:35'28.654,145.91
14,,,A,02'03.932,00'34.328,00'21.478,00'45.389,00'22.737,14,27,15:25'07.586,00:37'32.586,241.31
15,,,A,02'03.533,00'34.373,00'21.038,00'45.347,00'22.775,14,27,15:27'11.119,00:39'36.119,241.98
16,,P,A,02'08.581,00'35.085,00'21.068,00'45.405,00'27.023,18,31,15:29'19.700,00:41'44.700,239.99
17,,,B,03'09.869,01'39.893,00'21.271,00'45.537,00'23.168,22,35,15:32'29.569,00:44'54.569,239.99
18,,,B,02'02.931,00'34.185,00'20.920,00'45.159,00'22.667,19,32,15:34'32.500,00:46'57.500,240.65
19,,,B,02'03.283,00'33.993,00'21.775,00'45.030,00'22.485,18,31,15:36'35.783,00:49'00.783,240.65
20,,,B,02'02.325,00'33.871,00'20.546,00'45.293,00'22.615,18,31,15:38'38.108,00:51'03.108,241.31
21,,,B,02'02.423,00'34.019,00'20.603,00'44.978,00'22.823,18,31,15:40'40.531,00:53'05.531,243.32
22,,,B,02'04.717,00'35.014,00'20.894,00'45.998,00'22.811,18,31,15:42'45.248,00:55'10.248,241.31
23,,,B,02'04.339,00'34.469,00'21.093,00'45.677,00'23.100,18,31,15:44'49.587,00:57'14.587,243.99
24,,,B,02'03.994,00'35.034,00'20.956,00'45.238,00'22.766,19,32,15:46'53.581,00:59'18.581,240.65
25,,,B,02'42.095,00'34.112,00'20.836,00'58.779,00'48.368,18,31,15:49'35.676,01:02'00.676,79.85
26,,,B,02'33.240,01'05.162,00'20.506,00'44.909,00'22.663,18,31,15:52'08.916,01:04'33.916,241.31
27,,,B,02'02.293,00'33.977,00'20.606,00'45.001,00'22.709,18,31,15:54'11.209,01:06'36.209,241.31
28,,,B,02'02.741,00'34.121,00'20.661,00'45.057,00'22.902,18,31,15:56'13.950,01:08'38.950,243.32
29,,,B,02'04.442,00'34.240,00'20.846,00'45.765,00'23.591,17,30,15:58'18.392,01:10'43.392,239.34
30,,,B,02'03.589,00'34.430,00'20.894,00'45.373,00'22.892,17,30,16:00'21.981,01:12'46.981,241.31
31,,,B,02'03.464,00'34.275,00'20.959,00'45.374,00'22.856,17,30,16:02'25.445,01:14'50.445,241.31
32,,,B,02'04.573,00'34.588,00'21.003,00'45.744,00'23.238,17,30,16:04'30.018,01:16'55.018,241.31
33,,,B,02'05.183,00'35.589,00'21.136,00'45.575,00'22.883,17,30,16:06'35.201,01:19'00.201,241.31
34,,,B,02'04.073,00'34.587,00'20.983,00'45.618,00'22.885,16,29,16:08'39.274,01:21'04.274,242.65
35,,,B,02'03.960,00'34.587,00'21.275,00'45.284,00'22.814,15,28,16:10'43.234,01:23'08.234,242.65
36,,,B,03'08.593,00'36.008,00'41.756,01'19.084,00'31.745,14,27,16:13'51.827,01:26'16.827,173.59
37,,,B,02'35.075,00'46.898,00'24.907,00'56.445,00'26.825,14,27,16:16'26.902,01:28'51.902,195.63
38,,,B,03'18.976,00'37.590,00'22.986,01'17.627,01'00.773,14,26,16:19'45.878,01:32'10.878,82.17
39,,,B,03'55.495,01'16.388,00'29.610,01'25.108,00'44.389,14,26,16:23'41.373,01:36'06.373,117.74
40,,,B,03'21.754,00'54.825,00'38.023,01'14.547,00'34.359,14,26,16:27'03.127,01:39'28.127,140.54
41,,,B,02'04.491,00'34.558,00'21.212,00'45.771,00'22.950,14,26,16:29'07.618,01:41'32.618,242.65
42,,,B,02'04.897,00'34.790,00'21.195,00'45.728,00'23.184,12,24,16:31'12.515,01:43'37.515,242.65
43,,,B,02'02.711,00'34.082,00'20.736,00'45.141,00'22.752,12,24,16:33'15.226,01:45'40.226,242.65
44,,,B,02'02.555,00'34.082,00'20.783,00'44.955,00'22.735,12,24,16:35'17.781,01:47'42.781,243.32
45,,,B,02'02.827,00'34.210,00'20.911,00'45.003,00'22.703,12,24,16:37'20.608,01:49'45.608,243.99
46,,,B,02'02.935,00'34.272,00'20.879,00'45.119,00'22.665,12,24,16:39'23.543,01:51'48.543,243.32
47,,,B,02'02.877,00'34.049,00'20.916,00'45.185,00'22.727,12,24,16:41'26.420,01:53'51.420,243.32
48,,,B,02'05.168,00'34.358,00'21.121,00'45.366,00'24.323,12,24,16:43'31.588,01:55'56.588,244.67
49,,,B,,00'55.176,00'36.713,01'15.377,,12,24,16:46'18.854,01:58'43.854,116.19
