【Class:500  Car No:64  Modulo Nakajima Racing HONDA  タイム履歴データ】
LapNo,Best,Pit,Driver,LapTime,Sector1,Sector2,Sector3,Sector4,RankClass,Rank,TimeFired,Time,Speed
1,,,A,01'57.995,00'36.694,00'18.873,00'41.787,00'20.641,10,10,14:49'32.995,00:01'57.995,268.62
2,BL,,A,01'50.643,00'30.769,00'18.554,00'40.807,00'20.513,10,10,14:51'23.638,00:03'48.638,266.18
3,,,A,04'04.838,00'58.155,00'42.181,01'35.960,00'48.542,10,10,14:55'28.476,00:07'53.476,79.34
4,,,A,02'15.456,00'54.638,00'19.117,00'41.021,00'20.680,10,10,14:57'43.932,00:10'08.932,266.18
5,,,A,01'51.441,00'30.970,00'18.911,00'40.800,00'20.760,9,9,14:59'35.373,00:12'00.373,265.37
6,,,A,01'50.791,00'30.633,00'18.752,00'40.826,00'20.580,9,9,15:01'26.164,00:13'51.164,266.18
7,,,A,01'50.839,00'30.552,00'18.789,00'40.832,00'20.666,9,9,15:03'17.003,00:15'42.003,266.99
8,,,A,01'52.851,00'31.109,00'19.064,00'41.158,00'21.520,9,9,15:05'09.854,00:17'34.854,267.8
9,,,A,01'53.315,00'31.185,00'19.988,00'41.266,00'20.876,9,9,15:07'03.169,00:19'28.169,268.62
10,,,A,01'59.093,00'33.440,00'20.538,00'43.043,00'22.072,9,9,15:09'02.262,00:21'27.262,267.8
11,,,A,02'43.041,00'33.360,00'29.260,01'05.137,00'35.284,9,9,15:11'45.303,00:24'10.303,195.19
12,,,A,03'32.154,00'45.585,00'28.761,01'08.047,01'09.761,9,9,15:15'17.457,00:27'42.457,101.08
13,,,A,03'56.574,00'54.346,00'41.350,01'30.372,00'50.506,9,9,15:19'14.031,00:31'39.031,104.94
14,,,A,03'33.050,00'57.648,00'36.210,01'24.269,00'34.923,9,9,15:22'47.081,00:35'12.081,128.23
15,,,A,01'54.613,00'32.182,00'19.989,00'41.535,00'20.907,9,9,15:24'41.694,00:37'06.694,264.57
16,,,A,01'52.006,00'30.925,00'19.058,00'41.250,00'20.773,9,9,15:26'33.700,00:38'58.700,264.57
17,,,A,01'52.828,00'31.201,00'19.211,00'41.528,00'20.888,9,9,15:28'26.528,00:40'51.528,265.37
18,,,A,01'52.579,00'31.216,00'19.289,00'41.336,00'20.738,9,9,15:30'19.107,00:42'44.107,265.37
19,,P,A,01'57.129,00'31.201,00'19.263,00'41.396,00'25.269,10,10,15:32'16.236,00:44'41.236,264.57
20,,,B,03'00.615,01'36.141,00'20.424,00'42.064,00'21.986,11,11,15:35'16.851,00:47'41.851,266.99
21,,,B,01'56.475,00'32.282,00'20.414,00'41.591,00'22.188,11,11,15:37'13.326,00:49'38.326,265.37
22,,,B,01'53.671,00'32.023,00'19.164,00'41.277,00'21.207,11,11,15:39'06.997,00:51'31.997,266.18
23,,,B,01'51.986,00'30.982,00'18.931,00'41.105,00'20.968,11,11,15:40'58.983,00:53'23.983,264.57
24,,,B,01'52.375,00'31.101,00'18.804,00'40.915,00'21.555,12,12,15:42'51.358,00:55'16.358,267.8
25,,,B,01'56.529,00'32.043,00'20.625,00'41.888,00'21.973,13,13,15:44'47.887,00:57'12.887,272.79
26,,,B,01'55.103,00'32.368,00'19.394,00'42.205,00'21.136,13,13,15:46'42.990,00:59'07.990,265.37
27,,,B,02'06.463,00'31.177,00'19.755,00'41.451,00'34.080,13,13,15:48'49.453,01:01'14.453,266.18
28,,,B,02'54.254,01'15.094,00'36.355,00'41.692,00'21.113,13,13,15:51'43.707,01:04'08.707,266.99
29,,,B,01'54.111,00'31.904,00'19.849,00'41.322,00'21.036,13,13,15:53'37.818,01:06'02.818,266.18
30,,,B,01'51.897,00'31.030,00'18.932,00'41.052,00'20.883,13,13,15:55'29.715,01:07'54.715,263.78
31,,,B,01'51.724,00'30.937,00'18.883,00'41.117,00'20.787,13,13,15:57'21.439,01:09'46.439,264.57
32,,,B,01'52.859,00'31.262,00'19.380,00'41.318,00'20.899,13,13,15:59'14.298,01:11'39.298,266.18
33,,,B,01'52.583,00'31.120,00'19.105,00'41.347,00'21.011,13,13,16:01'06.881,01:13'31.881,264.57
34,,,B,01'54.174,00'31.916,00'19.622,00'41.519,00'21.117,12,12,16:03'01.055,01:15'26.055,262.99
35,,,B,01'53.788,00'31.080,00'18.907,00'41.596,00'22.205,12,12,16:04'54.843,01:17'19.843,266.99
36,,,B,01'52.537,00'31.300,00'18.878,00'41.395,00'20.964,12,12,16:06'47.380,01:19'12.380,264.57
37,,,B,01'53.989,00'31.694,00'19.752,00'41.575,00'20.968,12,12,16:08'41.369,01:21'06.369,266.18
38,,,B,01'56.154,00'32.567,00'20.028,00'42.443,00'21.116,12,12,16:10'37.523,01:23'02.523,264.57
39,,,B,03'08.190,00'32.049,00'36.963,01'26.379,00'32.799,12,12,16:13'45.713,01:26'10.713,172.91
40,,,B,02'30.917,00'45.108,00'26.580,00'55.016,00'24.213,12,12,16:16'16.630,01:28'41.630,220.15
41,,,B,03'13.149,00'35.140,00'23.710,01'23.663,00'50.636,12,12,16:19'29.779,01:31'54.779,117.43
42,,,B,03'49.025,00'54.287,00'44.738,01'26.050,00'43.950,12,12,16:23'18.804,01:35'43.804,120.65
43,,,B,03'32.032,00'59.010,00'38.181,01'18.576,00'36.265,12,12,16:26'50.836,01:39'15.836,101.43
44,,,B,01'54.006,00'32.063,00'19.502,00'41.435,00'21.006,12,12,16:28'44.842,01:41'09.842,264.57
45,,,B,01'52.362,00'31.093,00'19.003,00'41.369,00'20.897,11,11,16:30'37.204,01:43'02.204,266.18
46,,,B,01'52.282,00'31.057,00'19.076,00'41.374,00'20.775,11,11,16:32'29.486,01:44'54.486,264.57
47,,,B,01'51.766,00'30.885,00'18.837,00'41.259,00'20.785,11,11,16:34'21.252,01:46'46.252,264.57
48,,,B,01'51.704,00'31.019,00'18.823,00'41.203,00'20.659,11,11,16:36'12.956,01:48'37.956,266.18
49,,,B,01'52.311,00'30.961,00'18.935,00'41.598,00'20.817,11,11,16:38'05.267,01:50'30.267,264.57
50,,,B,01'52.319,00'31.008,00'18.882,00'41.531,00'20.898,11,11,16:39'57.586,01:52'22.586,265.37
51,,,B,01'53.308,00'31.210,00'19.420,00'41.616,00'21.062,11,11,16:41'50.894,01:54'15.894,263.78
52,,,B,01'52.765,00'31.207,00'19.128,00'41.503,00'20.927,11,11,16:43'43.659,01:56'08.659,263.78
53,,,B,,00'56.710,00'37.506,01'27.838,,11,11,16:46'45.713,01:59'10.713,120.16
