【Class:300  Car No:65  K2 R&D LEON RACING Mercedes  タイム履歴データ】
LapNo,Best,Pit,Driver,LapTime,Sector1,Sector2,Sector3,Sector4,RankClass,Rank,TimeFired,Time,Speed
1,,,B,02'33.709,01'04.097,00'21.533,00'45.551,00'22.528,10,25,14:50'08.709,00:02'33.709,242.65
2,,,B,02'53.156,00'34.314,00'20.894,01'08.862,00'49.086,10,24,14:53'01.865,00:05'26.865,79.63
3,,,B,03'37.542,01'14.588,00'42.206,01'17.770,00'22.978,10,24,14:56'39.407,00:09'04.407,242.65
4,,,B,02'02.602,00'34.331,00'20.800,00'45.048,00'22.423,10,24,14:58'42.009,00:11'07.009,242.65
5,,,B,02'02.406,00'34.107,00'20.700,00'45.127,00'22.472,10,24,15:00'44.415,00:13'09.415,241.31
6,,,B,02'03.488,00'34.389,00'21.106,00'45.463,00'22.530,10,24,15:02'47.903,00:15'12.903,242.65
7,,,B,02'03.786,00'34.507,00'21.102,00'45.514,00'22.663,10,24,15:04'51.689,00:17'16.689,241.98
8,,,B,02'05.108,00'34.980,00'21.224,00'46.344,00'22.560,11,25,15:06'56.797,00:19'21.797,241.31
9,,,B,02'06.791,00'34.956,00'22.099,00'45.770,00'23.966,11,25,15:09'03.588,00:21'28.588,240.65
10,,,B,02'50.069,00'38.466,00'29.972,01'05.462,00'36.169,10,24,15:11'53.657,00:24'18.657,132.88
11,,,B,03'36.955,00'45.754,00'27.663,01'07.759,01'15.779,10,23,15:15'30.612,00:27'55.612,84.13
12,,,B,04'08.653,01'46.515,00'21.795,01'09.660,00'50.683,10,23,15:19'39.265,00:32'04.265,97.27
13,,,B,03'20.800,00'52.155,00'39.564,01'15.025,00'34.056,10,23,15:23'00.065,00:35'25.065,133.29
14,,,B,02'04.288,00'34.785,00'21.116,00'45.371,00'23.016,9,22,15:25'04.353,00:37'29.353,242.65
15,,,B,02'02.652,00'34.293,00'20.738,00'45.091,00'22.530,9,22,15:27'07.005,00:39'32.005,242.65
16,,P,B,02'07.515,00'34.323,00'20.886,00'45.503,00'26.803,12,25,15:29'14.520,00:41'39.520,243.32
17,,,A,03'09.823,01'39.205,00'21.731,00'45.901,00'22.986,20,33,15:32'24.343,00:44'49.343,239.34
18,,,A,02'03.189,00'34.572,00'20.929,00'45.243,00'22.445,17,30,15:34'27.532,00:46'52.532,240.65
19,BL,,A,02'01.739,00'33.971,00'20.549,00'44.850,00'22.369,16,29,15:36'29.271,00:48'54.271,240.65
20,,,A,02'04.433,00'34.403,00'21.862,00'45.444,00'22.724,14,27,15:38'33.704,00:50'58.704,240.65
21,,,A,02'02.346,00'34.032,00'20.659,00'45.168,00'22.487,14,27,15:40'36.050,00:53'01.050,240.65
22,,,A,02'02.941,00'34.164,00'20.795,00'45.346,00'22.636,14,27,15:42'38.991,00:55'03.991,241.31
23,,,A,02'03.637,00'34.343,00'21.174,00'45.513,00'22.607,13,26,15:44'42.628,00:57'07.628,240.65
24,,,A,02'04.102,00'34.519,00'21.290,00'45.536,00'22.757,13,26,15:46'46.730,00:59'11.730,241.98
25,,,A,02'36.266,00'34.592,00'22.047,00'50.779,00'48.848,13,26,15:49'22.996,01:01'47.996,79.34
26,,,A,02'40.751,01'11.288,00'21.215,00'45.493,00'22.755,13,26,15:52'03.747,01:04'28.747,241.31
27,,,A,02'04.349,00'35.100,00'21.177,00'45.475,00'22.597,14,27,15:54'08.096,01:06'33.096,241.31
28,,,A,02'03.445,00'34.448,00'20.953,00'45.422,00'22.622,14,27,15:56'11.541,01:08'36.541,242.65
29,,,A,02'03.325,00'34.405,00'20.795,00'45.516,00'22.609,13,26,15:58'14.866,01:10'39.866,241.98
30,,,A,02'03.801,00'34.574,00'21.121,00'45.421,00'22.685,13,26,16:00'18.667,01:12'43.667,241.98
31,,,A,02'03.706,00'34.495,00'21.023,00'45.393,00'22.795,13,26,16:02'22.373,01:14'47.373,241.31
32,,,A,02'04.322,00'34.571,00'21.023,00'45.555,00'23.173,13,26,16:04'26.695,01:16'51.695,241.98
33,,,A,02'04.567,00'34.973,00'21.252,00'45.558,00'22.784,13,26,16:06'31.262,01:18'56.262,241.31
34,,,A,02'04.443,00'34.719,00'21.108,00'45.700,00'22.916,12,25,16:08'35.705,01:21'00.705,241.98
35,,,A,02'06.313,00'34.802,00'21.009,00'45.471,00'25.031,14,27,16:10'42.018,01:23'07.018,242.65
36,,,A,03'08.684,00'36.294,00'42.106,01'18.948,00'31.336,13,26,16:13'50.702,01:26'15.702,181.11
37,,,A,02'34.682,00'47.357,00'24.699,00'56.050,00'26.576,13,26,16:16'25.384,01:28'50.384,198.73
38,,,A,03'18.085,00'37.089,00'23.524,01'17.667,00'59.805,13,25,16:19'43.469,01:32'08.469,85.78
39,,,A,03'56.699,01'17.542,00'29.183,01'25.798,00'44.176,13,25,16:23'40.168,01:36'05.168,116.65
40,,,A,03'22.074,00'55.026,00'37.927,01'15.114,00'34.007,13,25,16:27'02.242,01:39'27.242,144.95
41,,,A,02'04.702,00'35.046,00'21.291,00'45.649,00'22.716,13,25,16:29'06.944,01:41'31.944,243.99
42,,,A,02'05.772,00'35.166,00'21.167,00'45.849,00'23.590,13,25,16:31'12.716,01:43'37.716,243.99
43,,,A,02'03.889,00'34.994,00'20.994,00'45.302,00'22.599,13,25,16:33'16.605,01:45'41.605,243.32
44,,,A,02'04.129,00'34.710,00'21.002,00'45.397,00'23.020,13,25,16:35'20.734,01:47'45.734,243.32
45,,,A,02'03.469,00'34.475,00'20.962,00'45.312,00'22.720,13,25,16:37'24.203,01:49'49.203,243.32
46,,,A,02'03.466,00'34.519,00'20.939,00'45.306,00'22.702,13,25,16:39'27.669,01:51'52.669,242.65
47,,,A,02'05.140,00'34.486,00'21.043,00'45.485,00'24.126,13,25,16:41'32.809,01:53'57.809,242.65
48,,,A,02'07.751,00'35.858,00'21.472,00'46.269,00'24.152,12,24,16:43'40.560,01:56'05.560,242.65
49,,,A,,00'56.525,00'35.114,01'21.728,,13,25,16:46'33.927,01:58'58.927,131.49
