【Class:300  Car No:7  BMW Team Studie x CSL BMW  タイム履歴データ】
LapNo,Best,Pit,Driver,LapTime,Sector1,Sector2,Sector3,Sector4,RankClass,Rank,TimeFired,Time,Speed
1,,,A,02'28.280,01'00.484,00'20.783,00'44.743,00'22.270,1,16,14:50'03.280,00:02'28.280,246.05
2,,,A,02'46.729,00'34.159,00'20.548,01'03.323,00'48.699,1,15,14:52'50.009,00:05'15.009,79.92
3,,,A,03'43.949,01'13.369,00'41.728,01'25.937,00'22.915,1,15,14:56'33.958,00:08'58.958,215.82
4,,,A,02'01.330,00'34.037,00'20.570,00'44.478,00'22.245,1,15,14:58'35.288,00:11'00.288,246.05
5,BL,,A,02'01.313,00'34.065,00'20.619,00'44.266,00'22.363,1,15,15:00'36.601,00:13'01.601,245.36
6,,,A,02'01.675,00'33.982,00'20.555,00'44.668,00'22.470,1,15,15:02'38.276,00:15'03.276,245.36
7,,,A,02'01.966,00'34.066,00'20.589,00'44.739,00'22.572,1,15,15:04'40.242,00:17'05.242,245.36
8,,,A,02'01.787,00'34.083,00'20.631,00'44.653,00'22.420,1,15,15:06'42.029,00:19'07.029,245.36
9,,,A,02'02.337,00'34.266,00'20.858,00'44.713,00'22.500,1,15,15:08'44.366,00:21'09.366,245.36
10,,,A,02'22.169,00'34.382,00'21.634,00'52.250,00'33.903,1,15,15:11'06.535,00:23'31.535,188.9
11,,,A,03'34.828,00'39.434,00'26.413,01'36.057,00'52.924,1,14,15:14'41.363,00:27'06.363,84.54
12,,,A,04'41.736,02'13.830,00'24.420,01'16.841,00'46.645,1,14,15:19'23.099,00:31'48.099,90.74
13,,,A,03'29.682,00'57.481,00'38.659,01'20.794,00'32.748,1,14,15:22'52.781,00:35'17.781,111.75
14,,,A,02'03.426,00'34.867,00'21.026,00'44.867,00'22.666,1,14,15:24'56.207,00:37'21.207,243.99
15,,,A,02'01.575,00'33.997,00'20.595,00'44.595,00'22.388,1,14,15:26'57.782,00:39'22.782,246.05
16,,,A,02'02.077,00'34.154,00'20.731,00'44.713,00'22.479,1,14,15:28'59.859,00:41'24.859,246.74
17,,,A,02'02.444,00'34.207,00'20.753,00'44.816,00'22.668,1,14,15:31'02.303,00:43'27.303,245.36
18,,,A,02'02.393,00'34.319,00'20.736,00'44.834,00'22.504,1,14,15:33'04.696,00:45'29.696,246.05
19,,,A,02'03.432,00'34.328,00'20.838,00'44.789,00'23.477,1,14,15:35'08.128,00:47'33.128,246.05
20,,P,A,02'06.841,00'34.351,00'20.859,00'44.623,00'27.008,1,14,15:37'14.969,00:49'39.969,246.74
21,,,B,03'04.867,01'36.744,00'21.076,00'44.481,00'22.566,10,23,15:40'19.836,00:52'44.836,245.36
22,,,B,02'02.486,00'34.267,00'20.957,00'44.885,00'22.377,9,22,15:42'22.322,00:54'47.322,245.36
23,,,B,02'01.773,00'34.213,00'20.848,00'44.620,00'22.092,8,21,15:44'24.095,00:56'49.095,245.36
24,,,B,02'02.081,00'34.228,00'20.805,00'44.553,00'22.495,5,18,15:46'26.176,00:58'51.176,244.67
25,,,B,02'02.837,00'34.264,00'20.894,00'45.231,00'22.448,3,16,15:48'29.013,01:00'54.013,246.05
26,,,B,03'05.843,01'12.775,00'41.782,00'48.860,00'22.426,1,14,15:51'34.856,01:03'59.856,243.99
27,,,B,02'02.962,00'34.305,00'21.100,00'44.864,00'22.693,1,14,15:53'37.818,01:06'02.818,246.05
28,,,B,02'02.665,00'34.452,00'20.995,00'44.806,00'22.412,1,14,15:55'40.483,01:08'05.483,246.05
29,,,B,02'02.098,00'34.270,00'20.783,00'44.671,00'22.374,1,14,15:57'42.581,01:10'07.581,245.36
30,,,B,02'02.492,00'34.249,00'20.793,00'44.971,00'22.479,1,14,15:59'45.073,01:12'10.073,246.74
31,,,B,02'02.406,00'34.207,00'20.737,00'44.898,00'22.564,1,14,16:01'47.479,01:14'12.479,246.05
32,,,B,02'02.343,00'34.377,00'20.844,00'44.724,00'22.398,1,14,16:03'49.822,01:16'14.822,245.36
33,,,B,02'02.879,00'34.468,00'21.043,00'44.979,00'22.389,1,14,16:05'52.701,01:18'17.701,246.05
34,,,B,02'02.495,00'34.309,00'20.929,00'44.869,00'22.388,1,14,16:07'55.196,01:20'20.196,246.74
35,,,B,02'03.177,00'34.585,00'21.081,00'45.044,00'22.467,1,14,16:09'58.373,01:22'23.373,246.74
36,,,B,02'57.652,00'34.607,00'20.854,01'13.430,00'48.761,1,14,16:12'56.025,01:25'21.025,79.92
37,,,B,02'29.978,00'47.769,00'23.391,00'54.024,00'24.794,1,14,16:15'26.003,01:27'51.003,241.98
38,,,B,03'29.199,00'36.363,00'33.106,01'30.471,00'49.259,1,13,16:18'55.202,01:31'20.202,104.07
39,,,B,04'24.928,01'30.761,00'44.165,01'25.735,00'44.267,1,13,16:23'20.130,01:35'45.130,101.54
40,,,B,03'32.558,00'59.019,00'38.071,01'20.353,00'35.115,1,13,16:26'52.688,01:39'17.688,88.81
41,,,B,02'02.078,00'34.664,00'20.831,00'44.431,00'22.152,1,13,16:28'54.766,01:41'19.766,248.13
42,,,B,02'01.595,00'34.289,00'20.587,00'44.520,00'22.199,1,13,16:30'56.361,01:43'21.361,246.74
43,,,B,02'02.032,00'34.176,00'20.918,00'44.714,00'22.224,1,13,16:32'58.393,01:45'23.393,246.74
44,,,B,02'02.172,00'34.273,00'21.152,00'44.453,00'22.294,1,13,16:35'00.565,01:47'25.565,246.74
45,,,B,02'01.435,00'34.121,00'20.624,00'44.470,00'22.220,1,13,16:37'02.000,01:49'27.000,248.13
46,,,B,02'02.191,00'34.367,00'20.860,00'44.694,00'22.270,1,13,16:39'04.191,01:51'29.191,243.32
47,,,B,02'01.943,00'34.327,00'20.798,00'44.566,00'22.252,1,13,16:41'06.134,01:53'31.134,246.05
48,,,B,02'01.669,00'34.167,00'20.735,00'44.437,00'22.330,1,13,16:43'07.803,01:55'32.803,247.43
49,,,B,02'01.541,00'34.084,00'20.738,00'44.505,00'22.214,1,13,16:45'09.344,01:57'34.344,247.43
50,,,B,,00'46.396,00'33.029,01'14.526,,2,14,16:47'43.295,02:00'08.295,116.03
