【Class:300  Car No:88  JLOC Lamborghini  タイム履歴データ】
LapNo,Best,Pit,Driver,LapTime,Sector1,Sector2,Sector3,Sector4,RankClass,Rank,TimeFired,Time,Speed
1,,,B,02'33.040,01'03.816,00'21.353,00'45.023,00'22.848,9,24,14:50'08.040,00:02'33.040,246.74
2,,,B,02'53.016,00'34.478,00'20.939,01'08.525,00'49.074,9,23,14:53'01.056,00:05'26.056,79.78
3,,,B,03'37.227,01'14.497,00'42.245,01'17.749,00'22.736,9,23,14:56'38.283,00:09'03.283,245.36
4,,,B,02'02.867,00'34.135,00'21.322,00'44.811,00'22.599,9,23,14:58'41.150,00:11'06.150,245.36
5,,,B,02'02.451,00'34.272,00'20.787,00'44.908,00'22.484,9,23,15:00'43.601,00:13'08.601,245.36
6,,,B,02'02.646,00'34.441,00'21.100,00'44.899,00'22.206,8,22,15:02'46.247,00:15'11.247,244.67
7,,,B,02'02.098,00'34.164,00'20.908,00'44.786,00'22.240,8,22,15:04'48.345,00:17'13.345,244.67
8,,,B,02'02.291,00'34.213,00'20.770,00'44.905,00'22.403,8,22,15:06'50.636,00:19'15.636,245.36
9,,,B,02'03.024,00'34.399,00'20.941,00'45.001,00'22.683,8,22,15:08'53.660,00:21'18.660,245.36
10,,,B,02'41.166,00'35.509,00'28.317,01'05.458,00'31.882,7,21,15:11'34.826,00:23'59.826,169.24
11,,,B,03'31.035,00'42.729,00'25.754,01'19.441,01'03.111,7,20,15:15'05.861,00:27'30.861,92.36
12,,,B,04'28.395,02'03.784,00'22.470,01'12.370,00'49.771,7,20,15:19'34.256,00:31'59.256,85.11
13,,,B,03'22.619,00'53.611,00'39.110,01'16.470,00'33.428,7,20,15:22'56.875,00:35'21.875,123.89
14,,,B,02'03.653,00'34.676,00'21.623,00'44.766,00'22.588,7,20,15:25'00.528,00:37'25.528,247.43
15,,,B,02'02.568,00'34.457,00'21.041,00'44.754,00'22.316,6,19,15:27'03.096,00:39'28.096,246.05
16,,,B,02'02.682,00'34.308,00'20.753,00'44.987,00'22.634,5,18,15:29'05.778,00:41'30.778,246.05
17,,,B,02'02.310,00'34.173,00'20.833,00'44.937,00'22.367,5,18,15:31'08.088,00:43'33.088,244.67
18,,,B,02'02.096,00'34.096,00'20.650,00'44.967,00'22.383,5,18,15:33'10.184,00:45'35.184,245.36
19,,,B,02'04.739,00'34.591,00'21.245,00'45.523,00'23.380,4,17,15:35'14.923,00:47'39.923,246.05
20,,,B,02'02.797,00'34.531,00'21.078,00'44.726,00'22.462,4,17,15:37'17.720,00:49'42.720,246.05
21,,,B,02'02.305,00'34.374,00'20.761,00'44.806,00'22.364,3,16,15:39'20.025,00:51'45.025,246.05
22,,,B,02'02.144,00'34.284,00'20.607,00'44.836,00'22.417,3,16,15:41'22.169,00:53'47.169,246.05
23,,,B,02'03.508,00'34.396,00'20.764,00'45.155,00'23.193,1,14,15:43'25.677,00:55'50.677,246.05
24,,,B,02'01.803,00'34.195,00'20.615,00'44.734,00'22.259,1,14,15:45'27.480,00:57'52.480,244.67
25,,P,B,02'33.991,00'34.224,00'23.550,00'58.881,00'37.336,1,14,15:48'01.471,01:00'26.471,167.63
26,,,A,03'49.585,02'00.282,00'39.176,00'47.206,00'22.921,5,18,15:51'51.056,01:04'16.056,242.65
27,,,A,02'02.573,00'34.327,00'20.845,00'44.930,00'22.471,5,18,15:53'53.629,01:06'18.629,244.67
28,,,A,02'01.988,00'34.080,00'20.771,00'44.718,00'22.419,5,18,15:55'55.617,01:08'20.617,245.36
29,BL,,A,02'01.534,00'33.993,00'20.596,00'44.630,00'22.315,5,18,15:57'57.151,01:10'22.151,246.05
30,,,A,02'01.935,00'34.080,00'20.738,00'44.673,00'22.444,5,18,15:59'59.086,01:12'24.086,246.74
31,,,A,02'02.052,00'34.084,00'20.674,00'44.914,00'22.380,5,18,16:02'01.138,01:14'26.138,244.67
32,,,A,02'02.354,00'34.287,00'20.767,00'44.912,00'22.388,5,18,16:04'03.492,01:16'28.492,243.99
33,,,A,02'02.111,00'34.163,00'20.650,00'44.923,00'22.375,5,18,16:06'05.603,01:18'30.603,245.36
34,,,A,02'02.896,00'34.511,00'20.844,00'45.126,00'22.415,5,18,16:08'08.499,01:20'33.499,245.36
35,,,A,02'02.782,00'34.324,00'20.764,00'45.224,00'22.470,5,18,16:10'11.281,01:22'36.281,246.05
36,,,A,03'14.502,00'35.050,00'20.904,01'30.100,00'48.448,5,18,16:13'25.783,01:25'50.783,79.85
37,,,A,02'23.598,00'47.611,00'23.393,00'47.950,00'24.644,5,18,16:15'49.381,01:28'14.381,241.98
38,,,A,03'20.894,00'35.614,00'23.733,01'30.723,00'50.824,5,17,16:19'10.275,01:31'35.275,72.11
39,,,A,04'16.578,01'25.022,00'41.829,01'25.605,00'44.122,5,17,16:23'26.853,01:35'51.853,134.93
40,,,A,03'29.761,00'57.715,00'37.925,01'19.891,00'34.230,4,16,16:26'56.614,01:39'21.614,114.22
41,,,A,02'03.410,00'34.830,00'21.004,00'44.904,00'22.672,4,16,16:29'00.024,01:41'25.024,246.74
42,,,A,02'02.098,00'34.297,00'20.810,00'44.568,00'22.423,4,16,16:31'02.122,01:43'27.122,247.43
43,,,A,02'02.195,00'34.296,00'20.815,00'44.731,00'22.353,4,16,16:33'04.317,01:45'29.317,248.83
44,,,A,02'02.069,00'34.222,00'20.910,00'44.652,00'22.285,4,16,16:35'06.386,01:47'31.386,246.74
45,,,A,02'03.185,00'34.417,00'20.918,00'44.816,00'23.034,4,16,16:37'09.571,01:49'34.571,248.83
46,,,A,02'04.284,00'34.991,00'21.480,00'45.015,00'22.798,4,16,16:39'13.855,01:51'38.855,246.05
47,,,A,02'04.066,00'35.038,00'21.155,00'45.104,00'22.769,4,16,16:41'17.921,01:53'42.921,245.36
48,,,A,02'05.449,00'35.023,00'21.948,00'45.319,00'23.159,5,17,16:43'23.370,01:55'48.370,246.05
49,,,A,02'08.490,00'35.627,00'22.689,00'46.191,00'23.983,5,17,16:45'31.860,01:57'56.860,244.67
50,,,A,,00'40.854,00'23.576,01'13.706,,5,17,16:47'49.996,02:00'14.996,123.19
