【Class:300  Car No:9  PACIFIC CARGUY Racing Ferrari  タイム履歴データ】
LapNo,Best,Pit,Driver,LapTime,Sector1,Sector2,Sector3,Sector4,RankClass,Rank,TimeFired,Time,Speed
1,,,A,02'38.062,01'05.841,00'21.807,00'45.757,00'24.657,18,33,14:50'13.062,00:02'38.062,242.65
2,,,A,03'00.068,00'35.551,00'21.698,01'14.171,00'48.648,19,33,14:53'13.130,00:05'38.130,79.56
3,,,A,03'34.149,01'13.858,00'41.871,01'14.582,00'23.838,21,35,14:56'47.279,00:09'12.279,232.99
4,,,A,02'04.618,00'34.913,00'21.343,00'45.215,00'23.147,21,35,14:58'51.897,00:11'16.897,243.32
5,,,A,02'06.296,00'35.573,00'21.908,00'45.379,00'23.436,22,36,15:00'58.193,00:13'23.193,243.32
6,,,A,02'08.396,00'35.977,00'22.820,00'45.739,00'23.860,25,39,15:03'06.589,00:15'31.589,242.65
7,,,A,02'08.400,00'36.530,00'21.860,00'45.947,00'24.063,25,39,15:05'14.989,00:17'39.989,242.65
8,,,A,02'05.831,00'35.919,00'21.470,00'45.287,00'23.155,25,39,15:07'20.820,00:19'45.820,242.65
9,,,A,02'07.161,00'35.467,00'21.413,00'45.579,00'24.702,24,38,15:09'27.981,00:21'52.981,241.98
10,,,A,02'51.117,00'39.225,00'24.504,01'06.072,00'41.316,23,37,15:12'19.098,00:24'44.098,129.94
11,,,A,03'53.469,00'51.458,00'24.992,01'02.738,01'34.281,23,36,15:16'12.567,00:28'37.567,59.75
12,,,A,03'44.887,01'43.921,00'23.630,00'49.044,00'48.292,24,37,15:19'57.454,00:32'22.454,132.68
13,,,A,03'10.165,00'47.687,00'38.086,01'09.221,00'35.171,19,32,15:23'07.619,00:35'32.619,150.66
14,,,A,02'08.294,00'36.043,00'22.745,00'45.755,00'23.751,23,36,15:25'15.913,00:37'40.913,241.98
15,,P,A,02'10.745,00'35.042,00'21.588,00'45.610,00'28.505,23,36,15:27'26.658,00:39'51.658,243.32
16,,,A,02'31.084,01'01.076,00'21.681,00'45.246,00'23.081,22,35,15:29'57.742,00:42'22.742,241.98
17,,P,A,02'11.014,00'35.277,00'21.525,00'46.346,00'27.866,19,32,15:32'08.756,00:44'33.756,243.32
18,,,B,03'12.304,01'41.837,00'21.900,00'46.005,00'22.562,25,38,15:35'21.060,00:47'46.060,239.99
19,,,B,02'03.470,00'34.486,00'21.058,00'45.101,00'22.825,25,38,15:37'24.530,00:49'49.530,241.98
20,,,B,02'01.211,00'34.122,00'20.424,00'44.482,00'22.183,25,38,15:39'25.741,00:51'50.741,243.99
21,,,B,02'03.523,00'33.846,00'20.807,00'45.219,00'23.651,24,37,15:41'29.264,00:53'54.264,240.65
22,,,B,02'02.387,00'34.338,00'20.860,00'45.011,00'22.178,23,36,15:43'31.651,00:55'56.651,242.65
23,,,B,02'01.729,00'34.194,00'20.615,00'44.854,00'22.066,23,36,15:45'33.380,00:57'58.380,243.32
24,,,B,02'02.490,00'34.455,00'20.709,00'45.079,00'22.247,23,36,15:47'35.870,01:00'00.870,242.65
25,,,B,03'10.166,00'34.287,00'23.182,01'35.481,00'37.216,23,36,15:50'46.036,01:03'11.036,79.92
26,,,B,02'02.989,00'34.850,00'21.098,00'44.896,00'22.145,22,35,15:52'49.025,01:05'14.025,241.98
27,,,B,02'02.118,00'34.230,00'20.622,00'44.929,00'22.337,22,35,15:54'51.143,01:07'16.143,241.98
28,,,B,02'02.742,00'34.505,00'20.744,00'45.035,00'22.458,22,35,15:56'53.885,01:09'18.885,244.67
29,,,B,02'04.413,00'34.814,00'21.118,00'45.826,00'22.655,21,34,15:58'58.298,01:11'23.298,241.98
30,,,B,02'04.951,00'34.854,00'21.048,00'45.582,00'23.467,20,33,16:01'03.249,01:13'28.249,241.98
31,,,B,02'05.506,00'35.471,00'21.666,00'45.485,00'22.884,20,33,16:03'08.755,01:15'33.755,241.31
32,,,B,02'05.781,00'35.419,00'21.336,00'45.763,00'23.263,20,33,16:05'14.536,01:17'39.536,241.31
33,,P,B,02'11.790,00'36.066,00'21.773,00'46.266,00'27.685,20,33,16:07'26.326,01:19'51.326,241.98
34,,,B,02'55.865,01'26.032,00'21.822,00'45.352,00'22.659,20,33,16:10'22.191,01:22'47.191,241.31
35,,,B,03'11.379,00'34.374,00'23.148,01'36.690,00'37.167,19,32,16:13'33.570,01:25'58.570,117.43
36,,,B,02'29.776,00'49.031,00'24.050,00'51.884,00'24.811,18,31,16:16'03.346,01:28'28.346,238.69
37,,,B,03'17.676,00'36.298,00'22.118,01'24.825,00'54.435,18,31,16:19'21.022,01:31'46.022,95.06
38,,,B,04'09.406,01'17.324,00'42.313,01'25.652,00'44.117,18,30,16:23'30.428,01:35'55.428,127.67
39,,,B,03'28.612,00'56.905,00'37.878,01'18.998,00'34.831,18,30,16:26'59.040,01:39'24.040,119.51
40,,,B,02'04.286,00'34.720,00'21.330,00'45.291,00'22.945,17,29,16:29'03.326,01:41'28.326,245.36
41,BL,,B,02'00.908,00'33.651,00'20.566,00'44.595,00'22.096,17,29,16:31'04.234,01:43'29.234,245.36
42,,,B,02'00.982,00'33.936,00'20.609,00'44.371,00'22.066,17,29,16:33'05.216,01:45'30.216,246.05
43,,,B,02'01.425,00'33.758,00'20.607,00'44.837,00'22.223,17,29,16:35'06.641,01:47'31.641,246.74
44,,,B,02'03.033,00'34.405,00'20.868,00'44.877,00'22.883,17,29,16:37'09.674,01:49'34.674,247.43
45,,,B,02'02.126,00'34.806,00'20.719,00'44.411,00'22.190,17,29,16:39'11.800,01:51'36.800,246.05
46,,,B,02'02.570,00'33.975,00'21.001,00'45.214,00'22.380,17,29,16:41'14.370,01:53'39.370,245.36
47,,,B,02'02.503,00'34.402,00'20.890,00'44.847,00'22.364,17,29,16:43'16.873,01:55'41.873,246.05
48,,,B,02'02.776,00'34.418,00'20.916,00'44.810,00'22.632,16,28,16:45'19.649,01:57'44.649,246.05
49,,,B,,00'41.548,00'31.049,01'13.719,,17,29,16:47'45.965,02:00'10.965,118.22
