【Class:300  Car No:96  K-tunes Racing LEXUS  タイム履歴データ】
LapNo,Best,Pit,Driver,LapTime,Sector1,Sector2,Sector3,Sector4,RankClass,Rank,TimeFired,Time,Speed
1,,,A,02'29.010,01'01.223,00'20.863,00'44.520,00'22.404,2,17,14:50'04.010,00:02'29.010,247.43
2,,,A,02'48.120,00'34.085,00'20.702,01'04.442,00'48.891,2,16,14:52'52.130,00:05'17.130,78.85
3,,,A,03'42.677,01'14.379,00'42.263,01'22.661,00'23.374,2,16,14:56'34.807,00:08'59.807,228.15
4,,,A,02'01.527,00'34.077,00'20.653,00'44.462,00'22.335,2,16,14:58'36.334,00:11'01.334,247.43
5,BL,,A,02'01.349,00'33.911,00'20.609,00'44.509,00'22.320,2,16,15:00'37.683,00:13'02.683,248.13
6,,,A,02'01.614,00'33.938,00'20.687,00'44.565,00'22.424,2,16,15:02'39.297,00:15'04.297,248.83
7,,,A,02'02.339,00'34.189,00'20.858,00'44.729,00'22.563,2,16,15:04'41.636,00:17'06.636,247.43
8,,,A,02'02.149,00'34.147,00'20.721,00'44.767,00'22.514,2,16,15:06'43.785,00:19'08.785,247.43
9,,,A,02'02.770,00'34.273,00'21.095,00'44.880,00'22.522,2,16,15:08'46.555,00:21'11.555,248.83
10,,,A,02'23.092,00'34.399,00'21.565,00'53.526,00'33.602,2,16,15:11'09.647,00:23'34.647,215.82
11,,,A,03'35.489,00'38.554,00'26.635,01'35.011,00'55.289,2,15,15:14'45.136,00:27'10.136,81.71
12,,,A,04'41.967,02'13.795,00'23.174,01'16.460,00'48.538,2,15,15:19'27.103,00:31'52.103,96.52
13,,,A,03'26.653,00'56.645,00'38.306,01'18.671,00'33.031,2,15,15:22'53.756,00:35'18.756,109.52
14,,,A,02'03.419,00'34.878,00'21.095,00'44.932,00'22.514,2,15,15:24'57.175,00:37'22.175,247.43
15,,,A,02'02.870,00'34.419,00'20.801,00'44.849,00'22.801,2,15,15:27'00.045,00:39'25.045,248.13
16,,,A,02'02.552,00'34.228,00'20.823,00'44.944,00'22.557,2,15,15:29'02.597,00:41'27.597,247.43
17,,,A,02'02.856,00'34.221,00'20.921,00'44.967,00'22.747,2,15,15:31'05.453,00:43'30.453,245.36
18,,,A,02'03.442,00'34.401,00'21.073,00'45.055,00'22.913,2,15,15:33'08.895,00:45'33.895,244.67
19,,P,A,02'10.116,00'34.636,00'22.059,00'45.365,00'28.056,7,20,15:35'19.011,00:47'44.011,248.83
20,,,B,03'15.594,01'45.997,00'21.426,00'45.382,00'22.789,15,28,15:38'34.605,00:50'59.605,247.43
21,,,B,02'03.008,00'34.299,00'21.075,00'45.096,00'22.538,15,28,15:40'37.613,00:53'02.613,247.43
22,,,B,02'02.556,00'34.227,00'21.056,00'44.842,00'22.431,15,28,15:42'40.169,00:55'05.169,248.83
23,,,B,02'04.060,00'35.047,00'21.182,00'45.059,00'22.772,14,27,15:44'44.229,00:57'09.229,248.83
24,,,B,02'03.520,00'34.597,00'21.572,00'44.860,00'22.491,14,27,15:46'47.749,00:59'12.749,248.83
25,,,B,02'36.197,00'34.475,00'21.874,00'50.953,00'48.895,14,27,15:49'23.946,01:01'48.946,79.56
26,,,B,02'40.050,01'11.170,00'21.119,00'45.128,00'22.633,14,27,15:52'03.996,01:04'28.996,248.13
27,,,B,02'02.673,00'34.353,00'21.081,00'44.802,00'22.437,13,26,15:54'06.669,01:06'31.669,248.13
28,,,B,02'02.912,00'34.240,00'21.184,00'44.977,00'22.511,13,26,15:56'09.581,01:08'34.581,248.13
