Åyèáà ÉfÅ[É^Åz
ClassRank,Rank,Class,CarNo,Driver,CarName,Laps,LastLapTime,Time,TimeFired,PitCount,BestLapDriver,BestLapTime,BestLapLap,BestLapClassRank,BestLapRank,ClassGap,ClassInt,Gap,Int,Speed,BestLap(A),BestLap(B)
1,1,500,3,Mitsunori Takaboshi,NDDP RACING,52,01'56.691,1:55'50.895,16:43'25.895,1,A,01'48.055,2,1,1,---,---,---,---,118.54,01'48.055,01'49.359
2,2,500,17,Koudai Tsukakoshi,Astemo REAL RACING,52,01'55.744,1:55'55.444,16:43'30.444,1,B,01'49.389,5,3,3,4.549,4.549,4.549,4.549,117.27,01'50.322,01'49.389
3,3,500,37,Ritomo Miyata,TGR TEAM KeePer TOM'S,52,01'54.636,1:55'55.727,16:43'30.727,1,A,01'48.997,5,2,2,4.832,0.283,4.832,0.283,124.24,01'48.997,01'50.261
4,4,500,39,Yuichi Nakayama,TGR TEAM SARD,52,01'53.358,1:55'55.775,16:43'30.775,1,A,01'50.441,6,9,9,4.880,0.048,4.880,0.048,113.63,01'50.441,01'50.626
5,5,500,19,Sena Sakaguchi,TGR TEAM WedsSport BANDOH,52,01'53.574,1:55'59.252,16:43'34.252,1,A,01'50.628,5,11,11,8.357,3.477,8.357,3.477,130.52,01'50.628,01'50.830
6,6,500,24,Kohei Hirate,KONDO RACING,52,01'52.607,1:56'01.324,16:43'36.324,1,B,01'50.040,30,5,5,10.429,2.072,10.429,2.072,115.88,01'50.464,01'50.040
7,7,500,8,Tomoki Nojiri,ARTA,52,01'53.536,1:56'01.367,16:43'36.367,1,A,01'50.112,23,6,6,10.472,0.043,10.472,0.043,128.04,01'50.112,01'50.473
8,8,500,14,Kazuya Oshima,TGR TEAM ENEOS ROOKIE,52,01'53.026,1:56'04.173,16:43'39.173,1,B,01'49.763,6,4,4,13.278,2.806,13.278,2.806,121.66,01'50.910,01'49.763
9,9,500,100,Naoki Yamamoto,TEAM KUNIMITSU,52,01'53.568,1:56'05.199,16:43'40.199,1,A,01'50.865,31,14,14,14.304,1.026,14.304,1.026,136.39,01'50.865,01'50.910
10,10,500,36,Sho Tsuboi,TGR TEAM au TOM'S,52,01'52.349,1:56'06.257,16:43'41.257,2,B,01'50.689,2,13,13,15.362,1.058,15.362,1.058,115.27,01'51.194,01'50.689
11,11,500,64,Hiroki Otsu,Modulo Nakajima Racing,52,01'52.765,1:56'08.659,16:43'43.659,1,A,01'50.643,2,12,12,17.764,2.402,17.764,2.402,120.16,01'50.643,01'51.704
12,12,500,23,Tsugio Matsuda,NISMO,52,01'53.427,1:56'45.117,16:44'20.117,2,B,01'50.199,5,7,7,54.222,36.458,54.222,36.458,138.11,01'51.124,01'50.199
13,34,500,16,Toshiki Oyu,TEAM Red Bull MUGEN,37,01'58.965,1:21'42.441,16:09'17.441,3,A,01'50.326,5,8,8,15 LAP,15 LAP,15 LAP,10 LAP,262.99,01'50.326,01'50.401
14,39,500,38,Yuji Tachikawa,TGR TEAM ZENT CERUMO,10,01'59.231,21'29.112,15:09'04.112,0,A,01'50.574,5,10,10,42 LAP,27 LAP,42 LAP,12 LAP,271.11,01'50.574,
15,41,500,12,Bertrand Baguette,TEAM IMPUL,1,02'01.285,02'01.285,14:49'36.285,0,B,02'01.285,1,15,19,51 LAP,9 LAP,,,245.36,,

ClassRank,Rank,Class,CarNo,Driver,CarName,Laps,LastLapTime,Time,TimeFired,PitCount,BestLapDriver,BestLapTime,BestLapLap,BestLapClassRank,BestLapRank,ClassGap,ClassInt,Gap,Int,Speed,BestLap(A),BestLap(B)
1,13,300,7,Tsubasa Kondo,BMW Team Studie x CSL,49,02'01.541,1:57'34.344,16:45'09.344,1,A,02'01.313,5,6,21,---,---,3 LAP,3 LAP,116.03,02'01.313,02'01.435
2,14,300,5,Reiji Hiraki,TEAM MACH,49,02'02.879,1:57'43.956,16:45'18.956,1,A,02'01.761,5,14,29,9.612,9.612,3 LAP,9.612,236.76,02'01.761,02'01.842
3,15,300,56,Joao Paulo Lima de Oliveira,KONDO RACING,49,02'02.708,1:57'44.227,16:45'19.227,1,A,02'01.283,6,4,18,9.883,0.271,3 LAP,0.271,121.83,02'01.283,02'01.612
4,16,300,52,Hiroki Yoshida,SAITAMATOYOPET Green Brave,49,02'02.287,1:57'49.448,16:45'24.448,2,B,02'01.248,15,3,17,15.104,5.221,3 LAP,5.221,123.54,02'01.320,02'01.248
5,17,300,88,Takashi Kogure,JLOC,49,02'08.490,1:57'56.860,16:45'31.860,1,A,02'01.534,29,11,26,22.516,7.412,3 LAP,7.412,123.19,02'01.534,02'01.803
