【Class:300  Car No:10  GAINER NISSAN  タイム履歴データ】
LapNo,Best,Pit,Driver,LapTime,Sector1,Sector2,Sector3,Sector4,RankClass,Rank,TimeFired,Time,Speed
1,,,A,02'45.731,01'09.263,00'25.503,00'46.911,00'24.054,6,7,09:32'45.731,00:02'45.731,246.74
2,,,A,02'04.642,00'35.955,00'21.424,00'44.785,00'22.478,4,9,09:34'50.373,00:04'50.373,247.43
3,,,A,02'01.416,00'33.907,00'20.295,00'43.775,00'23.439,12,27,09:36'51.789,00:06'51.789,249.54
4,,,A,01'59.677,00'33.509,00'20.273,00'43.755,00'22.140,13,27,09:38'51.466,00:08'51.466,249.54
5,,,A,02'00.485,00'33.643,00'20.568,00'44.098,00'22.176,9,23,09:40'51.951,00:10'51.951,247.43
6,,P,A,02'05.710,00'34.633,00'20.531,00'44.181,00'26.365,10,21,09:42'57.661,00:12'57.661,245.36
7,,,A,07'14.536,05'47.880,00'20.565,00'43.966,00'22.125,24,36,09:50'12.197,00:20'12.197,246.74
8,,P,A,02'05.412,00'33.623,00'20.760,00'44.201,00'26.828,16,27,09:52'17.609,00:22'17.609,246.05
9,,,A,04'38.797,03'11.939,00'20.563,00'44.100,00'22.195,22,35,09:56'56.406,00:26'56.406,247.43
10,,P,A,02'05.919,00'33.963,00'21.023,00'44.840,00'26.093,14,23,09:59'02.325,00:29'02.325,248.83
11,,,B,05'37.734,04'09.090,00'20.874,00'45.018,00'22.752,19,31,10:04'40.059,00:34'40.059,246.05
12,,,B,02'03.530,00'34.293,00'21.590,00'44.611,00'23.036,11,19,10:06'43.589,00:36'43.589,246.74
13,,,B,02'02.062,00'33.989,00'20.572,00'44.541,00'22.960,12,25,10:08'45.651,00:38'45.651,246.05
14,,P,B,02'08.393,00'34.142,00'20.920,00'44.691,00'28.640,18,30,10:10'54.044,00:40'54.044,246.05
15,,,B,06'59.699,05'30.448,00'22.035,00'44.668,00'22.548,21,31,10:17'53.743,00:47'53.743,246.05
16,,,B,02'01.298,00'33.803,00'20.626,00'44.443,00'22.426,8,15,10:19'55.041,00:49'55.041,244.67
17,,,B,02'01.436,00'33.899,00'20.655,00'44.509,00'22.373,3,11,10:21'56.477,00:51'56.477,246.05
18,,,B,02'02.381,00'34.029,00'20.966,00'44.652,00'22.734,3,7,10:23'58.858,00:53'58.858,246.74
19,,,B,02'02.413,00'34.196,00'20.791,00'44.874,00'22.552,3,6,10:26'01.271,00:56'01.271,246.05
20,,P,B,02'07.553,00'34.825,00'21.054,00'44.953,00'26.721,4,6,10:28'08.824,00:58'08.824,246.74
21,,,A,05'19.415,03'48.048,00'22.437,00'45.447,00'23.483,6,8,10:33'28.239,01:03'28.239,248.13
22,,,A,02'02.930,00'35.002,00'21.338,00'44.451,00'22.139,3,7,10:35'31.169,01:05'31.169,248.13
23,BL,,A,01'59.055,00'33.524,00'20.196,00'43.587,00'21.748,1,3,10:37'30.224,01:07'30.224,248.13
24,,,A,01'59.254,00'33.141,00'19.977,00'44.095,00'22.041,1,2,10:39'29.478,01:09'29.478,250.25
25,,P,A,02'06.459,00'34.878,00'20.380,00'43.977,00'27.224,2,4,10:41'35.937,01:11'35.937,248.83
26,,,B,05'28.361,03'58.621,00'21.021,00'44.346,00'24.373,6,10,10:47'04.298,01:17'04.298,247.43
27,,,B,02'01.215,00'34.457,00'20.462,00'44.188,00'22.108,3,7,10:49'05.513,01:19'05.513,248.13
28,,,B,02'00.307,00'33.429,00'20.274,00'43.940,00'22.664,1,5,10:51'05.820,01:21'05.820,250.25
29,,,B,02'03.551,00'33.496,00'20.309,00'46.926,00'22.820,4,7,10:53'09.371,01:23'09.371,243.99
30,,P,B,02'10.576,00'34.740,00'21.789,00'44.740,00'29.307,4,8,10:55'19.947,01:25'19.947,248.13
31,,,B,05'50.231,04'22.308,00'21.019,00'44.639,00'22.265,7,11,11:01'10.178,01:31'10.178,247.43
32,,,B,02'00.271,00'33.782,00'20.326,00'44.091,00'22.072,1,3,11:03'10.449,01:33'10.449,248.83
33,,,B,02'00.230,00'33.508,00'20.589,00'44.090,00'22.043,2,3,11:05'10.679,01:35'10.679,248.83
34,,P,B,02'20.557,00'34.896,00'22.408,00'47.379,00'35.874,6,6,11:07'31.236,01:37'31.236,248.83
