【Class:500  Car No:100  TEAM KUNIMITSU HONDA  タイム履歴データ】
LapNo,Best,Pit,Driver,LapTime,Sector1,Sector2,Sector3,Sector4,RankClass,Rank,TimeFired,Time,Speed
1,,,B,03'37.348,01'54.904,00'25.561,00'50.049,00'26.834,8,28,09:33'37.348,00:03'37.348,246.74
2,,,B,02'03.476,00'36.027,00'21.363,00'43.060,00'23.026,4,6,09:35'40.824,00:05'40.824,251.69
3,,,B,01'51.329,00'31.432,00'18.385,00'40.274,00'21.238,3,3,09:37'32.153,00:07'32.153,270.27
4,,,B,01'50.452,00'30.015,00'18.756,00'40.207,00'21.474,9,9,09:39'22.605,00:09'22.605,269.44
5,,,B,01'49.405,00'30.748,00'17.800,00'40.324,00'20.533,8,8,09:41'12.010,00:11'12.010,270.27
6,,P,B,01'53.850,00'30.006,00'17.993,00'40.015,00'25.836,6,6,09:43'05.860,00:13'05.860,270.27
7,,,B,08'42.476,07'22.008,00'19.168,00'40.561,00'20.739,12,37,09:51'48.336,00:21'48.336,268.62
8,,,B,01'48.176,00'30.291,00'17.919,00'39.798,00'20.168,2,2,09:53'36.512,00:23'36.512,268.62
9,,P,B,01'55.003,00'30.441,00'18.248,00'40.573,00'25.741,6,6,09:55'31.515,00:25'31.515,266.99
10,,,B,08'08.911,06'27.678,00'24.927,00'50.298,00'26.008,8,27,10:03'40.426,00:33'40.426,241.98
11,,,B,01'56.994,00'33.197,00'20.772,00'41.569,00'21.456,6,6,10:05'37.420,00:35'37.420,265.37
12,,,B,01'50.797,00'30.508,00'18.555,00'40.965,00'20.769,4,4,10:07'28.217,00:37'28.217,266.18
13,,,B,01'50.664,00'31.204,00'18.311,00'40.265,00'20.884,4,4,10:09'18.881,00:39'18.881,268.62
14,BL,,B,01'47.333,00'29.328,00'18.078,00'39.903,00'20.024,1,1,10:11'06.214,00:41'06.214,269.44
15,,P,B,01'54.168,00'29.371,00'18.518,00'41.014,00'25.265,1,1,10:13'00.382,00:43'00.382,265.37
16,,,A,08'44.308,07'18.679,00'20.547,00'43.032,00'22.050,9,23,10:21'44.690,00:51'44.690,266.18
17,,,A,01'53.177,00'30.668,00'18.806,00'40.559,00'23.144,6,6,10:23'37.867,00:53'37.867,267.8
18,,,A,01'49.239,00'29.733,00'18.132,00'40.351,00'21.023,3,3,10:25'27.106,00:55'27.106,268.62
19,,P,A,01'55.860,00'30.543,00'18.563,00'40.613,00'26.141,3,3,10:27'22.966,00:57'22.966,265.37
20,,,A,06'22.097,04'59.585,00'19.952,00'41.529,00'21.031,8,21,10:33'45.063,01:03'45.063,266.99
21,,,A,01'50.326,00'30.474,00'19.177,00'40.240,00'20.435,3,3,10:35'35.389,01:05'35.389,266.99
22,,P,A,01'56.934,00'31.501,00'18.415,00'41.023,00'25.995,6,6,10:37'32.323,01:07'32.323,266.99
23,,,A,05'53.773,04'33.313,00'18.681,00'40.798,00'20.981,6,19,10:43'26.096,01:13'26.096,270.27
24,,,A,01'53.601,00'32.865,00'18.806,00'41.178,00'20.752,5,5,10:45'19.697,01:15'19.697,267.8
25,,P,A,01'54.764,00'30.193,00'18.528,00'40.466,00'25.577,4,4,10:47'14.461,01:17'14.461,269.44
26,,,A,21'38.661,20'03.829,00'24.045,00'47.311,00'23.476,12,37,11:08'53.122,01:38'53.122,261.42
27,,,A,01'55.890,00'32.473,00'19.247,00'40.985,00'23.185,8,8,11:10'49.012,01:40'49.012,263.78
28,,,A,01'51.799,00'31.056,00'18.927,00'41.518,00'20.298,6,6,11:12'40.811,01:42'40.811,267.8
29,,P,A,02'41.592,00'28.960,00'17.506,01'17.610,00'37.516,10,27,11:15'22.403,01:45'22.403,128.79
