【Class:500  Car No:12  TEAM IMPUL NISSAN  タイム履歴データ】
LapNo,Best,Pit,Driver,LapTime,Sector1,Sector2,Sector3,Sector4,RankClass,Rank,TimeFired,Time,Speed
1,,P,A,03'17.951,01'23.273,00'26.222,00'51.452,00'37.004,5,20,09:33'17.951,00:03'17.951,236.12
2,,,A,06'45.400,05'08.143,00'24.491,00'49.925,00'22.841,13,39,09:40'03.351,00:10'03.351,265.37
3,,,A,01'52.085,00'30.539,00'19.399,00'40.508,00'21.639,5,5,09:41'55.436,00:11'55.436,271.95
4,BL,,A,01'46.811,00'29.196,00'17.830,00'39.643,00'20.142,4,4,09:43'42.247,00:13'42.247,273.64
5,,,A,01'48.601,00'30.756,00'17.926,00'39.878,00'20.041,7,7,09:45'30.848,00:15'30.848,270.27
6,,P,A,01'55.342,00'29.635,00'19.495,00'40.393,00'25.819,8,8,09:47'26.190,00:17'26.190,271.95
7,,,A,09'18.681,07'59.772,00'18.230,00'40.141,00'20.538,13,38,09:56'44.871,00:26'44.871,270.27
8,,,A,01'49.005,00'29.632,00'18.956,00'40.229,00'20.188,4,4,09:58'33.876,00:28'33.876,269.44
9,,P,A,01'53.651,00'29.737,00'18.109,00'40.338,00'25.467,4,4,10:00'27.527,00:30'27.527,270.27
10,,,A,06'40.929,05'00.820,00'26.529,00'50.027,00'23.553,11,30,10:07'08.456,00:37'08.456,263.78
11,,,A,01'51.458,00'31.708,00'18.442,00'40.321,00'20.987,2,2,10:08'59.914,00:38'59.914,267.8
12,,,A,01'47.119,00'29.591,00'17.799,00'39.762,00'19.967,2,2,10:10'47.033,00:40'47.033,268.62
13,,P,A,01'54.251,00'29.442,00'17.690,00'40.268,00'26.851,6,6,10:12'41.284,00:42'41.284,268.62
14,,,B,08'35.925,07'13.580,00'19.228,00'41.040,00'22.077,11,33,10:21'17.209,00:51'17.209,267.8
15,,,B,01'49.653,00'30.157,00'18.407,00'40.588,00'20.501,4,4,10:23'06.862,00:53'06.862,266.99
16,,,B,01'51.267,00'30.598,00'18.327,00'40.790,00'21.552,3,3,10:24'58.129,00:54'58.129,267.8
17,,P,B,01'53.633,00'29.891,00'18.064,00'40.390,00'25.288,7,7,10:26'51.762,00:56'51.762,266.99
18,,,B,06'31.902,05'03.571,00'19.288,00'45.181,00'23.862,9,24,10:33'23.664,01:03'23.664,267.8
19,,,B,01'49.534,00'29.990,00'18.451,00'40.415,00'20.678,4,4,10:35'13.198,01:05'13.198,270.27
20,,,B,01'49.685,00'30.227,00'18.380,00'40.807,00'20.271,2,2,10:37'02.883,01:07'02.883,266.99
21,,P,B,01'54.007,00'30.176,00'18.130,00'40.753,00'24.948,8,8,10:38'56.890,01:08'56.890,269.44
22,,,B,08'44.441,07'23.390,00'18.962,00'41.307,00'20.782,13,34,10:47'41.331,01:17'41.331,267.8
23,,,B,01'50.819,00'30.598,00'19.217,00'40.565,00'20.439,1,1,10:49'32.150,01:19'32.150,271.11
24,,,B,01'53.345,00'30.534,00'18.688,00'41.087,00'23.036,7,7,10:51'25.495,01:21'25.495,268.62
25,,,B,01'49.934,00'30.440,00'18.417,00'40.663,00'20.414,3,3,10:53'15.429,01:23'15.429,268.62
26,,,B,01'50.523,00'30.514,00'18.449,00'40.730,00'20.830,4,4,10:55'05.952,01:25'05.952,269.44
27,,P,B,02'01.402,00'31.407,00'19.153,00'41.832,00'29.010,8,13,10:57'07.354,01:27'07.354,269.44
28,,,B,12'20.519,10'47.004,00'23.880,00'46.200,00'23.435,9,31,11:09'27.873,01:39'27.873,264.57
29,,,B,01'58.703,00'32.310,00'19.692,00'44.818,00'21.883,6,6,11:11'26.576,01:41'26.576,265.37
30,,,B,01'50.543,00'31.383,00'18.273,00'40.517,00'20.370,2,2,11:13'17.119,01:43'17.119,266.18
31,,P,B,02'19.487,00'29.105,00'17.700,00'54.479,00'38.203,7,20,11:15'36.606,01:45'36.606,134.72
