【Class:500  Car No:14  TGR TEAM ENEOS ROOKIE TOYOTA  タイム履歴データ】
LapNo,Best,Pit,Driver,LapTime,Sector1,Sector2,Sector3,Sector4,RankClass,Rank,TimeFired,Time,Speed
1,,,B,09'00.686,07'15.367,00'27.557,00'51.659,00'26.103,14,40,09:39'00.686,00:09'00.686,205.23
2,,,B,02'00.051,00'34.799,00'20.319,00'43.059,00'21.874,1,1,09:41'00.737,00:11'00.737,263.78
3,,,B,01'52.235,00'31.555,00'18.533,00'40.677,00'21.470,6,6,09:42'52.972,00:12'52.972,266.99
4,BL,,B,01'47.728,00'29.638,00'17.846,00'40.002,00'20.242,6,6,09:44'40.700,00:14'40.700,266.99
5,,P,B,01'54.919,00'29.457,00'18.034,00'41.124,00'26.304,12,12,09:46'35.619,00:16'35.619,266.99
6,,,B,08'27.950,06'46.579,00'25.778,00'50.051,00'25.542,14,39,09:55'03.569,00:25'03.569,258.35
7,,,B,02'00.077,00'35.437,00'20.559,00'42.436,00'21.645,7,11,09:57'03.646,00:27'03.646,263.78
8,,,B,01'51.530,00'30.774,00'18.522,00'41.526,00'20.708,6,6,09:58'55.176,00:28'55.176,266.99
9,,,B,01'53.824,00'30.500,00'19.495,00'40.923,00'22.906,5,5,10:00'49.000,00:30'49.000,266.18
10,,,B,01'47.995,00'29.749,00'17.985,00'39.996,00'20.265,2,2,10:02'36.995,00:32'36.995,267.8
11,,P,B,01'55.435,00'30.311,00'18.284,00'40.725,00'26.115,3,3,10:04'32.430,00:34'32.430,266.99
12,,,B,09'10.247,07'31.183,00'28.051,00'47.031,00'23.982,10,30,10:13'42.677,00:43'42.677,262.2
13,,,B,01'54.206,00'32.331,00'19.536,00'41.157,00'21.182,7,7,10:15'36.883,00:45'36.883,268.62
14,,,B,01'57.889,00'31.668,00'19.403,00'41.471,00'25.347,7,7,10:17'34.772,00:47'34.772,266.18
15,,,B,01'48.019,00'29.855,00'17.982,00'39.906,00'20.276,2,2,10:19'22.791,00:49'22.791,270.27
16,,P,B,01'56.900,00'29.886,00'18.044,00'41.479,00'27.491,6,6,10:21'19.691,00:51'19.691,265.37
17,,,A,06'38.129,05'13.028,00'21.157,00'42.499,00'21.445,10,26,10:27'57.820,00:57'57.820,264.57
18,,,A,01'50.069,00'30.464,00'18.370,00'40.920,00'20.315,4,4,10:29'47.889,00:59'47.889,266.99
19,,,A,01'49.135,00'30.046,00'18.271,00'40.631,00'20.187,3,3,10:31'37.024,01:01'37.024,267.8
20,,P,A,02'00.476,00'31.299,00'19.237,00'41.818,00'28.122,6,7,10:33'37.500,01:03'37.500,269.44
21,,,A,07'51.915,06'30.291,00'19.505,00'41.321,00'20.798,10,26,10:41'29.415,01:11'29.415,265.37
22,,,A,01'53.527,00'30.859,00'19.038,00'41.370,00'22.260,6,6,10:43'22.942,01:13'22.942,269.44
23,,,A,01'51.690,00'30.524,00'18.745,00'41.975,00'20.446,2,2,10:45'14.632,01:15'14.632,267.8
24,,,A,01'52.515,00'31.678,00'18.860,00'41.186,00'20.791,5,5,10:47'07.147,01:17'07.147,267.8
25,,,A,01'50.588,00'30.702,00'18.559,00'40.908,00'20.419,3,3,10:48'57.735,01:18'57.735,268.62
26,,,A,01'51.157,00'30.932,00'18.738,00'40.792,00'20.695,4,4,10:50'48.892,01:20'48.892,269.44
27,,,A,01'50.688,00'30.553,00'18.578,00'40.952,00'20.605,3,3,10:52'39.580,01:22'39.580,267.8
28,,,A,01'51.118,00'30.414,00'18.437,00'41.523,00'20.744,3,3,10:54'30.698,01:24'30.698,266.99
29,,,A,01'52.959,00'31.919,00'18.806,00'41.429,00'20.805,3,3,10:56'23.657,01:26'23.657,267.8
30,,P,A,01'59.758,00'30.491,00'18.510,00'41.130,00'29.627,5,5,10:58'23.415,01:28'23.415,267.8
31,,,B,11'47.169,10'16.749,00'22.750,00'44.922,00'22.748,5,24,11:10'10.584,01:40'10.584,262.99
32,,,B,01'52.803,00'31.609,00'18.692,00'40.886,00'21.616,2,2,11:12'03.387,01:42'03.387,266.18
33,,P,B,01'59.176,00'29.058,00'17.578,00'39.518,00'33.022,2,3,11:14'02.563,01:44'02.563,269.44
