【Class:500  Car No:16  TEAM Red Bull MUGEN HONDA  タイム履歴データ】
LapNo,Best,Pit,Driver,LapTime,Sector1,Sector2,Sector3,Sector4,RankClass,Rank,TimeFired,Time,Speed
1,,P,A,03'38.317,01'48.920,00'24.910,00'50.630,00'33.857,9,30,09:33'38.317,00:03'38.317,223.51
2,,,A,06'09.765,04'32.842,00'22.673,00'49.744,00'24.506,10,36,09:39'48.082,00:09'48.082,240.65
3,,,A,01'55.902,00'33.282,00'19.422,00'40.895,00'22.303,10,10,09:41'43.984,00:11'43.984,268.62
4,,,A,01'54.347,00'31.192,00'18.926,00'42.507,00'21.722,11,11,09:43'38.331,00:13'38.331,270.27
5,,,A,01'46.679,00'29.206,00'17.679,00'39.890,00'19.904,2,2,09:45'25.010,00:15'25.010,271.11
6,,P,A,02'02.813,00'31.718,00'20.438,00'43.214,00'27.443,11,18,09:47'27.823,00:17'27.823,203.8
7,,,A,16'53.267,15'29.699,00'20.036,00'42.166,00'21.366,14,41,10:04'21.090,00:34'21.090,266.18
8,,,A,01'54.690,00'30.733,00'18.539,00'40.294,00'25.124,9,9,10:06'15.780,00:36'15.780,262.99
9,BL,,A,01'46.513,00'29.172,00'17.815,00'39.548,00'19.978,3,3,10:08'02.293,00:38'02.293,268.62
10,,P,A,02'04.965,00'31.179,00'20.718,00'44.537,00'28.531,9,19,10:10'07.258,00:40'07.258,246.05
11,,,A,07'44.152,06'23.885,00'19.124,00'40.382,00'20.761,13,37,10:17'51.410,00:47'51.410,267.8
12,,,A,01'50.310,00'29.861,00'20.104,00'39.972,00'20.373,5,5,10:19'41.720,00:49'41.720,269.44
13,,P,A,01'54.692,00'29.630,00'18.102,00'39.912,00'27.048,9,9,10:21'36.412,00:51'36.412,269.44
14,,,A,05'51.422,04'10.909,00'25.943,00'50.432,00'24.138,13,36,10:27'27.834,00:57'27.834,258.35
15,,,A,01'53.707,00'32.627,00'19.325,00'40.841,00'20.914,7,7,10:29'21.541,00:59'21.541,266.18
16,,,A,01'53.624,00'29.067,00'19.783,00'42.498,00'22.276,8,8,10:31'15.165,01:01'15.165,252.41
17,,,A,01'48.817,00'29.053,00'18.929,00'40.894,00'19.941,2,2,10:33'03.982,01:03'03.982,269.44
18,,P,A,01'54.003,00'29.749,00'18.810,00'40.144,00'25.300,7,7,10:34'57.985,01:04'57.985,267.8
19,,,B,06'47.764,05'25.663,00'19.765,00'41.172,00'21.164,12,35,10:41'45.749,01:11'45.749,267.8
20,,,B,01'52.232,00'30.636,00'18.995,00'41.330,00'21.271,7,7,10:43'37.981,01:13'37.981,266.99
21,,,B,01'48.702,00'29.544,00'18.393,00'40.472,00'20.293,2,2,10:45'26.683,01:15'26.683,268.62
22,,P,B,01'57.193,00'31.598,00'19.153,00'40.573,00'25.869,10,10,10:47'23.876,01:17'23.876,268.62
23,,,B,05'59.461,04'37.050,00'19.576,00'41.035,00'21.800,11,34,10:53'23.337,01:23'23.337,266.99
24,,,B,01'49.186,00'29.709,00'18.562,00'40.519,00'20.396,1,1,10:55'12.523,01:25'12.523,270.27
25,,P,B,01'57.350,00'30.235,00'18.511,00'40.711,00'27.893,9,9,10:57'09.873,01:27'09.873,270.27
26,,,B,11'24.275,09'45.030,00'27.865,00'47.833,00'23.547,11,36,11:08'34.148,01:38'34.148,266.99
27,,,B,01'55.650,00'32.062,00'19.204,00'41.021,00'23.363,7,7,11:10'29.798,01:40'29.798,267.8
28,,,B,01'54.681,00'31.694,00'20.008,00'41.477,00'21.502,8,8,11:12'24.479,01:42'24.479,267.8
29,,P,B,02'22.967,00'28.974,00'17.364,00'48.250,00'48.379,9,26,11:14'47.446,01:44'47.446,128.98
