【Class:500  Car No:17  Astemo REAL RACING HONDA  タイム履歴データ】
LapNo,Best,Pit,Driver,LapTime,Sector1,Sector2,Sector3,Sector4,RankClass,Rank,TimeFired,Time,Speed
1,,,B,05'09.246,03'25.631,00'27.633,00'50.259,00'25.723,11,36,09:35'09.246,00:05'09.246,241.98
2,,,B,02'01.171,00'35.253,00'19.693,00'42.020,00'24.205,3,3,09:37'10.417,00:07'10.417,250.25
3,,,B,01'49.551,00'29.329,00'18.295,00'41.376,00'20.551,1,1,09:38'59.968,00:08'59.968,267.8
4,,,B,01'47.273,00'29.048,00'18.503,00'39.732,00'19.990,5,5,09:40'47.241,00:10'47.241,269.44
5,,P,B,01'56.210,00'29.316,00'17.808,00'39.717,00'29.369,14,14,09:42'43.451,00:12'43.451,268.62
6,,,B,06'46.205,05'10.748,00'24.116,00'47.429,00'23.912,12,32,09:49'29.656,00:19'29.656,263.78
7,,,B,01'58.198,00'32.011,00'18.963,00'41.006,00'26.218,6,6,09:51'27.854,00:21'27.854,256.84
8,,,B,01'52.068,00'29.214,00'19.136,00'41.532,00'22.186,7,7,09:53'19.922,00:23'19.922,266.99
9,,,B,01'46.040,00'29.131,00'17.583,00'39.484,00'19.842,2,2,09:55'05.962,00:25'05.962,268.62
10,,P,B,01'58.159,00'30.085,00'18.885,00'40.942,00'28.247,2,2,09:57'04.121,00:27'04.121,267.8
11,,,A,04'35.780,03'13.879,00'19.649,00'41.039,00'21.213,4,12,10:01'39.901,00:31'39.901,266.99
12,,,A,01'48.618,00'29.615,00'17.993,00'40.584,00'20.426,2,2,10:03'28.519,00:33'28.519,264.57
13,,,A,01'47.086,00'29.428,00'17.746,00'39.836,00'20.076,2,2,10:05'15.605,00:35'15.605,266.99
14,,P,A,01'58.687,00'31.371,00'18.387,00'40.479,00'28.450,2,3,10:07'14.292,00:37'14.292,267.8
15,,,A,04'21.261,02'56.898,00'19.989,00'42.154,00'22.220,2,8,10:11'35.553,00:41'35.553,264.57
16,,,A,01'54.123,00'32.350,00'19.353,00'40.845,00'21.575,1,1,10:13'29.676,00:43'29.676,263.78
17,,,A,01'47.522,00'29.342,00'17.843,00'40.288,00'20.049,1,1,10:15'17.198,00:45'17.198,266.99
18,,,A,01'48.230,00'29.667,00'18.071,00'40.308,00'20.184,1,1,10:17'05.428,00:47'05.428,267.8
19,,P,A,01'59.801,00'31.798,00'19.010,00'40.676,00'28.317,2,2,10:19'05.229,00:49'05.229,268.62
20,,,A,06'01.623,04'41.496,00'18.939,00'40.638,00'20.550,2,4,10:25'06.852,00:55'06.852,263.78
21,,,A,01'51.981,00'31.520,00'18.398,00'41.657,00'20.406,1,1,10:26'58.833,00:56'58.833,266.18
22,,P,A,01'55.428,00'29.974,00'18.287,00'40.198,00'26.969,1,1,10:28'54.261,00:58'54.261,266.99
23,,,A,08'44.858,07'22.219,00'18.859,00'40.693,00'23.087,4,11,10:37'39.119,01:07'39.119,243.32
24,,P,A,01'57.109,00'30.914,00'18.584,00'40.480,00'27.131,3,3,10:39'36.228,01:09'36.228,270.27
25,,,A,09'53.905,08'29.894,00'20.022,00'42.398,00'21.591,9,22,10:49'30.133,01:19'30.133,266.18
26,,P,A,01'55.677,00'30.368,00'18.797,00'40.289,00'26.223,6,6,10:51'25.810,01:21'25.810,266.99
27,,,B,02'56.067,01'35.397,00'18.872,00'40.815,00'20.983,7,17,10:54'21.877,01:24'21.877,265.37
28,,,B,01'50.236,00'30.267,00'18.711,00'40.712,00'20.546,1,1,10:56'12.113,01:26'12.113,264.57
29,,P,B,02'00.996,00'30.369,00'19.317,00'43.203,00'28.107,6,7,10:58'13.109,01:28'13.109,250.97
30,,,A,11'33.210,10'06.622,00'20.885,00'43.395,00'22.308,6,25,11:09'46.319,01:39'46.319,262.99
31,,,A,01'50.656,00'30.715,00'18.472,00'40.639,00'20.830,4,4,11:11'36.975,01:41'36.975,262.99
32,BL,,A,01'45.222,00'28.760,00'17.419,00'39.249,00'19.794,1,1,11:13'22.197,01:43'22.197,270.27
33,,P,A,02'22.466,00'32.656,00'20.276,00'46.772,00'42.762,4,15,11:15'44.663,01:45'44.663,164.8
