【Class:300  Car No:18  TEAM UPGARAGE HONDA  タイム履歴データ】
LapNo,Best,Pit,Driver,LapTime,Sector1,Sector2,Sector3,Sector4,RankClass,Rank,TimeFired,Time,Speed
1,,,A,03'33.405,01'50.806,00'25.320,00'50.413,00'26.866,19,25,09:33'33.405,00:03'33.405,240.65
2,,,A,02'09.349,00'36.955,00'21.956,00'45.903,00'24.535,17,24,09:35'42.754,00:05'42.754,240.65
3,,,A,02'07.720,00'37.652,00'21.484,00'46.041,00'22.543,22,37,09:37'50.474,00:07'50.474,248.13
4,,,A,01'58.730,00'33.254,00'19.997,00'43.473,00'22.006,4,18,09:39'49.204,00:09'49.204,248.83
5,,,A,01'59.052,00'33.147,00'20.081,00'43.709,00'22.115,3,17,09:41'48.256,00:11'48.256,249.54
6,,P,A,02'11.807,00'35.242,00'20.828,00'45.012,00'30.725,15,26,09:44'00.063,00:14'00.063,246.05
7,,,A,06'27.701,04'50.430,00'24.723,00'47.971,00'24.577,19,29,09:50'27.764,00:20'27.764,244.67
8,,,A,02'03.458,00'35.437,00'21.144,00'44.468,00'22.409,9,20,09:52'31.222,00:22'31.222,246.05
9,,P,A,02'23.950,00'32.981,00'24.396,00'55.347,00'31.226,21,34,09:54'55.172,00:24'55.172,236.12
10,,,A,07'04.093,05'32.094,00'20.825,00'45.969,00'25.205,25,37,10:01'59.265,00:31'59.265,235.49
11,,,A,01'59.585,00'33.242,00'20.132,00'43.880,00'22.331,4,13,10:03'58.850,00:33'58.850,248.13
12,,P,A,02'09.685,00'36.032,00'21.023,00'44.820,00'27.810,18,28,10:06'08.535,00:36'08.535,246.74
13,,,B,05'24.313,03'52.174,00'21.827,00'46.827,00'23.485,23,37,10:11'32.848,00:41'32.848,246.05
14,,,B,02'01.091,00'33.873,00'20.460,00'44.256,00'22.502,9,20,10:13'33.939,00:43'33.939,247.43
15,,,B,02'00.385,00'33.668,00'20.364,00'43.993,00'22.360,3,12,10:15'34.324,00:45'34.324,248.83
16,,P,B,02'09.910,00'33.653,00'21.856,00'44.847,00'29.554,15,22,10:17'44.234,00:47'44.234,246.74
17,,,B,09'29.773,07'59.876,00'20.995,00'45.320,00'23.582,18,27,10:27'14.007,00:57'14.007,246.05
18,,,B,01'59.863,00'33.266,00'20.212,00'44.087,00'22.298,1,6,10:29'13.870,00:59'13.870,248.83
19,,P,B,02'12.837,00'34.359,00'23.241,00'45.174,00'30.063,14,19,10:31'26.707,01:01'26.707,247.43
20,,,B,06'46.152,05'15.106,00'22.666,00'44.976,00'23.404,17,27,10:38'12.859,01:08'12.859,245.36
21,,,B,02'01.909,00'33.525,00'21.648,00'44.215,00'22.521,3,11,10:40'14.768,01:10'14.768,248.13
22,,P,B,02'09.835,00'34.940,00'21.605,00'45.316,00'27.974,10,18,10:42'24.603,01:12'24.603,246.74
23,,,A,07'16.001,05'48.447,00'20.733,00'44.274,00'22.547,20,29,10:49'40.604,01:19'40.604,248.13
24,,P,A,02'04.693,00'33.923,00'20.302,00'44.330,00'26.138,12,22,10:51'45.297,01:21'45.297,248.13
25,,,B,07'20.520,05'45.959,00'22.816,00'47.048,00'24.697,22,34,10:59'05.817,01:29'05.817,242.65
26,,,B,02'09.779,00'35.894,00'21.154,00'46.177,00'26.554,17,26,11:01'15.596,01:31'15.596,207.65
27,BL,,B,01'58.623,00'32.995,00'20.112,00'43.476,00'22.040,1,8,11:03'14.219,01:33'14.219,249.54
28,,,B,01'58.841,00'33.064,00'20.213,00'43.678,00'21.886,2,9,11:05'13.060,01:35'13.060,249.54
29,,P,B,02'16.021,00'35.270,00'21.142,00'44.928,00'34.681,18,24,11:07'29.081,01:37'29.081,249.54
