【Class:500  Car No:19  TGR TEAM WedsSport BANDOH TOYOTA  タイム履歴データ】
LapNo,Best,Pit,Driver,LapTime,Sector1,Sector2,Sector3,Sector4,RankClass,Rank,TimeFired,Time,Speed
1,,,B,03'09.101,01'29.562,00'25.059,00'47.766,00'26.714,4,16,09:33'09.101,00:03'09.101,250.97
2,,,B,02'01.054,00'34.583,00'21.570,00'42.416,00'22.485,2,2,09:35'10.155,00:05'10.155,256.84
3,,,B,01'56.027,00'33.229,00'19.265,00'42.068,00'21.465,11,11,09:37'06.182,00:07'06.182,264.57
4,,,B,01'48.771,00'30.227,00'18.069,00'40.319,00'20.156,7,7,09:38'54.953,00:08'54.953,267.8
5,,,B,01'48.288,00'30.256,00'18.030,00'39.710,00'20.292,6,6,09:40'43.241,00:10'43.241,266.18
6,,P,B,01'54.705,00'29.190,00'18.162,00'40.958,00'26.395,7,7,09:42'37.946,00:12'37.946,265.37
7,,,B,06'57.324,05'33.876,00'19.717,00'42.351,00'21.380,11,32,09:49'35.270,00:19'35.270,263.78
8,,,B,01'47.949,00'29.510,00'17.894,00'40.211,00'20.334,1,1,09:51'23.219,00:21'23.219,264.57
9,,P,B,01'59.616,00'30.079,00'19.905,00'40.578,00'29.054,6,9,09:53'22.835,00:23'22.835,264.57
10,,,B,06'10.193,04'46.977,00'18.788,00'41.845,00'22.583,4,19,09:59'33.028,00:29'33.028,263.78
11,,P,B,01'54.202,00'29.756,00'17.959,00'40.327,00'26.160,1,1,10:01'27.230,00:31'27.230,263.78
12,,,B,06'06.490,04'34.904,00'24.578,00'44.230,00'22.778,6,18,10:07'33.720,00:37'33.720,263.78
13,,,B,01'55.158,00'33.106,00'19.372,00'41.028,00'21.652,6,6,10:09'28.878,00:39'28.878,262.99
14,,,B,01'48.791,00'30.276,00'17.982,00'40.051,00'20.482,2,2,10:11'17.669,00:41'17.669,266.99
15,,P,B,01'54.544,00'29.480,00'18.936,00'40.289,00'25.839,2,2,10:13'12.213,00:43'12.213,267.8
16,,,A,05'18.805,03'57.019,00'19.292,00'40.832,00'21.662,2,13,10:18'31.018,00:48'31.018,266.18
17,,,A,01'50.274,00'30.602,00'18.356,00'40.689,00'20.627,2,2,10:20'21.292,00:50'21.292,263.78
18,,P,A,01'57.102,00'30.231,00'18.520,00'41.290,00'27.061,3,3,10:22'18.394,00:52'18.394,235.49
19,,,A,07'53.068,06'28.612,00'20.497,00'42.393,00'21.566,6,17,10:30'11.462,01:00'11.462,259.88
20,,,A,01'51.165,00'30.939,00'18.570,00'40.847,00'20.809,2,2,10:32'02.627,01:02'02.627,264.57
21,,,A,01'50.573,00'30.421,00'18.441,00'40.712,00'20.999,3,3,10:33'53.200,01:03'53.200,268.62
22,,,A,01'50.600,00'30.570,00'18.514,00'40.860,00'20.656,2,2,10:35'43.800,01:05'43.800,268.62
23,,,A,01'53.929,00'30.950,00'18.902,00'41.592,00'22.485,2,2,10:37'37.729,01:07'37.729,270.27
24,,,A,01'52.469,00'31.036,00'18.677,00'41.069,00'21.687,2,2,10:39'30.198,01:09'30.198,269.44
25,,P,A,01'58.736,00'31.945,00'18.669,00'41.744,00'26.378,2,2,10:41'28.934,01:11'28.934,268.62
26,,,A,26'07.384,24'31.877,00'24.683,00'47.135,00'23.689,11,36,11:07'36.318,01:37'36.318,260.65
27,,,A,01'59.344,00'33.182,00'20.924,00'43.402,00'21.836,8,10,11:09'35.662,01:39'35.662,249.54
28,BL,,A,01'46.804,00'29.410,00'17.794,00'39.628,00'19.972,1,1,11:11'22.466,01:41'22.466,266.99
29,,P,A,01'57.767,00'30.597,00'18.518,00'40.682,00'27.970,6,6,11:13'20.233,01:43'20.233,267.8
