【Class:300  Car No:2  muta Racing INGING TOYOTA  タイム履歴データ】
LapNo,Best,Pit,Driver,LapTime,Sector1,Sector2,Sector3,Sector4,RankClass,Rank,TimeFired,Time,Speed
1,,P,B,03'29.881,01'37.628,00'27.905,00'51.900,00'32.448,16,22,09:33'29.881,00:03'29.881,224.08
2,,,B,04'59.891,03'23.759,00'23.916,00'48.034,00'24.182,24,32,09:38'29.772,00:08'29.772,238.69
3,,,B,02'05.759,00'35.221,00'21.736,00'45.695,00'23.107,20,35,09:40'35.531,00:10'35.531,229.94
4,,,B,02'01.270,00'33.377,00'20.651,00'44.875,00'22.367,20,34,09:42'36.801,00:12'36.801,241.98
5,,P,B,02'05.098,00'33.039,00'20.416,00'44.327,00'27.316,16,31,09:44'41.899,00:14'41.899,240.65
6,,,B,11'01.778,09'32.788,00'21.919,00'44.627,00'22.444,27,41,09:55'43.677,00:25'43.677,241.98
7,,,B,02'00.974,00'33.352,00'20.217,00'44.786,00'22.619,5,13,09:57'44.651,00:27'44.651,242.65
8,,P,B,02'05.003,00'33.373,00'20.227,00'44.677,00'26.726,14,25,09:59'49.654,00:29'49.654,242.65
9,,,B,07'20.206,05'40.674,00'24.991,00'48.864,00'25.677,25,39,10:07'09.860,00:37'09.860,238.04
10,,,B,02'09.101,00'36.252,00'21.644,00'48.055,00'23.150,18,28,10:09'18.961,00:39'18.961,238.69
11,,,B,02'01.072,00'33.638,00'20.408,00'44.628,00'22.398,5,15,10:11'20.033,00:41'20.033,242.65
12,BL,,B,02'00.145,00'33.166,00'20.101,00'44.482,00'22.396,2,10,10:13'20.178,00:43'20.178,241.98
13,,P,B,02'06.847,00'33.468,00'20.826,00'45.182,00'27.371,18,31,10:15'27.025,00:45'27.025,242.65
14,,,A,19'30.164,17'58.812,00'21.525,00'45.569,00'24.258,27,42,10:34'57.189,01:04'57.189,240.65
15,,,A,02'03.810,00'34.336,00'20.851,00'45.236,00'23.387,11,23,10:37'00.999,01:07'00.999,240.65
16,,,A,02'04.105,00'34.475,00'20.970,00'45.387,00'23.273,13,24,10:39'05.104,01:09'05.104,241.31
17,,,A,02'03.071,00'34.107,00'20.876,00'45.239,00'22.849,12,23,10:41'08.175,01:11'08.175,242.65
18,,,A,02'06.007,00'33.930,00'20.702,00'45.230,00'26.145,15,24,10:43'14.182,01:13'14.182,239.99
19,,P,A,02'12.011,00'35.367,00'22.177,00'47.056,00'27.411,22,33,10:45'26.193,01:15'26.193,222.37
20,,,A,04'42.004,03'06.180,00'23.302,00'46.560,00'25.962,20,31,10:50'08.197,01:20'08.197,240.65
21,,,A,02'06.011,00'35.907,00'21.329,00'45.570,00'23.205,12,24,10:52'14.208,01:22'14.208,241.98
22,,,A,02'03.377,00'33.915,00'20.950,00'45.353,00'23.159,14,27,10:54'17.585,01:24'17.585,241.31
23,,P,A,02'11.553,00'34.439,00'21.980,00'46.255,00'28.879,22,31,10:56'29.138,01:26'29.138,241.31
24,,,A,04'55.003,03'20.189,00'23.742,00'47.189,00'23.883,22,34,11:01'24.141,01:31'24.141,241.31
25,,,A,02'06.062,00'34.936,00'21.427,00'45.982,00'23.717,15,26,11:03'30.203,01:33'30.203,239.34
26,,,A,02'01.533,00'33.638,00'20.490,00'44.954,00'22.451,7,16,11:05'31.736,01:35'31.736,241.98
27,,P,A,02'17.045,00'33.543,00'20.838,00'48.312,00'34.352,19,27,11:07'48.781,01:37'48.781,235.49
