【Class:300  Car No:20  SHADE RACING TOYOTA  タイム履歴データ】
LapNo,Best,Pit,Driver,LapTime,Sector1,Sector2,Sector3,Sector4,RankClass,Rank,TimeFired,Time,Speed
1,,,A,03'10.128,01'24.942,00'26.380,00'51.642,00'27.164,13,17,09:33'10.128,00:03'10.128,206.68
2,,,A,02'04.890,00'35.708,00'21.609,00'45.045,00'22.528,5,10,09:35'15.018,00:05'15.018,242.65
3,,,A,01'58.300,00'32.929,00'19.922,00'43.754,00'21.695,1,15,09:37'13.318,00:07'13.318,244.67
4,,,A,01'58.784,00'32.765,00'19.824,00'44.159,00'22.036,5,19,09:39'12.102,00:09'12.102,244.67
5,,P,A,02'08.428,00'34.697,00'20.988,00'44.550,00'28.193,19,34,09:41'20.530,00:11'20.530,244.67
6,,,A,09'53.247,08'25.345,00'21.026,00'44.463,00'22.413,26,40,09:51'13.777,00:21'13.777,242.65
7,,P,A,02'07.487,00'33.482,00'20.281,00'44.474,00'29.250,13,23,09:53'21.264,00:23'21.264,243.32
8,,,A,06'36.570,05'03.308,00'22.347,00'46.874,00'24.041,24,35,09:59'57.834,00:29'57.834,241.31
9,,,A,02'04.483,00'35.060,00'21.201,00'46.125,00'22.097,15,27,10:02'02.317,00:32'02.317,241.31
10,BL,,A,01'57.975,00'32.587,00'19.721,00'43.931,00'21.736,1,8,10:04'00.292,00:34'00.292,243.99
11,,P,A,02'04.488,00'33.395,00'20.301,00'44.361,00'26.431,10,21,10:06'04.780,00:36'04.780,243.32
12,,,A,05'20.790,03'52.876,00'21.104,00'44.401,00'22.409,21,31,10:11'25.570,00:41'25.570,242.65
13,,P,A,02'04.204,00'33.493,00'20.169,00'44.561,00'25.981,16,29,10:13'29.774,00:43'29.774,241.31
14,,,B,05'25.662,03'54.440,00'21.471,00'46.092,00'23.659,23,35,10:18'55.436,00:48'55.436,241.98
15,,,B,02'05.770,00'34.812,00'21.977,00'45.939,00'23.042,12,21,10:21'01.206,00:51'01.206,241.98
16,,,B,02'02.773,00'34.085,00'20.648,00'45.111,00'22.929,10,17,10:23'03.979,00:53'03.979,243.99
17,,,B,02'01.296,00'33.772,00'20.334,00'44.644,00'22.546,2,10,10:25'05.275,00:55'05.275,243.99
18,,,B,02'02.727,00'34.969,00'20.220,00'44.841,00'22.697,4,9,10:27'08.002,00:57'08.002,243.99
19,,P,B,02'07.066,00'33.528,00'20.632,00'44.736,00'28.170,8,12,10:29'15.068,00:59'15.068,244.67
20,,,B,05'27.844,03'59.328,00'20.750,00'44.974,00'22.792,13,19,10:34'42.912,01:04'42.912,243.32
21,,,B,02'00.754,00'33.424,00'20.026,00'44.534,00'22.770,1,7,10:36'43.666,01:06'43.666,243.99
22,,,B,02'00.442,00'33.583,00'20.007,00'44.432,00'22.420,1,8,10:38'44.108,01:08'44.108,243.99
23,,,B,01'59.780,00'33.128,00'19.944,00'44.444,00'22.264,2,6,10:40'43.888,01:10'43.888,245.36
24,,,B,02'00.539,00'33.233,00'20.104,00'44.647,00'22.555,2,7,10:42'44.427,01:12'44.427,243.99
25,,,B,02'00.450,00'33.375,00'20.077,00'44.612,00'22.386,1,5,10:44'44.877,01:14'44.877,245.36
26,,,B,02'01.012,00'33.377,00'20.525,00'44.650,00'22.460,1,3,10:46'45.889,01:16'45.889,244.67
27,,,B,02'01.158,00'33.501,00'20.388,00'44.786,00'22.483,1,4,10:48'47.047,01:18'47.047,245.36
28,,P,B,02'08.678,00'34.048,00'20.528,00'45.356,00'28.746,3,7,10:50'55.725,01:20'55.725,243.99
29,,,B,07'36.895,06'06.340,00'21.371,00'45.869,00'23.315,9,15,10:58'32.620,01:28'32.620,242.65
30,,,B,02'01.331,00'33.530,00'20.377,00'44.299,00'23.125,1,6,11:00'33.951,01:30'33.951,243.32
31,,,B,01'58.552,00'32.908,00'19.813,00'43.952,00'21.879,1,5,11:02'32.503,01:32'32.503,245.36
32,,,B,01'58.562,00'32.861,00'19.747,00'44.066,00'21.888,1,3,11:04'31.065,01:34'31.065,245.36
33,,,B,01'58.878,00'32.896,00'19.915,00'44.117,00'21.950,1,2,11:06'29.943,01:36'29.943,245.36
34,,P,B,02'12.832,00'33.533,00'20.345,00'44.954,00'34.000,5,5,11:08'42.775,01:38'42.775,243.99
