【Class:500  Car No:23  NISMO NISSAN  タイム履歴データ】
LapNo,Best,Pit,Driver,LapTime,Sector1,Sector2,Sector3,Sector4,RankClass,Rank,TimeFired,Time,Speed
1,,P,B,02'45.978,01'01.660,00'24.326,00'48.845,00'31.147,2,8,09:32'45.978,00:02'45.978,266.18
2,,,B,06'21.302,04'45.263,00'25.439,00'47.740,00'22.860,12,38,09:39'07.280,00:09'07.280,269.44
3,,,B,01'56.492,00'33.330,00'19.931,00'41.364,00'21.867,12,12,09:41'03.772,00:11'03.772,272.79
4,,,B,02'02.429,00'32.143,00'19.326,00'49.378,00'21.582,15,37,09:43'06.201,00:13'06.201,228.15
5,,,B,01'45.477,00'28.910,00'17.477,00'39.257,00'19.833,1,1,09:44'51.678,00:14'51.678,273.64
6,,,B,01'45.925,00'28.960,00'17.565,00'39.533,00'19.867,1,1,09:46'37.603,00:16'37.603,272.79
7,,P,B,01'57.389,00'29.830,00'18.904,00'41.931,00'26.724,5,5,09:48'34.992,00:18'34.992,273.64
8,,,B,09'41.493,08'19.387,00'19.939,00'41.695,00'20.472,11,37,09:58'16.485,00:28'16.485,271.11
9,,,B,01'50.982,00'32.061,00'18.292,00'40.509,00'20.120,3,3,10:00'07.467,00:30'07.467,271.11
10,,,B,01'48.724,00'30.012,00'18.347,00'40.271,00'20.094,2,2,10:01'56.191,00:31'56.191,272.79
11,,P,B,01'56.511,00'31.007,00'19.278,00'40.331,00'25.895,3,3,10:03'52.702,00:33'52.702,271.95
12,,,B,07'31.998,05'52.257,00'25.509,00'49.893,00'24.339,8,24,10:11'24.700,00:41'24.700,266.18
13,,,B,02'24.508,00'37.106,00'22.776,00'51.176,00'33.450,8,23,10:13'49.208,00:43'49.208,178.9
14,,,B,02'08.094,00'35.566,00'21.395,00'48.971,00'22.162,8,20,10:15'57.302,00:45'57.302,234.86
15,,,B,01'46.513,00'29.321,00'17.721,00'39.438,00'20.033,1,1,10:17'43.815,00:47'43.815,271.95
16,,,B,01'47.547,00'29.569,00'18.249,00'39.616,00'20.113,1,1,10:19'31.362,00:49'31.362,271.95
17,,P,B,02'00.175,00'29.746,00'18.192,00'40.466,00'31.771,6,7,10:21'31.537,00:51'31.537,273.64
18,,,A,06'39.869,05'20.262,00'18.799,00'40.464,00'20.344,7,15,10:28'11.406,00:58'11.406,270.27
19,,,A,01'48.186,00'29.938,00'18.174,00'39.876,00'20.198,1,1,10:29'59.592,00:59'59.592,271.11
20,,,A,01'48.876,00'30.031,00'18.063,00'40.697,00'20.085,1,1,10:31'48.468,01:01'48.468,271.11
21,,,A,01'48.298,00'29.833,00'18.167,00'40.252,00'20.046,1,1,10:33'36.766,01:03'36.766,272.79
22,,,A,01'49.897,00'30.348,00'19.074,00'40.414,00'20.061,1,1,10:35'26.663,01:05'26.663,271.95
23,,P,A,01'54.130,00'30.036,00'18.582,00'40.765,00'24.747,2,2,10:37'20.793,01:07'20.793,271.95
24,,,A,06'03.625,04'41.900,00'19.415,00'41.255,00'21.055,7,16,10:43'24.418,01:13'24.418,271.11
25,,,A,01'48.986,00'30.229,00'18.283,00'40.302,00'20.172,1,1,10:45'13.404,01:15'13.404,271.11
26,,,A,01'48.709,00'29.992,00'18.071,00'40.153,00'20.493,1,1,10:47'02.113,01:17'02.113,273.64
27,,,A,01'50.639,00'30.779,00'18.748,00'40.518,00'20.594,2,2,10:48'52.752,01:18'52.752,272.79
28,,,A,01'50.403,00'29.909,00'18.979,00'40.321,00'21.194,1,1,10:50'43.155,01:20'43.155,271.95
29,,,A,01'50.022,00'30.043,00'19.614,00'40.245,00'20.120,1,1,10:52'33.177,01:22'33.177,271.95
30,,,A,01'50.172,00'31.106,00'18.483,00'40.347,00'20.236,1,1,10:54'23.349,01:24'23.349,271.11
31,,,A,01'49.230,00'30.137,00'18.472,00'40.314,00'20.307,1,1,10:56'12.579,01:26'12.579,272.79
32,,P,A,02'01.895,00'30.517,00'19.258,00'43.056,00'29.064,3,3,10:58'14.474,01:28'14.474,246.74
33,,,A,11'10.222,09'44.364,00'20.656,00'42.945,00'22.257,4,15,11:09'24.696,01:39'24.696,266.99
34,,,A,01'56.755,00'32.131,00'21.792,00'41.255,00'21.577,1,1,11:11'21.451,01:41'21.451,223.51
35,BL,,A,01'45.097,00'28.880,00'17.368,00'39.162,00'19.687,1,1,11:13'06.548,01:43'06.548,271.11
36,,P,A,02'28.413,00'29.654,00'20.044,00'57.745,00'40.970,4,6,11:15'34.961,01:45'34.961,166.36
