【Class:300  Car No:244  Max Racing NISSAN  タイム履歴データ】
LapNo,Best,Pit,Driver,LapTime,Sector1,Sector2,Sector3,Sector4,RankClass,Rank,TimeFired,Time,Speed
1,,,A,02'31.971,00'51.377,00'25.918,00'49.613,00'25.063,2,2,09:32'31.971,00:02'31.971,238.04
2,,,A,02'11.883,00'35.911,00'21.772,00'48.472,00'25.728,18,25,09:34'43.854,00:04'43.854,237.4
3,,,A,01'58.680,00'32.956,00'19.933,00'43.959,00'21.832,2,16,09:36'42.534,00:06'42.534,243.99
4,,,A,01'58.911,00'32.750,00'20.130,00'44.006,00'22.025,7,21,09:38'41.445,00:08'41.445,243.99
5,,P,A,02'09.946,00'35.822,00'21.104,00'44.975,00'28.045,22,37,09:40'51.391,00:10'51.391,243.32
6,,,A,06'43.116,04'58.996,00'29.215,00'50.963,00'23.942,20,31,09:47'34.507,00:17'34.507,205.71
7,,,A,02'02.506,00'34.222,00'21.584,00'44.227,00'22.473,7,16,09:49'37.013,00:19'37.013,243.99
8,,,A,01'58.357,00'32.711,00'19.847,00'43.888,00'21.911,2,12,09:51'35.370,00:21'35.370,243.32
9,,,A,01'58.769,00'32.681,00'20.004,00'44.101,00'21.983,2,11,09:53'34.139,00:23'34.139,243.32
10,,P,A,02'10.994,00'36.656,00'21.301,00'45.820,00'27.217,22,32,09:55'45.133,00:25'45.133,243.32
11,,,B,06'55.145,05'22.683,00'22.853,00'45.832,00'23.777,23,36,10:02'40.278,00:32'40.278,193.48
12,,,B,02'00.787,00'33.535,00'20.368,00'44.586,00'22.298,5,14,10:04'41.065,00:34'41.065,242.65
13,,,B,01'59.939,00'33.463,00'20.435,00'44.238,00'21.803,5,19,10:06'41.004,00:36'41.004,241.98
14,,P,B,02'07.551,00'33.633,00'20.536,00'45.005,00'28.377,16,27,10:08'48.555,00:38'48.555,240.65
15,,,B,05'39.181,04'10.639,00'21.132,00'44.929,00'22.481,21,32,10:14'27.736,00:44'27.736,239.99
16,,,B,01'59.641,00'33.218,00'20.126,00'44.369,00'21.928,1,9,10:16'27.377,00:46'27.377,242.65
17,,P,B,02'08.717,00'34.413,00'21.089,00'45.006,00'28.209,11,20,10:18'36.094,00:48'36.094,241.31
18,,,B,07'58.609,06'29.470,00'21.184,00'45.134,00'22.821,13,19,10:26'34.703,00:56'34.703,239.99
19,,,B,02'02.288,00'34.198,00'20.583,00'45.078,00'22.429,4,8,10:28'36.991,00:58'36.991,240.65
20,,,B,02'02.789,00'34.073,00'20.611,00'45.598,00'22.507,3,5,10:30'39.780,01:00'39.780,241.31
21,,,B,02'02.709,00'33.785,00'21.111,00'45.115,00'22.698,3,5,10:32'42.489,01:02'42.489,242.65
22,,P,B,02'09.167,00'34.473,00'20.872,00'45.030,00'28.792,5,8,10:34'51.656,01:04'51.656,241.98
23,,,B,05'45.254,04'16.918,00'20.847,00'44.926,00'22.563,8,12,10:40'36.910,01:10'36.910,241.31
24,,P,B,02'07.646,00'33.796,00'20.616,00'44.923,00'28.311,6,11,10:42'44.556,01:12'44.556,241.98
25,,,A,03'22.410,01'53.971,00'20.667,00'44.826,00'22.946,8,13,10:46'06.966,01:16'06.966,241.98
26,,,A,02'01.456,00'33.634,00'20.424,00'44.853,00'22.545,2,5,10:48'08.422,01:18'08.422,242.65
27,,,A,02'01.021,00'33.518,00'20.382,00'44.807,00'22.314,1,5,10:50'09.443,01:20'09.443,241.98
28,,,A,02'01.829,00'33.965,00'20.430,00'44.930,00'22.504,3,7,10:52'11.272,01:22'11.272,241.98
29,,P,A,02'06.308,00'33.524,00'20.478,00'45.164,00'27.142,6,9,10:54'17.580,01:24'17.580,222.37
30,,,B,06'41.623,05'09.087,00'23.008,00'46.376,00'23.152,10,15,11:00'59.203,01:30'59.203,238.69
31,,,B,01'58.415,00'32.974,00'19.800,00'43.959,00'21.682,1,5,11:02'57.618,01:32'57.618,242.65
32,BL,,B,01'58.326,00'32.757,00'19.861,00'43.992,00'21.716,1,3,11:04'55.944,01:34'55.944,243.99
33,,P,B,02'08.667,00'33.929,00'20.608,00'45.490,00'28.640,9,11,11:07'04.611,01:37'04.611,241.31
