【Class:300  Car No:25  HOPPY team TSUCHIYA TOYOTA  タイム履歴データ】
LapNo,Best,Pit,Driver,LapTime,Sector1,Sector2,Sector3,Sector4,RankClass,Rank,TimeFired,Time,Speed
1,,,A,02'43.015,00'53.959,00'28.353,00'54.636,00'26.067,4,4,09:32'43.015,00:02'43.015,231.15
2,,,A,02'06.829,00'37.559,00'21.198,00'45.199,00'22.873,9,14,09:34'49.844,00:04'49.844,237.4
3,,,A,02'00.604,00'33.572,00'20.187,00'44.663,00'22.182,10,25,09:36'50.448,00:06'50.448,238.04
4,BL,,A,02'00.467,00'33.532,00'20.255,00'44.513,00'22.167,17,31,09:38'50.915,00:08'50.915,239.34
5,,P,A,02'11.648,00'35.893,00'20.790,00'46.472,00'28.493,23,38,09:41'02.563,00:11'02.563,239.34
6,,,A,07'27.006,05'57.598,00'22.044,00'44.932,00'22.432,24,36,09:48'29.569,00:18'29.569,238.69
7,,P,A,02'08.950,00'33.364,00'20.689,00'44.702,00'30.195,14,24,09:50'38.519,00:20'38.519,239.99
8,,,A,09'12.280,07'44.355,00'20.672,00'44.759,00'22.494,27,39,09:59'50.799,00:29'50.799,238.69
9,,P,A,02'09.374,00'33.726,00'20.676,00'44.874,00'30.098,18,31,10:02'00.173,00:32'00.173,240.65
10,,P,A,06'02.114,04'27.921,00'20.623,00'45.051,00'28.519,24,34,10:08'02.287,00:38'02.287,238.69
11,,,A,10'02.513,08'35.072,00'20.320,00'44.713,00'22.408,27,41,10:18'04.800,00:48'04.800,236.76
12,,P,A,02'05.680,00'33.219,00'20.316,00'44.812,00'27.333,13,23,10:20'10.480,00:50'10.480,238.69
13,,,A,06'20.311,04'33.920,00'27.194,00'52.603,00'26.594,24,38,10:26'30.791,00:56'30.791,165.42
14,,,A,02'15.570,00'38.985,00'23.145,00'47.723,00'25.717,21,33,10:28'46.361,00:58'46.361,207.65
15,,P,A,02'07.740,00'33.996,00'20.644,00'45.184,00'27.916,17,28,10:30'54.101,01:00'54.101,239.99
16,,,A,06'47.842,05'17.853,00'21.099,00'45.842,00'23.048,24,37,10:37'41.943,01:07'41.943,238.69
17,,P,A,02'06.894,00'34.058,00'20.711,00'45.159,00'26.966,15,26,10:39'48.837,01:09'48.837,239.34
18,,,B,05'14.478,03'40.145,00'22.564,00'47.041,00'24.728,21,31,10:45'03.315,01:15'03.315,238.04
19,,,B,02'05.341,00'34.778,00'21.182,00'45.713,00'23.668,17,28,10:47'08.656,01:17'08.656,241.31
20,,,B,02'02.630,00'33.923,00'20.660,00'45.116,00'22.931,5,16,10:49'11.286,01:19'11.286,240.65
21,,P,B,02'09.029,00'33.963,00'20.728,00'45.155,00'29.183,16,28,10:51'20.315,01:21'20.315,241.31
22,,,B,07'40.125,06'11.174,00'20.963,00'45.209,00'22.779,26,39,10:59'00.440,01:29'00.440,239.99
23,,P,B,02'08.768,00'33.655,00'20.434,00'45.273,00'29.406,21,30,11:01'09.208,01:31'09.208,239.99
24,,,B,03'51.417,02'19.199,00'23.146,00'45.700,00'23.372,22,34,11:05'00.625,01:35'00.625,238.69
25,,P,B,02'09.114,00'33.749,00'20.631,00'45.798,00'28.936,20,31,11:07'09.739,01:37'09.739,238.69
