【Class:500  Car No:3  NDDP RACING NISSAN  タイム履歴データ】
LapNo,Best,Pit,Driver,LapTime,Sector1,Sector2,Sector3,Sector4,RankClass,Rank,TimeFired,Time,Speed
1,,P,A,02'49.327,01'05.927,00'24.427,00'47.596,00'31.377,3,11,09:32'49.327,00:02'49.327,225.23
2,,,A,08'48.545,07'17.552,00'22.177,00'45.137,00'23.679,15,42,09:41'37.872,00:11'37.872,266.18
3,,,A,01'56.626,00'32.296,00'20.865,00'41.194,00'22.271,14,14,09:43'34.498,00:13'34.498,267.8
4,BL,,A,01'46.150,00'29.148,00'17.804,00'39.379,00'19.819,2,2,09:45'20.648,00:15'20.648,271.95
5,,P,A,02'00.873,00'31.905,00'19.146,00'41.855,00'27.967,15,24,09:47'21.521,00:17'21.521,267.8
6,,,A,16'14.537,14'53.304,00'18.876,00'41.200,00'21.157,15,42,10:03'36.058,00:33'36.058,271.95
7,,,A,01'52.654,00'29.486,00'18.682,00'39.736,00'24.750,4,4,10:05'28.712,00:35'28.712,270.27
8,,,A,01'46.405,00'29.301,00'17.779,00'39.433,00'19.892,1,1,10:07'15.117,00:37'15.117,273.64
9,,P,A,02'01.718,00'34.408,00'19.832,00'40.238,00'27.240,12,20,10:09'16.835,00:39'16.835,271.95
10,,,A,07'34.292,05'57.830,00'23.652,00'49.192,00'23.618,13,38,10:16'51.127,00:46'51.127,261.42
11,,,A,01'53.252,00'31.765,00'18.635,00'41.368,00'21.484,3,3,10:18'44.379,00:48'44.379,266.99
12,,,A,01'48.392,00'29.409,00'18.389,00'40.027,00'20.567,4,4,10:20'32.771,00:50'32.771,269.44
13,,,A,01'53.461,00'31.876,00'19.002,00'41.374,00'21.209,6,6,10:22'26.232,00:52'26.232,269.44
14,,,A,01'47.791,00'29.510,00'17.914,00'40.121,00'20.246,3,3,10:24'14.023,00:54'14.023,270.27
15,,P,A,02'00.285,00'32.144,00'19.837,00'42.132,00'26.172,10,12,10:26'14.308,00:56'14.308,270.27
16,,,B,43'32.307,41'54.768,00'25.328,00'47.823,00'24.388,15,42,11:09'46.615,01:39'46.615,264.57
17,,,B,01'59.508,00'33.694,00'20.603,00'43.022,00'22.189,11,11,11:11'46.123,01:41'46.123,263.78
18,,P,B,02'10.716,00'31.681,00'19.542,00'41.322,00'38.171,11,28,11:13'56.839,01:43'56.839,268.62
