【Class:300  Car No:31  apr TOYOTA  タイム履歴データ】
LapNo,Best,Pit,Driver,LapTime,Sector1,Sector2,Sector3,Sector4,RankClass,Rank,TimeFired,Time,Speed
1,,,B,03'30.680,01'42.613,00'27.714,00'52.073,00'28.280,17,23,09:33'30.680,00:03'30.680,232.99
2,,,B,02'12.040,00'37.608,00'22.837,00'46.412,00'25.183,19,26,09:35'42.720,00:05'42.720,244.67
3,,,B,02'10.737,00'35.294,00'20.951,00'50.580,00'23.912,25,40,09:37'53.457,00:07'53.457,191.79
4,BL,,B,02'00.932,00'33.590,00'20.458,00'44.503,00'22.381,18,32,09:39'54.389,00:09'54.389,248.83
5,,,B,02'00.991,00'33.401,00'20.611,00'44.611,00'22.368,11,26,09:41'55.380,00:11'55.380,247.43
6,,P,B,02'12.808,00'34.932,00'21.164,00'48.270,00'28.442,16,27,09:44'08.188,00:14'08.188,250.97
7,,,B,10'01.565,08'28.928,00'23.502,00'45.862,00'23.273,27,41,09:54'09.753,00:24'09.753,243.99
8,,,B,02'01.320,00'33.685,00'20.533,00'44.730,00'22.372,8,19,09:56'11.073,00:26'11.073,250.97
9,,P,B,02'13.774,00'35.183,00'24.903,00'45.606,00'28.082,20,33,09:58'24.847,00:28'24.847,250.25
10,,,B,13'15.074,11'36.734,00'24.402,00'47.393,00'26.545,27,42,10:11'39.921,00:41'39.921,241.31
11,,,B,02'04.297,00'34.227,00'20.886,00'45.796,00'23.388,9,20,10:13'44.218,00:43'44.218,243.99
12,,P,B,02'09.353,00'35.114,00'21.376,00'45.227,00'27.636,16,26,10:15'53.571,00:45'53.571,250.25
13,,,A,05'23.525,03'51.753,00'21.302,00'46.537,00'23.933,22,36,10:21'17.096,00:51'17.096,239.99
14,,,A,02'03.720,00'34.245,00'20.907,00'45.691,00'22.877,12,23,10:23'20.816,00:53'20.816,248.13
15,,,A,02'04.553,00'33.921,00'21.702,00'46.027,00'22.903,11,20,10:25'25.369,00:55'25.369,246.05
16,,P,A,02'12.363,00'35.308,00'21.444,00'45.771,00'29.840,17,25,10:27'37.732,00:57'37.732,244.67
17,,,A,07'25.358,05'55.373,00'21.294,00'45.700,00'22.991,24,37,10:35'03.090,01:05'03.090,242.65
18,,,A,02'03.006,00'34.088,00'20.952,00'45.343,00'22.623,12,20,10:37'06.096,01:07'06.096,245.36
19,,,A,02'03.196,00'33.928,00'20.986,00'45.417,00'22.865,12,22,10:39'09.292,01:09'09.292,246.74
20,,P,A,02'12.939,00'35.064,00'21.707,00'45.884,00'30.284,16,25,10:41'22.231,01:11'22.231,245.36
21,,,A,06'10.877,04'30.155,00'25.263,00'49.858,00'25.601,21,33,10:47'33.108,01:17'33.108,166.67
22,,,A,02'09.972,00'35.199,00'22.331,00'49.193,00'23.249,18,31,10:49'43.080,01:19'43.080,244.67
23,,,A,02'07.808,00'35.678,00'21.780,00'47.210,00'23.140,19,28,10:51'50.888,01:21'50.888,244.67
24,,,A,02'02.805,00'34.084,00'20.934,00'45.097,00'22.690,11,21,10:53'53.693,01:23'53.693,245.36
25,,,A,02'02.699,00'33.949,00'20.831,00'45.157,00'22.762,11,21,10:55'56.392,01:25'56.392,246.05
26,,P,A,02'12.985,00'35.809,00'22.425,00'45.882,00'28.869,17,26,10:58'09.377,01:28'09.377,245.36
