【Class:300  Car No:34  BUSOU Drago CORSE NISSAN  タイム履歴データ】
LapNo,Best,Pit,Driver,LapTime,Sector1,Sector2,Sector3,Sector4,RankClass,Rank,TimeFired,Time,Speed
1,,,B,02'47.764,01'07.904,00'26.429,00'48.238,00'25.193,7,9,09:32'47.764,00:02'47.764,244.67
2,,,B,02'08.003,00'36.802,00'22.007,00'45.777,00'23.417,12,18,09:34'55.767,00:04'55.767,248.83
3,,,B,02'04.012,00'34.837,00'21.119,00'45.064,00'22.992,18,33,09:36'59.779,00:06'59.779,250.25
4,,,B,02'00.343,00'33.495,00'20.347,00'43.982,00'22.519,16,30,09:39'00.122,00:09'00.122,248.83
5,BL,,B,01'59.463,00'33.098,00'20.211,00'43.932,00'22.222,5,19,09:40'59.585,00:10'59.585,248.83
6,,P,B,02'16.927,00'37.250,00'22.312,00'47.519,00'29.846,17,28,09:43'16.512,00:13'16.512,232.99
7,,,B,08'43.897,07'10.111,00'23.820,00'47.032,00'22.934,26,39,09:52'00.409,00:22'00.409,243.99
8,,,B,02'07.160,00'34.623,00'22.996,00'45.808,00'23.733,19,30,09:54'07.569,00:24'07.569,246.05
9,,,B,02'00.227,00'33.487,00'20.284,00'44.061,00'22.395,6,17,09:56'07.796,00:26'07.796,246.74
10,,P,B,02'07.672,00'34.658,00'21.191,00'44.490,00'27.333,16,26,09:58'15.468,00:28'15.468,246.74
11,,,B,05'23.115,03'45.506,00'23.339,00'48.049,00'26.221,18,30,10:03'38.583,00:33'38.583,243.99
12,,,B,02'06.766,00'35.862,00'21.643,00'45.475,00'23.786,14,24,10:05'45.349,00:35'45.349,245.36
13,,,B,02'03.902,00'35.220,00'20.864,00'44.709,00'23.109,15,28,10:07'49.251,00:37'49.251,245.36
14,,,B,01'59.500,00'33.354,00'20.283,00'43.673,00'22.190,3,13,10:09'48.751,00:39'48.751,247.43
15,,,B,02'07.257,00'33.575,00'21.944,00'48.980,00'22.758,16,26,10:11'56.008,00:41'56.008,242.65
16,,,B,02'00.072,00'33.468,00'20.262,00'44.120,00'22.222,5,12,10:13'56.080,00:43'56.080,246.74
17,,P,B,02'14.698,00'37.279,00'24.996,00'45.052,00'27.371,11,19,10:16'10.778,00:46'10.778,248.13
18,,,A,07'32.107,06'01.338,00'22.026,00'45.542,00'23.201,9,15,10:23'42.885,00:53'42.885,243.99
19,,,A,02'04.237,00'35.793,00'21.062,00'44.712,00'22.670,5,8,10:25'47.122,00:55'47.122,246.74
20,,,A,02'01.973,00'33.985,00'20.675,00'44.483,00'22.830,1,3,10:27'49.095,00:57'49.095,246.74
21,,,A,02'01.293,00'33.721,00'20.641,00'44.532,00'22.399,1,3,10:29'50.388,00:59'50.388,248.13
22,,,A,02'01.102,00'33.785,00'20.567,00'44.425,00'22.325,1,4,10:31'51.490,01:01'51.490,248.13
23,,,A,02'01.809,00'33.875,00'20.658,00'44.575,00'22.701,1,2,10:33'53.299,01:03'53.299,247.43
24,,P,A,02'08.769,00'35.269,00'21.177,00'44.903,00'27.420,2,3,10:36'02.068,01:06'02.068,248.83
25,,,A,06'03.716,04'34.706,00'21.375,00'44.991,00'22.644,6,10,10:42'05.784,01:12'05.784,246.74
26,,,A,02'01.513,00'34.086,00'20.664,00'44.474,00'22.289,1,3,10:44'07.297,01:14'07.297,248.13
27,,,A,02'01.204,00'33.767,00'20.521,00'44.211,00'22.705,1,3,10:46'08.501,01:16'08.501,248.13
28,,,A,02'02.327,00'34.094,00'20.663,00'45.081,00'22.489,1,3,10:48'10.828,01:18'10.828,249.54
29,,,A,02'01.826,00'34.056,00'20.801,00'44.615,00'22.354,1,2,10:50'12.654,01:20'12.654,0.71
30,,P,A,02'08.923,00'34.513,00'21.201,00'45.242,00'27.967,2,4,10:52'21.577,01:22'21.577,248.83
31,,,A,05'49.109,04'08.809,00'25.564,00'48.814,00'25.922,1,5,10:58'10.686,01:28'10.686,231.15
32,,,A,02'04.639,00'35.093,00'21.818,00'45.184,00'22.544,1,4,11:00'15.325,01:30'15.325,247.43
33,,,A,01'59.744,00'33.287,00'20.377,00'43.892,00'22.188,1,2,11:02'15.069,01:32'15.069,248.83
34,,,A,01'59.619,00'33.417,00'20.411,00'43.862,00'21.929,1,1,11:04'14.688,01:34'14.688,250.97
35,,P,A,02'11.916,00'34.614,00'21.154,00'45.366,00'30.782,3,3,11:06'26.604,01:36'26.604,153.56
