【Class:500  Car No:36  TGR TEAM au TOM'S TOYOTA  タイム履歴データ】
LapNo,Best,Pit,Driver,LapTime,Sector1,Sector2,Sector3,Sector4,RankClass,Rank,TimeFired,Time,Speed
1,,,A,09'38.220,07'47.599,00'27.849,00'56.010,00'26.762,15,41,09:39'38.220,00:09'38.220,251.69
2,,,A,02'04.314,00'36.834,00'21.356,00'43.797,00'22.327,5,7,09:41'42.534,00:11'42.534,264.57
3,,,A,01'55.043,00'31.510,00'19.039,00'41.714,00'22.780,8,8,09:43'37.577,00:13'37.577,264.57
4,BL,,A,01'46.151,00'29.218,00'17.420,00'39.745,00'19.768,3,3,09:45'23.728,00:15'23.728,269.44
5,,,A,01'55.216,00'32.261,00'18.705,00'43.106,00'21.144,13,13,09:47'18.944,00:17'18.944,266.99
6,,,A,01'58.585,00'30.244,00'18.510,00'43.745,00'26.086,9,10,09:49'17.529,00:19'17.529,263.78
7,,P,A,01'55.138,00'29.425,00'17.972,00'41.107,00'26.634,4,4,09:51'12.667,00:21'12.667,269.44
8,,,A,10'01.285,08'35.276,00'21.015,00'43.605,00'21.389,12,38,10:01'13.952,00:31'13.952,266.18
9,,,A,01'47.957,00'29.938,00'17.939,00'40.099,00'19.981,3,3,10:03'01.909,00:33'01.909,267.8
10,,P,A,01'56.545,00'29.876,00'18.222,00'41.096,00'27.351,5,5,10:04'58.454,00:34'58.454,267.8
11,,,A,06'17.868,04'33.026,00'25.916,00'51.990,00'26.936,12,31,10:11'16.322,00:41'16.322,238.04
12,,,A,02'04.404,00'38.991,00'20.491,00'42.499,00'22.423,7,16,10:13'20.726,00:43'20.726,266.18
13,,,A,01'55.696,00'33.100,00'19.484,00'42.257,00'20.855,9,9,10:15'16.422,00:45'16.422,263.78
14,,,A,01'47.414,00'29.452,00'17.588,00'40.355,00'20.019,2,2,10:17'03.836,00:47'03.836,267.8
15,,,A,01'51.757,00'29.755,00'18.436,00'41.019,00'22.547,3,3,10:18'55.593,00:48'55.593,266.99
16,,,A,01'52.882,00'32.576,00'18.474,00'40.228,00'21.604,3,3,10:20'48.475,00:50'48.475,267.8
17,,P,A,01'52.730,00'29.532,00'18.055,00'40.222,00'24.921,5,5,10:22'41.205,00:52'41.205,268.62
18,,,B,09'17.773,07'49.281,00'22.267,00'43.770,00'22.455,9,28,10:31'58.978,01:01'58.978,266.18
19,,,B,01'52.416,00'31.330,00'18.927,00'41.287,00'20.872,5,5,10:33'51.394,01:03'51.394,266.18
20,,,B,01'51.765,00'30.897,00'18.830,00'41.005,00'21.033,4,4,10:35'43.159,01:05'43.159,268.62
21,,,B,01'52.288,00'30.786,00'19.188,00'41.246,00'21.068,6,6,10:37'35.447,01:07'35.447,266.99
22,,,B,01'52.083,00'30.734,00'18.585,00'41.720,00'21.044,5,5,10:39'27.530,01:09'27.530,267.8
23,,,B,01'51.768,00'30.640,00'18.597,00'40.906,00'21.625,2,2,10:41'19.298,01:11'19.298,270.27
24,,P,B,01'56.633,00'30.913,00'18.673,00'40.956,00'26.091,5,5,10:43'15.931,01:13'15.931,269.44
25,,,B,06'06.062,04'36.061,00'22.662,00'44.665,00'22.674,8,21,10:49'21.993,01:19'21.993,265.37
26,,,B,01'52.524,00'31.399,00'19.065,00'41.030,00'21.030,5,5,10:51'14.517,01:21'14.517,266.99
27,,,B,01'50.832,00'30.610,00'18.710,00'40.882,00'20.630,4,4,10:53'05.349,01:23'05.349,266.99
28,,,B,01'53.089,00'31.510,00'18.959,00'41.876,00'20.744,5,5,10:54'58.438,01:24'58.438,266.99
29,,P,B,01'55.568,00'30.803,00'18.769,00'41.503,00'24.493,5,5,10:56'54.006,01:26'54.006,266.99
30,,,B,13'26.042,12'00.584,00'21.000,00'42.876,00'21.582,7,25,11:10'20.048,01:40'20.048,264.57
31,,,B,01'50.002,00'30.958,00'18.332,00'40.360,00'20.352,2,2,11:12'10.050,01:42'10.050,267.8
32,,P,B,01'55.890,00'29.980,00'18.176,00'40.041,00'27.693,5,5,11:14'05.940,01:44'05.940,266.99
