【Class:300  Car No:360  TOMEI SPORTS   NISSAN  タイム履歴データ】
LapNo,Best,Pit,Driver,LapTime,Sector1,Sector2,Sector3,Sector4,RankClass,Rank,TimeFired,Time,Speed
1,,,B,03'08.530,01'20.016,00'27.428,00'53.718,00'27.368,10,13,09:33'08.530,00:03'08.530,229.94
2,,,B,02'16.781,00'40.017,00'23.243,00'48.289,00'25.232,21,29,09:35'25.311,00:05'25.311,232.99
3,,,B,02'09.456,00'36.726,00'22.703,00'46.762,00'23.265,23,38,09:37'34.767,00:07'34.767,248.83
4,,,B,02'00.053,00'33.306,00'20.156,00'44.388,00'22.203,15,29,09:39'34.820,00:09'34.820,250.25
5,,,B,02'00.945,00'33.780,00'20.434,00'44.242,00'22.489,10,25,09:41'35.765,00:11'35.765,249.54
6,,,B,02'02.775,00'33.735,00'20.835,00'44.713,00'23.492,7,17,09:43'38.540,00:13'38.540,249.54
7,,P,B,02'10.744,00'35.156,00'21.616,00'46.148,00'27.824,16,26,09:45'49.284,00:15'49.284,248.83
8,,,B,06'12.587,04'44.622,00'20.806,00'44.442,00'22.717,23,34,09:52'01.871,00:22'01.871,249.54
9,,,B,02'01.847,00'33.745,00'20.936,00'44.785,00'22.381,10,22,09:54'03.718,00:24'03.718,250.97
10,,,B,02'01.923,00'34.083,00'20.705,00'44.527,00'22.608,7,15,09:56'05.641,00:26'05.641,248.13
11,,,B,02'03.465,00'34.676,00'21.311,00'44.914,00'22.564,6,17,09:58'09.106,00:28'09.106,248.13
12,,P,B,02'09.443,00'35.059,00'21.450,00'45.146,00'27.788,17,27,10:00'18.549,00:30'18.549,248.83
13,,,B,07'00.092,05'12.729,00'26.981,00'54.290,00'26.092,26,41,10:07'18.641,00:37'18.641,236.76
14,,,B,02'11.985,00'36.658,00'25.980,00'45.808,00'23.539,20,32,10:09'30.626,00:39'30.626,234.86
15,,,B,01'59.107,00'33.025,00'20.087,00'43.903,00'22.092,1,10,10:11'29.733,00:41'29.733,247.43
16,,,B,01'59.881,00'33.285,00'20.218,00'44.337,00'22.041,4,12,10:13'29.614,00:43'29.614,248.13
17,,P,B,02'07.406,00'35.051,00'21.120,00'44.710,00'26.525,10,19,10:15'37.020,00:45'37.020,248.13
18,,,A,07'18.828,05'45.777,00'22.910,00'46.728,00'23.413,9,15,10:22'55.848,00:52'55.848,243.99
19,,,A,02'03.219,00'34.420,00'20.743,00'44.540,00'23.516,4,8,10:24'59.067,00:54'59.067,246.74
20,,,A,02'02.685,00'34.515,00'20.896,00'44.690,00'22.584,1,3,10:27'01.752,00:57'01.752,247.43
21,,P,A,02'07.266,00'34.242,00'20.826,00'44.670,00'27.528,1,3,10:29'09.018,00:59'09.018,247.43
22,,,A,33'09.920,31'30.710,00'26.314,00'48.771,00'24.125,27,41,11:02'18.938,01:32'18.938,236.12
23,,,A,02'01.048,00'34.130,00'20.651,00'43.835,00'22.432,7,16,11:04'19.986,01:34'19.986,248.83
24,BL,,A,01'59.050,00'33.152,00'20.133,00'43.775,00'21.990,1,13,11:06'19.036,01:36'19.036,248.83
25,,P,A,02'11.793,00'34.008,00'20.509,00'46.989,00'30.287,22,33,11:08'30.829,01:38'30.829,246.05
