【Class:500  Car No:37  TGR TEAM KeePer TOM'S TOYOTA  タイム履歴データ】
LapNo,Best,Pit,Driver,LapTime,Sector1,Sector2,Sector3,Sector4,RankClass,Rank,TimeFired,Time,Speed
1,,,A,05'52.385,04'07.095,00'27.798,00'50.711,00'26.781,12,38,09:35'52.385,00:05'52.385,242.65
2,,,A,02'08.387,00'37.129,00'22.369,00'45.795,00'23.094,7,21,09:38'00.772,00:08'00.772,263.78
3,,,A,01'55.686,00'32.941,00'19.539,00'41.987,00'21.219,9,9,09:39'56.458,00:09'56.458,266.99
4,,,A,01'52.910,00'31.614,00'19.473,00'41.042,00'20.781,10,10,09:41'49.368,00:11'49.368,269.44
5,,,A,01'51.117,00'30.926,00'19.164,00'40.192,00'20.835,10,10,09:43'40.485,00:13'40.485,269.44
6,,,A,01'46.787,00'29.236,00'17.740,00'39.805,00'20.006,3,3,09:45'27.272,00:15'27.272,270.27
7,,,A,01'49.382,00'29.761,00'18.508,00'40.226,00'20.887,2,2,09:47'16.654,00:17'16.654,269.44
8,,P,A,01'54.662,00'32.148,00'17.866,00'39.885,00'24.763,8,8,09:49'11.316,00:19'11.316,271.11
9,,,A,06'28.058,04'38.666,00'28.070,00'55.222,00'26.100,10,30,09:55'39.374,00:25'39.374,254.6
10,,,A,02'06.170,00'36.691,00'22.516,00'44.137,00'22.826,3,15,09:57'45.544,00:27'45.544,261.42
11,,,A,01'56.634,00'34.136,00'19.384,00'42.103,00'21.011,1,1,09:59'42.178,00:29'42.178,266.18
12,,,A,01'46.780,00'29.531,00'17.779,00'39.651,00'19.819,1,1,10:01'28.958,00:31'28.958,269.44
13,BL,,A,01'46.233,00'29.285,00'17.529,00'39.574,00'19.845,1,1,10:03'15.191,00:33'15.191,269.44
14,,,A,01'48.857,00'29.144,00'18.958,00'40.396,00'20.359,1,1,10:05'04.048,00:35'04.048,269.44
15,,P,A,01'55.867,00'29.550,00'19.982,00'41.419,00'24.916,1,1,10:06'59.915,00:36'59.915,268.62
16,,,B,06'04.089,04'29.764,00'24.694,00'47.372,00'22.259,1,5,10:13'04.004,00:43'04.004,263.78
17,,,B,01'53.915,00'31.945,00'19.188,00'41.721,00'21.061,1,1,10:14'57.919,00:44'57.919,267.8
18,,,B,01'48.660,00'30.313,00'18.143,00'40.174,00'20.030,1,1,10:16'46.579,00:46'46.579,267.8
19,,,B,01'48.416,00'29.766,00'18.846,00'39.841,00'19.963,1,1,10:18'34.995,00:48'34.995,269.44
20,,P,B,01'57.199,00'31.335,00'18.433,00'40.194,00'27.237,1,1,10:20'32.194,00:50'32.194,268.62
21,,,B,08'19.011,06'52.105,00'20.854,00'44.521,00'21.531,3,3,10:28'51.205,00:58'51.205,264.57
22,,,B,01'51.431,00'31.264,00'18.842,00'40.691,00'20.634,1,1,10:30'42.636,01:00'42.636,267.8
23,,,B,01'52.623,00'31.740,00'19.496,00'40.833,00'20.554,1,1,10:32'35.259,01:02'35.259,271.11
24,,,B,01'49.376,00'30.492,00'18.344,00'40.330,00'20.210,1,1,10:34'24.635,01:04'24.635,268.62
25,,,B,01'49.003,00'30.297,00'18.200,00'40.393,00'20.113,1,1,10:36'13.638,01:06'13.638,269.44
26,,,B,01'49.080,00'30.277,00'18.274,00'40.377,00'20.152,1,1,10:38'02.718,01:08'02.718,270.27
27,,,B,01'49.047,00'30.190,00'18.280,00'40.353,00'20.224,1,1,10:39'51.765,01:09'51.765,270.27
28,,P,B,01'56.876,00'30.506,00'18.322,00'40.594,00'27.454,1,1,10:41'48.641,01:11'48.641,271.11
29,,,B,07'55.989,06'31.739,00'20.880,00'42.170,00'21.200,2,3,10:49'44.630,01:19'44.630,266.18
30,,,B,01'53.391,00'32.172,00'18.828,00'41.160,00'21.231,2,2,10:51'38.021,01:21'38.021,266.18
31,,,B,01'50.216,00'30.450,00'18.546,00'40.549,00'20.671,1,1,10:53'28.237,01:23'28.237,267.8
32,,,B,01'49.261,00'30.262,00'18.418,00'40.421,00'20.160,1,1,10:55'17.498,01:25'17.498,268.62
33,,P,B,01'58.212,00'30.398,00'18.434,00'40.563,00'28.817,1,1,10:57'15.710,01:27'15.710,269.44
34,,,B,12'27.364,10'49.470,00'25.949,00'47.284,00'24.661,2,9,11:09'43.074,01:39'43.074,262.99
35,,,B,01'59.872,00'35.276,00'20.416,00'42.149,00'22.031,1,2,11:11'42.946,01:41'42.946,265.37
36,,P,B,02'03.994,00'32.140,00'19.603,00'41.540,00'30.711,2,2,11:13'46.940,01:43'46.940,266.99
