【Class:500  Car No:38  TGR TEAM ZENT CERUMO TOYOTA  タイム履歴データ】
LapNo,Best,Pit,Driver,LapTime,Sector1,Sector2,Sector3,Sector4,RankClass,Rank,TimeFired,Time,Speed
1,,P,B,03'35.371,01'36.722,00'30.270,00'54.189,00'34.190,7,26,09:33'35.371,00:03'35.371,241.98
2,,,B,07'59.300,06'27.488,00'23.080,00'45.281,00'23.451,14,41,09:41'34.671,00:11'34.671,263.78
3,,,B,01'56.524,00'33.452,00'19.707,00'41.771,00'21.594,13,13,09:43'31.195,00:13'31.195,267.8
4,,,B,01'58.441,00'30.526,00'18.435,00'44.440,00'25.040,13,15,09:45'29.636,00:15'29.636,142.59
5,,,B,01'50.235,00'29.377,00'20.249,00'40.287,00'20.322,9,9,09:47'19.871,00:17'19.871,266.99
6,,,B,01'47.954,00'29.885,00'18.099,00'39.715,00'20.255,5,5,09:49'07.825,00:19'07.825,269.44
7,BL,,B,01'47.078,00'29.336,00'17.996,00'39.780,00'19.966,1,1,09:50'54.903,00:20'54.903,267.8
8,,P,B,01'59.854,00'31.247,00'18.833,00'42.842,00'26.932,9,13,09:52'54.757,00:22'54.757,248.83
9,,,B,11'41.140,10'19.780,00'19.713,00'40.989,00'20.658,13,36,10:04'35.897,00:34'35.897,266.99
10,,,B,01'49.096,00'29.856,00'18.102,00'40.411,00'20.727,4,4,10:06'24.993,00:36'24.993,265.37
11,,P,B,02'00.140,00'30.368,00'19.499,00'42.871,00'27.402,8,12,10:08'25.133,00:38'25.133,250.97
12,,,B,11'10.971,09'33.486,00'24.102,00'49.490,00'23.893,12,37,10:19'36.104,00:49'36.104,258.35
13,,,B,01'59.605,00'33.261,00'21.856,00'42.459,00'22.029,12,15,10:21'35.709,00:51'35.709,266.18
14,,,B,01'55.958,00'31.225,00'18.891,00'45.153,00'20.689,7,7,10:23'31.667,00:53'31.667,265.37
15,,,B,01'47.736,00'29.825,00'18.002,00'39.893,00'20.016,2,2,10:25'19.403,00:55'19.403,268.62
16,,,B,01'48.312,00'29.560,00'17.890,00'40.055,00'20.807,2,2,10:27'07.715,00:57'07.715,270.27
17,,P,B,02'09.941,00'31.471,00'19.460,00'48.966,00'30.044,10,23,10:29'17.656,00:59'17.656,254.6
18,,,A,06'32.266,05'10.733,00'19.287,00'41.214,00'21.032,11,30,10:35'49.922,01:05'49.922,266.99
19,,,A,01'51.170,00'30.392,00'18.797,00'40.968,00'21.013,6,6,10:37'41.092,01:07'41.092,266.18
20,,,A,01'50.473,00'30.723,00'18.765,00'40.634,00'20.351,3,3,10:39'31.565,01:09'31.565,269.44
21,,,A,01'50.438,00'30.813,00'18.711,00'40.520,00'20.394,4,4,10:41'22.003,01:11'22.003,271.11
22,,P,A,01'57.941,00'31.470,00'18.886,00'40.552,00'27.033,8,8,10:43'19.944,01:13'19.944,270.27
23,,,A,08'46.263,07'19.060,00'21.497,00'43.181,00'22.525,13,37,10:52'06.207,01:22'06.207,266.18
24,,,A,01'52.637,00'31.324,00'18.963,00'41.432,00'20.918,7,7,10:53'58.844,01:23'58.844,264.57
25,,,A,01'51.447,00'30.271,00'19.348,00'40.682,00'21.146,7,7,10:55'50.291,01:25'50.291,268.62
26,,P,A,01'56.467,00'30.086,00'18.447,00'41.474,00'26.460,9,9,10:57'46.758,01:27'46.758,267.8
27,,,A,11'16.504,09'39.013,00'25.671,00'47.787,00'24.033,10,34,11:09'03.262,01:39'03.262,260.65
28,,,A,01'57.964,00'33.858,00'19.988,00'42.018,00'22.100,8,8,11:11'01.226,01:41'01.226,263.78
29,,,A,,00'32.289,00'19.372,,,9,29,11:11'52.887,01:41'52.887,
