【Class:500  Car No:39  TGR TEAM SARD TOYOTA  タイム履歴データ】
LapNo,Best,Pit,Driver,LapTime,Sector1,Sector2,Sector3,Sector4,RankClass,Rank,TimeFired,Time,Speed
1,,,A,08'15.648,06'14.010,00'32.547,00'59.769,00'29.322,13,39,09:38'15.648,00:08'15.648,254.6
2,,,A,02'12.596,00'39.236,00'22.698,00'46.637,00'24.025,8,27,09:40'28.244,00:10'28.244,259.88
3,,,A,01'59.085,00'33.634,00'20.861,00'42.455,00'22.135,15,20,09:42'27.329,00:12'27.329,264.57
4,,,A,01'54.986,00'33.283,00'19.160,00'41.360,00'21.183,12,12,09:44'22.315,00:14'22.315,266.18
5,,,A,01'47.172,00'29.497,00'17.949,00'39.634,00'20.092,3,3,09:46'09.487,00:16'09.487,267.8
6,BL,,A,01'46.892,00'28.966,00'17.809,00'39.881,00'20.236,4,4,09:47'56.379,00:17'56.379,267.8
7,,P,A,02'06.803,00'33.321,00'20.303,00'42.474,00'30.705,9,19,09:50'03.182,00:20'03.182,267.8
8,,,A,11'03.871,09'39.832,00'20.538,00'41.780,00'21.721,13,39,10:01'07.053,00:31'07.053,265.37
9,,,A,01'52.385,00'31.364,00'18.733,00'40.375,00'21.913,4,4,10:02'59.438,00:32'59.438,265.37
10,,P,A,01'56.791,00'29.600,00'19.480,00'40.541,00'27.170,5,5,10:04'56.229,00:34'56.229,264.57
11,,,B,18'38.996,17'13.235,00'21.046,00'42.839,00'21.876,15,42,10:23'35.225,00:53'35.225,263.78
12,,,B,01'51.659,00'31.024,00'18.602,00'40.901,00'21.132,8,8,10:25'26.884,00:55'26.884,264.57
13,,,B,01'52.864,00'32.512,00'18.654,00'41.130,00'20.568,6,6,10:27'19.748,00:57'19.748,265.37
14,,,B,01'51.816,00'30.526,00'18.592,00'42.068,00'20.630,7,7,10:29'11.564,00:59'11.564,267.8
15,,,B,01'50.670,00'30.293,00'18.411,00'41.272,00'20.694,6,6,10:31'02.234,01:01'02.234,266.99
16,,P,B,01'56.575,00'30.668,00'18.816,00'41.301,00'25.790,10,10,10:32'58.809,01:02'58.809,267.8
17,,,B,04'46.311,03'24.356,00'19.187,00'41.692,00'21.076,13,33,10:37'45.120,01:07'45.120,265.37
18,,,B,01'51.460,00'30.882,00'18.782,00'41.287,00'20.509,7,7,10:39'36.580,01:09'36.580,266.18
19,,,B,01'50.862,00'30.546,00'18.718,00'41.141,00'20.457,6,6,10:41'27.442,01:11'27.442,266.99
20,,,B,01'52.444,00'31.414,00'18.829,00'41.137,00'21.064,7,7,10:43'19.886,01:13'19.886,267.8
21,,,B,01'51.871,00'30.221,00'19.128,00'40.968,00'21.554,6,6,10:45'11.757,01:15'11.757,261.42
22,,,B,01'50.156,00'30.301,00'18.175,00'40.786,00'20.894,2,2,10:47'01.913,01:17'01.913,268.62
23,,,B,01'51.713,00'30.430,00'18.732,00'41.029,00'21.522,3,3,10:48'53.626,01:18'53.626,268.62
24,,,B,01'51.103,00'31.170,00'18.489,00'40.996,00'20.448,2,2,10:50'44.729,01:20'44.729,268.62
25,,,B,01'50.126,00'30.122,00'18.632,00'40.987,00'20.385,3,3,10:52'34.855,01:22'34.855,269.44
26,,,B,01'50.765,00'30.316,00'18.633,00'41.246,00'20.570,4,4,10:54'25.620,01:24'25.620,268.62
27,,,B,01'49.883,00'30.094,00'18.472,00'40.899,00'20.418,2,2,10:56'15.503,01:26'15.503,268.62
28,,P,B,02'01.169,00'30.792,00'18.818,00'41.785,00'29.774,8,10,10:58'16.672,01:28'16.672,269.44
29,,,A,14'01.948,12'26.843,00'22.933,00'47.311,00'24.861,9,29,11:12'18.620,01:42'18.620,263.78
30,,P,A,02'33.191,00'33.119,00'21.643,00'51.755,00'46.674,7,24,11:14'51.811,01:44'51.811,170.56
