【Class:300  Car No:4  GOODSMILE RACING & TeamUKYO Mercedes  タイム履歴データ】
LapNo,Best,Pit,Driver,LapTime,Sector1,Sector2,Sector3,Sector4,RankClass,Rank,TimeFired,Time,Speed
1,,,B,03'38.147,01'56.560,00'24.892,00'50.113,00'26.582,21,29,09:33'38.147,00:03'38.147,238.69
2,,,B,02'07.771,00'36.897,00'21.714,00'45.930,00'23.230,11,17,09:35'45.918,00:05'45.918,243.32
3,,,B,01'59.912,00'33.619,00'20.184,00'43.947,00'22.162,6,21,09:37'45.830,00:07'45.830,243.99
4,,,B,01'59.398,00'33.158,00'20.192,00'44.017,00'22.031,11,25,09:39'45.228,00:09'45.228,243.99
5,,P,B,02'06.561,00'33.239,00'20.512,00'45.623,00'27.187,17,32,09:41'51.789,00:11'51.789,243.32
6,,,B,08'00.749,06'18.788,00'27.310,00'49.457,00'25.194,25,38,09:49'52.538,00:19'52.538,239.99
7,,,B,02'05.662,00'35.601,00'21.366,00'44.567,00'24.128,9,18,09:51'58.200,00:21'58.200,242.65
8,,,B,01'58.621,00'33.057,00'19.958,00'43.805,00'21.801,3,13,09:53'56.821,00:23'56.821,243.99
9,,,B,01'59.402,00'33.163,00'20.237,00'43.966,00'22.036,3,12,09:55'56.223,00:25'56.223,244.67
10,,P,B,02'09.381,00'33.987,00'21.210,00'44.916,00'29.268,19,29,09:58'05.604,00:28'05.604,242.65
11,,,B,06'01.024,04'32.987,00'20.982,00'44.647,00'22.408,21,33,10:04'06.628,00:34'06.628,239.99
12,,,B,02'00.815,00'33.330,00'20.307,00'44.449,00'22.729,6,14,10:06'07.443,00:36'07.443,241.98
13,,P,B,02'08.387,00'34.003,00'21.129,00'45.504,00'27.751,19,32,10:08'15.830,00:38'15.830,241.31
14,,,B,04'22.819,02'54.504,00'20.690,00'45.181,00'22.444,22,34,10:12'38.649,00:42'38.649,241.31
15,,P,B,02'06.564,00'33.800,00'20.541,00'44.818,00'27.405,13,21,10:14'45.213,00:44'45.213,241.31
16,,,B,07'57.689,06'28.486,00'20.972,00'45.767,00'22.464,17,26,10:22'42.902,00:52'42.902,239.34
17,,P,B,02'05.357,00'33.566,00'20.515,00'44.369,00'26.907,6,14,10:24'48.259,00:54'48.259,241.31
18,,,B,05'42.696,04'13.898,00'20.647,00'44.828,00'23.323,13,20,10:30'30.955,01:00'30.955,241.98
19,,P,B,02'04.551,00'33.225,00'20.480,00'44.351,00'26.495,10,16,10:32'35.506,01:02'35.506,243.32
20,,,A,06'01.696,04'32.421,00'21.465,00'45.174,00'22.636,17,26,10:38'37.202,01:08'37.202,239.99
21,,,A,02'02.172,00'34.037,00'20.844,00'44.727,00'22.564,4,12,10:40'39.374,01:10'39.374,242.65
22,,,A,02'01.347,00'33.933,00'20.550,00'44.586,00'22.278,4,12,10:42'40.721,01:12'40.721,241.98
23,,,A,02'00.534,00'33.551,00'20.323,00'44.566,00'22.094,3,8,10:44'41.255,01:14'41.255,242.65
24,,,A,02'01.085,00'33.978,00'20.494,00'44.411,00'22.202,4,11,10:46'42.340,01:16'42.340,242.65
25,,,A,02'00.770,00'33.752,00'20.387,00'44.529,00'22.102,2,8,10:48'43.110,01:18'43.110,242.65
26,,,A,02'01.134,00'33.799,00'20.469,00'44.439,00'22.427,2,5,10:50'44.244,01:20'44.244,242.65
27,,P,A,02'10.462,00'35.879,00'21.349,00'45.411,00'27.823,9,14,10:52'54.706,01:22'54.706,241.98
28,,P,A,03'14.630,01'41.955,00'20.595,00'44.752,00'27.328,10,16,10:56'09.336,01:26'09.336,241.98
29,,,A,06'17.504,04'45.701,00'23.859,00'45.459,00'22.485,12,18,11:02'26.840,01:32'26.840,241.98
30,BL,,A,01'58.184,00'32.972,00'19.945,00'43.738,00'21.529,1,5,11:04'25.024,01:34'25.024,244.67
31,,,A,01'58.429,00'32.894,00'19.985,00'43.972,00'21.578,2,6,11:06'23.453,01:36'23.453,244.67
32,,P,A,02'11.415,00'35.143,00'20.597,00'44.254,00'31.421,13,17,11:08'34.868,01:38'34.868,243.99
