【Class:300  Car No:48  NILZZ Racing NISSAN  タイム履歴データ】
LapNo,Best,Pit,Driver,LapTime,Sector1,Sector2,Sector3,Sector4,RankClass,Rank,TimeFired,Time,Speed
1,,P,A,03'08.820,01'07.784,00'30.495,00'54.668,00'35.873,12,15,09:33'08.820,00:03'08.820,198.73
2,,,A,04'56.281,03'22.126,00'23.025,00'47.646,00'23.484,23,31,09:38'05.101,00:08'05.101,244.67
3,,,A,02'03.590,00'35.097,00'21.030,00'44.662,00'22.801,16,31,09:40'08.691,00:10'08.691,245.36
4,,,A,02'03.558,00'34.814,00'20.818,00'45.004,00'22.922,24,39,09:42'12.249,00:12'12.249,244.67
5,,,A,02'03.007,00'34.744,00'20.954,00'44.648,00'22.661,14,29,09:44'15.256,00:14'15.256,245.36
6,,,A,02'04.642,00'34.592,00'21.497,00'45.442,00'23.111,8,19,09:46'19.898,00:16'19.898,245.36
7,,P,A,02'10.570,00'35.225,00'21.426,00'45.123,00'28.796,15,25,09:48'30.468,00:18'30.468,243.99
8,,,B,05'00.539,03'20.470,00'26.198,00'48.464,00'25.407,21,32,09:53'31.007,00:23'31.007,244.67
9,,,B,02'08.551,00'35.871,00'22.123,00'45.935,00'24.622,17,30,09:55'39.558,00:25'39.558,246.74
10,,,B,02'05.443,00'35.435,00'21.433,00'45.072,00'23.503,11,20,09:57'45.001,00:27'45.001,245.36
11,,,B,02'03.704,00'34.888,00'21.125,00'44.809,00'22.882,7,18,09:59'48.705,00:29'48.705,246.05
12,,,B,02'03.213,00'34.412,00'21.111,00'44.779,00'22.911,10,19,10:01'51.918,00:31'51.918,245.36
13,,P,B,02'10.245,00'34.829,00'21.388,00'45.166,00'28.862,21,34,10:04'02.163,00:34'02.163,244.67
14,,,B,03'56.316,02'23.594,00'21.343,00'48.071,00'23.308,21,33,10:07'58.479,00:37'58.479,246.74
15,,,B,02'02.232,00'33.985,00'20.892,00'44.572,00'22.783,8,18,10:10'00.711,00:40'00.711,246.05
16,,P,B,02'10.457,00'34.391,00'21.249,00'44.695,00'30.122,16,23,10:12'11.168,00:42'11.168,247.43
17,,,B,06'55.956,05'26.665,00'21.357,00'44.896,00'23.038,15,23,10:19'07.124,00:49'07.124,247.43
18,,,B,02'02.143,00'34.221,00'20.991,00'44.381,00'22.550,2,7,10:21'09.267,00:51'09.267,246.74
19,,,B,02'02.121,00'33.965,00'20.826,00'44.567,00'22.763,2,5,10:23'11.388,00:53'11.388,247.43
20,,P,B,02'12.649,00'35.998,00'21.667,00'45.193,00'29.791,3,4,10:25'24.037,00:55'24.037,245.36
21,,,A,05'38.515,04'07.175,00'21.750,00'46.115,00'23.475,5,7,10:31'02.552,01:01'02.552,245.36
22,,,A,02'07.873,00'35.174,00'21.332,00'47.701,00'23.666,3,6,10:33'10.425,01:03'10.425,247.43
23,,,A,02'04.798,00'34.957,00'21.155,00'45.069,00'23.617,3,4,10:35'15.223,01:05'15.223,246.05
24,,,A,02'09.034,00'34.932,00'20.923,00'49.023,00'24.156,3,4,10:37'24.257,01:07'24.257,213.2
25,,,A,02'06.589,00'35.070,00'21.423,00'45.537,00'24.559,2,3,10:39'30.846,01:09'30.846,231.15
26,,,A,02'07.554,00'35.389,00'22.676,00'45.917,00'23.572,2,3,10:41'38.400,01:11'38.400,246.74
27,,,A,02'07.342,00'35.050,00'21.454,00'47.111,00'23.727,1,2,10:43'45.742,01:13'45.742,243.99
28,,P,A,02'13.740,00'35.244,00'21.755,00'46.944,00'29.797,1,2,10:45'59.482,01:15'59.482,238.69
29,,,A,09'30.490,07'46.132,00'28.374,00'50.945,00'25.039,7,11,10:55'29.972,01:25'29.972,243.32
30,,,A,02'05.756,00'35.654,00'21.457,00'45.368,00'23.277,2,6,10:57'35.728,01:27'35.728,244.67
31,,,A,02'01.864,00'33.962,00'20.777,00'44.367,00'22.758,1,5,10:59'37.592,01:29'37.592,246.74
32,BL,,A,02'01.813,00'33.933,00'20.712,00'44.575,00'22.593,1,3,11:01'39.405,01:31'39.405,246.05
33,,P,A,02'06.965,00'34.118,00'21.003,00'44.506,00'27.338,3,5,11:03'46.370,01:33'46.370,247.43
