【Class:300  Car No:5  TEAM MACH TOYOTA  タイム履歴データ】
LapNo,Best,Pit,Driver,LapTime,Sector1,Sector2,Sector3,Sector4,RankClass,Rank,TimeFired,Time,Speed
1,,,A,02'45.226,00'55.554,00'28.184,00'53.839,00'27.649,5,6,09:32'45.226,00:02'45.226,238.04
2,,,A,02'07.530,00'37.863,00'21.621,00'45.199,00'22.847,10,16,09:34'52.756,00:04'52.756,244.67
3,,,A,02'00.045,00'33.404,00'20.138,00'44.240,00'22.263,7,22,09:36'52.801,00:06'52.801,246.05
4,,,A,02'01.365,00'33.613,00'20.278,00'44.954,00'22.520,21,35,09:38'54.166,00:08'54.166,246.74
5,,,A,02'01.452,00'33.653,00'20.587,00'44.638,00'22.574,12,27,09:40'55.618,00:10'55.618,246.05
6,,,A,02'00.858,00'33.595,00'20.383,00'44.357,00'22.523,6,16,09:42'56.476,00:12'56.476,246.05
7,,,A,02'01.210,00'33.562,00'20.346,00'44.574,00'22.728,6,14,09:44'57.686,00:14'57.686,246.74
8,,,A,02'01.211,00'33.724,00'20.450,00'44.333,00'22.704,7,18,09:46'58.897,00:16'58.897,246.74
9,,,A,02'01.014,00'33.589,00'20.453,00'44.373,00'22.599,8,19,09:48'59.911,00:18'59.911,246.05
10,,P,A,02'05.821,00'33.589,00'20.415,00'44.419,00'27.398,13,22,09:51'05.732,00:21'05.732,246.74
11,,,A,05'37.955,03'57.157,00'25.414,00'49.647,00'25.737,20,32,09:56'43.687,00:26'43.687,207.65
12,,,A,02'09.041,00'37.289,00'23.270,00'45.331,00'23.151,15,24,09:58'52.728,00:28'52.728,244.67
13,,,A,02'02.114,00'34.030,00'20.610,00'44.542,00'22.932,13,26,10:00'54.842,00:30'54.842,246.74
14,BL,,A,01'59.728,00'33.221,00'20.101,00'44.223,00'22.183,4,14,10:02'54.570,00:32'54.570,245.36
15,,,A,02'01.251,00'33.256,00'21.373,00'44.224,00'22.398,7,15,10:04'55.821,00:34'55.821,246.74
16,,,A,02'01.956,00'34.182,00'20.817,00'44.355,00'22.602,9,16,10:06'57.777,00:36'57.777,245.36
17,,,A,02'02.204,00'33.547,00'20.188,00'45.265,00'23.204,3,11,10:08'59.981,00:38'59.981,241.98
18,,P,A,02'06.376,00'33.594,00'20.528,00'44.453,00'27.801,5,9,10:11'06.357,00:41'06.357,246.05
19,,,A,30'13.112,28'40.163,00'23.347,00'46.117,00'23.485,25,37,10:41'19.469,01:11'19.469,243.32
20,,,A,02'03.549,00'34.205,00'20.751,00'45.076,00'23.517,7,17,10:43'23.018,01:13'23.018,244.67
21,,,A,02'01.406,00'33.985,00'20.381,00'44.578,00'22.462,3,13,10:45'24.424,01:15'24.424,246.05
22,,,A,02'00.798,00'33.631,00'20.398,00'44.352,00'22.417,2,14,10:47'25.222,01:17'25.222,247.43
23,,P,A,02'09.226,00'35.612,00'20.930,00'44.809,00'27.875,18,26,10:49'34.448,01:19'34.448,246.74
24,,,B,03'12.813,01'38.136,00'23.530,00'46.623,00'24.524,19,29,10:52'47.261,01:22'47.261,245.36
25,,,B,02'05.098,00'34.804,00'21.312,00'45.493,00'23.489,11,20,10:54'52.359,01:24'52.359,245.36
26,,,B,02'02.912,00'34.300,00'20.671,00'45.060,00'22.881,9,17,10:56'55.271,01:26'55.271,0.7
27,,,B,02'02.855,00'34.445,00'20.742,00'44.936,00'22.732,9,17,10:58'58.126,01:28'58.126,247.43
28,,,B,02'07.018,00'34.388,00'21.424,00'47.675,00'23.531,11,19,11:01'05.144,01:31'05.144,246.74
29,,,B,02'01.807,00'33.894,00'20.690,00'44.520,00'22.703,7,13,11:03'06.951,01:33'06.951,246.74
30,,,B,02'01.785,00'33.764,00'20.733,00'44.623,00'22.665,6,11,11:05'08.736,01:35'08.736,247.43
31,,P,B,02'16.605,00'34.436,00'21.798,00'45.799,00'34.572,12,16,11:07'25.341,01:37'25.341,245.36
