【Class:300  Car No:50  Arnage Racing TOYOTA  タイム履歴データ】
LapNo,Best,Pit,Driver,LapTime,Sector1,Sector2,Sector3,Sector4,RankClass,Rank,TimeFired,Time,Speed
1,,,B,02'33.793,00'56.717,00'25.701,00'47.682,00'23.693,3,3,09:32'33.793,00:02'33.793,238.04
2,,,B,02'03.240,00'34.422,00'21.303,00'45.136,00'22.379,2,5,09:34'37.033,00:04'37.033,239.34
3,,,B,02'00.221,00'33.254,00'20.289,00'44.498,00'22.180,8,23,09:36'37.254,00:06'37.254,242.65
4,,P,B,02'06.897,00'33.560,00'20.548,00'44.844,00'27.945,26,41,09:38'44.151,00:08'44.151,241.98
5,,,B,07'06.220,05'38.657,00'20.524,00'44.578,00'22.461,26,41,09:45'50.371,00:15'50.371,243.32
6,,,B,01'59.665,00'33.202,00'20.050,00'44.214,00'22.199,2,11,09:47'50.036,00:17'50.036,242.65
7,,P,B,02'05.750,00'33.146,00'20.458,00'44.756,00'27.390,10,19,09:49'55.786,00:19'55.786,242.65
8,,,B,06'48.692,05'12.873,00'23.063,00'48.796,00'23.960,25,36,09:56'44.478,00:26'44.478,239.99
9,,,B,02'04.347,00'35.336,00'20.883,00'44.797,00'23.331,14,26,09:58'48.825,00:28'48.825,242.65
10,,,B,02'03.341,00'35.088,00'21.165,00'44.625,00'22.463,10,18,10:00'52.166,00:30'52.166,242.65
11,BL,,B,01'59.178,00'32.830,00'20.002,00'44.287,00'22.059,2,11,10:02'51.344,00:32'51.344,240.65
12,,P,B,02'15.592,00'34.865,00'23.746,00'47.136,00'29.845,20,30,10:05'06.936,00:35'06.936,239.99
13,,,A,06'50.767,05'15.478,00'22.663,00'48.583,00'24.043,24,38,10:11'57.703,00:41'57.703,241.98
14,,,A,02'03.994,00'34.561,00'21.014,00'45.233,00'23.186,13,24,10:14'01.697,00:44'01.697,240.65
15,,,A,02'03.018,00'34.241,00'20.907,00'44.751,00'23.119,10,20,10:16'04.715,00:46'04.715,241.31
16,,,A,02'03.640,00'34.565,00'21.166,00'44.904,00'23.005,11,18,10:18'08.355,00:48'08.355,241.98
17,,,A,02'02.700,00'33.913,00'20.905,00'44.808,00'23.074,5,13,10:20'11.055,00:50'11.055,240.65
18,,,A,02'03.148,00'34.043,00'21.014,00'44.890,00'23.201,4,9,10:22'14.203,00:52'14.203,241.98
19,,P,A,02'11.438,00'36.152,00'21.546,00'44.969,00'28.771,7,10,10:24'25.641,00:54'25.641,241.98
20,,,A,05'57.876,04'28.656,00'20.975,00'45.229,00'23.016,9,11,10:30'23.517,01:00'23.517,241.98
21,,,A,02'02.247,00'33.976,00'20.904,00'45.016,00'22.351,2,4,10:32'25.764,01:02'25.764,243.32
22,,,A,02'01.626,00'33.836,00'20.493,00'44.847,00'22.450,2,5,10:34'27.390,01:04'27.390,243.32
23,,,A,02'02.078,00'33.976,00'20.634,00'44.878,00'22.590,2,3,10:36'29.468,01:06'29.468,242.65
24,,,A,02'01.886,00'33.802,00'20.636,00'44.934,00'22.514,2,3,10:38'31.354,01:08'31.354,242.65
25,,P,A,02'08.291,00'34.468,00'20.937,00'44.884,00'28.002,3,4,10:40'39.645,01:10'39.645,244.67
26,,,B,06'44.157,05'14.198,00'21.472,00'45.506,00'22.981,8,12,10:47'23.802,01:17'23.802,243.32
27,,,B,02'01.640,00'33.788,00'20.551,00'44.884,00'22.417,4,8,10:49'25.442,01:19'25.442,243.99
28,,,B,02'01.497,00'33.410,00'20.415,00'45.092,00'22.580,2,6,10:51'26.939,01:21'26.939,243.32
29,,,B,02'01.546,00'33.503,00'20.700,00'44.866,00'22.477,2,5,10:53'28.485,01:23'28.485,243.99
30,,P,B,02'09.574,00'35.415,00'21.638,00'45.309,00'27.212,4,8,10:55'38.059,01:25'38.059,243.99
31,,,B,05'14.109,03'46.307,00'20.609,00'44.739,00'22.454,4,8,11:00'52.168,01:30'52.168,243.32
32,,,B,02'00.946,00'33.394,00'20.237,00'44.712,00'22.603,1,3,11:02'53.114,01:32'53.114,243.99
33,,,B,02'00.587,00'33.472,00'20.180,00'44.575,00'22.360,2,3,11:04'53.701,01:34'53.701,243.99
34,,P,B,02'13.619,00'33.859,00'22.516,00'47.072,00'30.172,5,5,11:07'07.320,01:37'07.320,243.32
