【Class:300  Car No:52  SAITAMATOYOPET Green Brave TOYOTA  タイム履歴データ】
LapNo,Best,Pit,Driver,LapTime,Sector1,Sector2,Sector3,Sector4,RankClass,Rank,TimeFired,Time,Speed
1,,,A,03'53.665,02'12.155,00'26.606,00'49.004,00'25.900,24,33,09:33'53.665,00:03'53.665,238.69
2,,,A,02'05.119,00'35.498,00'21.413,00'45.406,00'22.802,6,11,09:35'58.784,00:05'58.784,241.98
3,,,A,02'03.459,00'33.461,00'21.817,00'45.491,00'22.690,15,30,09:38'02.243,00:08'02.243,244.67
4,,,A,01'58.382,00'32.809,00'19.701,00'43.988,00'21.884,1,13,09:40'00.625,00:10'00.625,246.05
5,,,A,02'00.200,00'32.642,00'20.594,00'44.702,00'22.262,8,22,09:42'00.825,00:12'00.825,245.36
6,,,A,02'00.037,00'32.516,00'19.734,00'45.279,00'22.508,5,14,09:44'00.862,00:14'00.862,246.05
7,,,A,01'58.710,00'32.806,00'19.843,00'44.163,00'21.898,2,9,09:45'59.572,00:15'59.572,246.74
8,,,A,01'58.830,00'32.960,00'19.851,00'44.150,00'21.869,4,14,09:47'58.402,00:17'58.402,247.43
9,,P,A,02'06.455,00'33.054,00'20.161,00'44.390,00'28.850,16,28,09:50'04.857,00:20'04.857,246.74
10,,,A,08'26.529,06'51.476,00'23.962,00'47.945,00'23.146,26,41,09:58'31.386,00:28'31.386,239.99
11,,,A,02'03.819,00'35.114,00'20.929,00'45.227,00'22.549,8,19,10:00'35.205,00:30'35.205,241.98
12,,,A,02'01.483,00'33.298,00'20.814,00'44.969,00'22.402,8,17,10:02'36.688,00:32'36.688,243.99
13,,,A,01'58.607,00'32.703,00'19.850,00'44.113,00'21.941,2,14,10:04'35.295,00:34'35.295,245.36
14,BL,,A,01'58.347,00'32.746,00'19.703,00'44.073,00'21.825,2,11,10:06'33.642,00:36'33.642,244.67
15,,,A,01'59.211,00'32.696,00'20.024,00'44.416,00'22.075,2,11,10:08'32.853,00:38'32.853,245.36
16,,,A,01'59.743,00'33.027,00'20.135,00'44.520,00'22.061,2,9,10:10'32.596,00:40'32.596,245.36
17,,P,A,02'04.478,00'33.064,00'20.258,00'44.640,00'26.516,7,15,10:12'37.074,00:42'37.074,243.32
18,,,A,07'37.552,06'10.368,00'20.348,00'44.694,00'22.142,10,16,10:20'14.626,00:50'14.626,243.32
19,,,A,02'00.717,00'33.176,00'20.168,00'45.129,00'22.244,1,4,10:22'15.343,00:52'15.343,243.32
20,,P,A,02'05.922,00'33.231,00'21.009,00'44.844,00'26.838,1,2,10:24'21.265,00:54'21.265,243.32
21,,,B,09'10.260,07'40.502,00'21.139,00'45.514,00'23.105,9,12,10:33'31.525,01:03'31.525,243.99
22,,,B,02'02.029,00'34.104,00'20.557,00'44.968,00'22.400,3,7,10:35'33.554,01:05'33.554,243.99
23,,,B,02'04.479,00'34.115,00'20.499,00'46.636,00'23.229,5,8,10:37'38.033,01:07'38.033,243.99
24,,,B,02'02.322,00'33.714,00'20.988,00'45.098,00'22.522,4,7,10:39'40.355,01:09'40.355,243.99
25,,,B,02'01.914,00'33.927,00'20.618,00'44.759,00'22.610,1,3,10:41'42.269,01:11'42.269,244.67
26,,P,B,02'06.897,00'33.753,00'20.552,00'45.171,00'27.421,2,3,10:43'49.166,01:13'49.166,243.99
27,,,B,05'03.263,03'34.115,00'21.018,00'45.452,00'22.678,5,8,10:48'52.429,01:18'52.429,244.67
28,,,B,02'02.079,00'34.159,00'20.596,00'45.044,00'22.280,1,5,10:50'54.508,01:20'54.508,243.99
29,,,B,02'01.078,00'33.421,00'20.496,00'44.894,00'22.267,1,4,10:52'55.586,01:22'55.586,243.99
30,,P,B,02'05.657,00'33.462,00'20.519,00'44.815,00'26.861,1,5,10:55'01.243,01:25'01.243,243.99
31,,,B,03'11.210,01'36.554,00'23.063,00'47.581,00'24.012,1,5,10:58'12.453,01:28'12.453,240.65
32,,,B,02'05.343,00'35.133,00'21.375,00'45.405,00'23.430,2,5,11:00'17.796,01:30'17.796,241.98
33,,,B,02'07.768,00'34.970,00'21.039,00'45.140,00'26.619,3,5,11:02'25.564,01:32'25.564,243.32
34,,,B,01'58.491,00'32.838,00'20.078,00'44.010,00'21.565,1,1,11:04'24.055,01:34'24.055,243.99
35,,,B,01'59.090,00'32.756,00'20.012,00'44.476,00'21.846,1,1,11:06'23.145,01:36'23.145,245.36
36,,P,B,02'09.259,00'33.180,00'20.876,00'44.332,00'30.871,2,2,11:08'32.404,01:38'32.404,246.05
