【Class:300  Car No:55  ARTA HONDA  タイム履歴データ】
LapNo,Best,Pit,Driver,LapTime,Sector1,Sector2,Sector3,Sector4,RankClass,Rank,TimeFired,Time,Speed
1,,,B,03'30.905,01'45.141,00'26.810,00'51.820,00'27.134,18,24,09:33'30.905,00:03'30.905,245.36
2,,,B,02'08.268,00'36.852,00'22.339,00'45.105,00'23.972,14,20,09:35'39.173,00:05'39.173,249.54
3,,,B,02'03.430,00'34.855,00'20.765,00'44.797,00'23.013,14,29,09:37'42.603,00:07'42.603,250.25
4,,,B,01'58.699,00'33.160,00'19.883,00'43.499,00'22.157,3,17,09:39'41.302,00:09'41.302,250.97
5,,,B,01'58.603,00'33.140,00'20.093,00'43.466,00'21.904,2,16,09:41'39.905,00:11'39.905,250.97
6,,P,B,02'05.792,00'34.649,00'21.106,00'44.077,00'25.960,11,22,09:43'45.697,00:13'45.697,231.15
7,,,B,07'07.626,05'31.326,00'23.485,00'47.852,00'24.963,23,35,09:50'53.323,00:20'53.323,207.65
8,,,B,02'04.440,00'35.216,00'21.225,00'45.012,00'22.987,10,21,09:52'57.763,00:22'57.763,247.43
9,,,B,02'02.105,00'33.962,00'20.905,00'44.399,00'22.839,11,23,09:54'59.868,00:24'59.868,250.25
10,,,B,01'58.788,00'32.848,00'20.388,00'43.338,00'22.214,3,11,09:56'58.656,00:26'58.656,250.97
11,BL,,B,01'58.074,00'32.904,00'19.977,00'43.430,00'21.763,1,9,09:58'56.730,00:28'56.730,251.69
12,,P,B,02'04.881,00'33.776,00'20.712,00'43.956,00'26.437,12,22,10:01'01.611,00:31'01.611,249.54
13,,,A,08'31.136,06'59.227,00'23.468,00'45.281,00'23.160,27,41,10:09'32.747,00:39'32.747,248.83
14,,,A,02'01.221,00'34.005,00'20.538,00'44.260,00'22.418,10,21,10:11'33.968,00:41'33.968,250.25
15,,,A,02'02.835,00'34.341,00'20.627,00'44.449,00'23.418,9,19,10:13'36.803,00:43'36.803,250.25
16,,,A,01'59.757,00'33.375,00'20.314,00'43.901,00'22.167,3,10,10:15'36.560,00:45'36.560,250.25
17,,P,A,02'09.381,00'34.563,00'20.926,00'44.916,00'28.976,11,19,10:17'45.941,00:47'45.941,248.83
18,,,A,07'56.261,06'27.743,00'20.934,00'44.842,00'22.742,11,17,10:25'42.202,00:55'42.202,248.13
19,,,A,02'00.371,00'33.739,00'20.353,00'44.062,00'22.217,1,5,10:27'42.573,00:57'42.573,248.83
20,,P,A,02'05.691,00'34.016,00'20.705,00'44.133,00'26.837,3,5,10:29'48.264,00:59'48.264,248.83
21,,,A,06'59.062,05'31.153,00'20.912,00'44.212,00'22.785,12,18,10:36'47.326,01:06'47.326,249.54
22,,,A,02'00.876,00'34.046,00'20.529,00'44.115,00'22.186,2,9,10:38'48.202,01:08'48.202,250.25
23,,P,A,02'05.411,00'33.848,00'20.395,00'43.960,00'27.208,8,12,10:40'53.613,01:10'53.613,250.97
24,,,A,06'41.762,05'13.041,00'21.046,00'44.322,00'23.353,13,22,10:47'35.375,01:17'35.375,250.25
25,,,A,02'02.728,00'34.818,00'20.913,00'44.513,00'22.484,9,16,10:49'38.103,01:19'38.103,250.25
26,,P,A,02'05.688,00'33.760,00'20.509,00'44.061,00'27.358,9,15,10:51'43.791,01:21'43.791,249.54
27,,,A,08'13.078,06'36.610,00'23.570,00'48.854,00'24.044,19,28,10:59'56.869,01:29'56.869,247.43
28,,,A,02'06.199,00'34.960,00'21.077,00'46.909,00'23.253,12,20,11:02'03.068,01:32'03.068,248.83
29,,,A,01'58.809,00'33.527,00'19.943,00'43.632,00'21.707,2,7,11:04'01.877,01:34'01.877,250.97
30,,,A,01'58.413,00'33.025,00'19.994,00'43.675,00'21.719,2,6,11:06'00.290,01:36'00.290,250.97
31,,P,A,02'08.334,00'34.602,00'20.594,00'44.240,00'28.898,11,15,11:08'08.624,01:38'08.624,249.54
