【Class:300  Car No:56  KONDO RACING NISSAN  タイム履歴データ】
LapNo,Best,Pit,Driver,LapTime,Sector1,Sector2,Sector3,Sector4,RankClass,Rank,TimeFired,Time,Speed
1,,,A,05'24.562,03'42.558,00'27.409,00'49.036,00'25.559,26,37,09:35'24.562,00:05'24.562,243.99
2,,,A,02'04.417,00'35.306,00'21.144,00'45.200,00'22.767,3,8,09:37'28.979,00:07'28.979,247.43
3,,,A,01'59.080,00'33.069,00'20.576,00'43.768,00'21.667,5,19,09:39'28.059,00:09'28.059,248.83
4,,,A,01'58.841,00'32.917,00'20.074,00'43.934,00'21.916,6,20,09:41'26.900,00:11'26.900,248.83
5,,P,A,02'08.993,00'34.269,00'21.049,00'45.031,00'28.644,20,35,09:43'35.893,00:13'35.893,247.43
6,,,A,07'11.772,05'35.860,00'24.295,00'47.672,00'23.945,23,35,09:50'47.665,00:20'47.665,243.99
7,,,A,02'04.084,00'34.058,00'20.569,00'44.248,00'25.209,8,17,09:52'51.749,00:22'51.749,246.05
8,BL,,A,01'57.947,00'32.649,00'19.992,00'43.511,00'21.795,1,11,09:54'49.696,00:24'49.696,248.13
9,,,A,01'58.666,00'32.822,00'20.098,00'44.026,00'21.720,1,10,09:56'48.362,00:26'48.362,248.13
10,,P,A,02'05.727,00'33.586,00'21.009,00'44.872,00'26.260,12,21,09:58'54.089,00:28'54.089,247.43
11,,,B,08'59.151,07'22.309,00'24.068,00'48.369,00'24.405,26,40,10:07'53.240,00:37'53.240,244.67
12,,,B,02'00.264,00'33.508,00'20.395,00'44.212,00'22.149,3,12,10:09'53.504,00:39'53.504,247.43
13,,,B,01'59.631,00'33.425,00'20.227,00'44.025,00'21.954,4,17,10:11'53.135,00:41'53.135,248.13
14,,,B,01'59.895,00'33.294,00'20.346,00'44.116,00'22.139,5,15,10:13'53.030,00:43'53.030,248.13
15,,P,B,02'10.868,00'34.909,00'21.256,00'46.228,00'28.475,19,29,10:16'03.898,00:46'03.898,246.05
16,,,B,14'41.507,13'11.841,00'21.803,00'45.010,00'22.853,24,36,10:30'45.405,01:00'45.405,247.43
17,,,B,02'01.586,00'33.823,00'20.606,00'44.455,00'22.702,6,16,10:32'46.991,01:02'46.991,248.83
18,,,B,02'01.091,00'34.035,00'20.551,00'44.338,00'22.167,3,10,10:34'48.082,01:04'48.082,247.43
19,,,B,02'01.013,00'33.816,00'20.535,00'44.321,00'22.341,3,12,10:36'49.095,01:06'49.095,246.74
20,,P,B,02'09.662,00'34.795,00'21.332,00'45.276,00'28.259,12,20,10:38'58.757,01:08'58.757,246.05
21,,,A,05'03.329,03'32.706,00'21.184,00'46.426,00'23.013,14,23,10:44'02.086,01:14'02.086,246.05
22,,,A,02'01.046,00'33.675,00'20.509,00'44.529,00'22.333,3,13,10:46'03.132,01:16'03.132,246.05
23,,P,A,02'07.194,00'34.061,00'20.685,00'44.713,00'27.735,15,21,10:48'10.326,01:18'10.326,247.43
24,,,B,10'46.766,09'11.780,00'23.429,00'47.518,00'24.039,24,37,10:58'57.092,01:28'57.092,244.67
25,,,B,02'05.721,00'34.860,00'21.419,00'45.578,00'23.864,14,25,11:01'02.813,01:31'02.813,243.99
26,,,B,01'57.971,00'32.894,00'19.914,00'43.507,00'21.656,1,10,11:03'00.784,01:33'00.784,248.83
27,,P,B,02'10.860,00'34.567,00'21.219,00'45.720,00'29.354,18,26,11:05'11.644,01:35'11.644,246.05
