【Class:300  Car No:6  Team LeMans Audi  タイム履歴データ】
LapNo,Best,Pit,Driver,LapTime,Sector1,Sector2,Sector3,Sector4,RankClass,Rank,TimeFired,Time,Speed
1,,P,A,03'56.800,02'01.500,00'26.329,00'52.093,00'36.878,25,34,09:33'56.800,00:03'56.800,231.15
2,,,A,05'08.228,03'33.814,00'22.012,00'48.374,00'24.028,25,33,09:39'05.028,00:09'05.028,245.36
3,,,A,02'03.963,00'35.500,00'21.247,00'44.419,00'22.797,17,32,09:41'08.991,00:11'08.991,247.43
4,,,A,02'02.120,00'33.959,00'20.504,00'45.047,00'22.610,22,36,09:43'11.111,00:13'11.111,248.13
5,,,A,02'00.104,00'33.496,00'20.211,00'44.286,00'22.111,6,20,09:45'11.215,00:15'11.215,246.05
6,,P,A,02'08.873,00'34.461,00'20.938,00'44.463,00'29.011,13,24,09:47'20.088,00:17'20.088,246.05
7,,,A,06'53.847,05'25.662,00'21.340,00'44.282,00'22.563,21,32,09:54'13.935,00:24'13.935,245.36
8,,,A,02'00.945,00'33.820,00'20.472,00'44.257,00'22.396,6,17,09:56'14.880,00:26'14.880,247.43
9,,,A,02'00.502,00'33.825,00'20.427,00'44.115,00'22.135,7,18,09:58'15.382,00:28'15.382,247.43
10,,,A,02'02.956,00'35.369,00'20.842,00'44.236,00'22.509,8,16,10:00'18.338,00:30'18.338,246.05
11,,P,A,02'08.728,00'33.845,00'20.867,00'44.937,00'29.079,14,25,10:02'27.066,00:32'27.066,246.74
12,,,A,07'07.049,05'37.312,00'21.710,00'45.268,00'22.759,23,33,10:09'34.115,00:39'34.115,244.67
13,,P,A,02'09.211,00'33.851,00'21.089,00'45.040,00'29.231,20,33,10:11'43.326,00:41'43.326,244.67
14,,,A,06'49.184,05'20.015,00'20.903,00'44.511,00'23.755,25,37,10:18'32.510,00:48'32.510,244.67
15,,P,A,02'09.780,00'34.336,00'20.737,00'44.635,00'30.072,15,23,10:20'42.290,00:50'42.290,244.67
16,,,B,05'46.489,04'12.517,00'22.896,00'46.958,00'24.118,17,25,10:26'28.779,00:56'28.779,243.99
17,,,B,02'03.725,00'34.742,00'21.062,00'44.836,00'23.085,8,17,10:28'32.504,00:58'32.504,246.05
18,,,B,02'06.273,00'35.224,00'21.190,00'44.906,00'24.953,9,15,10:30'38.777,01:00'38.777,246.05
19,,,B,02'02.828,00'34.118,00'20.984,00'44.967,00'22.759,8,14,10:32'41.605,01:02'41.605,246.74
20,,P,B,02'07.847,00'34.185,00'21.153,00'44.779,00'27.730,10,16,10:34'49.452,01:04'49.452,246.74
21,,,B,04'13.434,02'36.263,00'24.042,00'48.407,00'24.722,9,17,10:39'02.886,01:09'02.886,242.65
22,,,B,02'15.784,00'37.987,00'23.430,00'49.091,00'25.276,10,18,10:41'18.670,01:11'18.670,233.61
23,,,B,02'06.018,00'34.374,00'21.062,00'44.576,00'26.006,11,16,10:43'24.688,01:13'24.688,246.74
24,,,B,02'03.217,00'35.008,00'21.029,00'44.502,00'22.678,8,15,10:45'27.905,01:15'27.905,246.74
25,,,B,02'01.209,00'33.835,00'20.634,00'44.318,00'22.422,3,9,10:47'29.114,01:17'29.114,248.13
26,,P,B,02'07.363,00'33.738,00'20.535,00'44.651,00'28.439,8,11,10:49'36.477,01:19'36.477,248.13
27,,,B,06'22.174,04'43.000,00'25.395,00'49.185,00'24.594,13,20,10:55'58.651,01:25'58.651,226.97
28,,,B,02'10.432,00'36.445,00'24.087,00'45.666,00'24.234,9,16,10:58'09.083,01:28'09.083,246.05
29,,,B,02'00.698,00'33.777,00'20.525,00'44.086,00'22.310,2,7,11:00'09.781,01:30'09.781,246.74
30,BL,,B,01'59.888,00'33.197,00'20.423,00'44.132,00'22.136,1,6,11:02'09.669,01:32'09.669,246.74
31,,,B,02'01.375,00'33.559,00'20.622,00'44.612,00'22.582,4,8,11:04'11.044,01:34'11.044,247.43
32,,,B,02'01.180,00'33.735,00'20.662,00'44.507,00'22.276,5,7,11:06'12.224,01:36'12.224,246.74
33,,P,B,02'15.188,00'34.231,00'22.122,00'47.086,00'31.749,11,13,11:08'27.412,01:38'27.412,245.36
