【Class:300  Car No:60  LM corsa TOYOTA  タイム履歴データ】
LapNo,Best,Pit,Driver,LapTime,Sector1,Sector2,Sector3,Sector4,RankClass,Rank,TimeFired,Time,Speed
1,,,A,03'05.158,01'25.360,00'25.045,00'50.232,00'24.521,9,12,09:33'05.158,00:03'05.158,239.34
2,,,A,02'06.506,00'36.466,00'21.463,00'45.108,00'23.469,8,13,09:35'11.664,00:05'11.664,242.65
3,,,A,02'00.372,00'33.508,00'20.457,00'44.081,00'22.326,9,24,09:37'12.036,00:07'12.036,246.05
4,BL,,A,01'59.524,00'33.195,00'20.099,00'44.138,00'22.092,12,26,09:39'11.560,00:09'11.560,245.36
5,,P,A,02'04.869,00'33.373,00'20.508,00'44.107,00'26.881,15,30,09:41'16.429,00:11'16.429,243.99
6,,,A,06'46.513,05'19.366,00'20.528,00'44.365,00'22.254,21,33,09:48'02.942,00:18'02.942,246.05
7,,,A,02'00.056,00'33.419,00'20.211,00'44.214,00'22.212,4,11,09:50'02.998,00:20'02.998,245.36
8,,P,A,02'05.422,00'33.582,00'20.484,00'44.686,00'26.670,17,28,09:52'08.420,00:22'08.420,245.36
9,,,A,05'54.667,04'24.968,00'20.634,00'45.486,00'23.579,23,36,09:58'03.087,00:28'03.087,240.65
10,,,A,02'00.873,00'33.537,00'20.513,00'44.301,00'22.522,5,13,10:00'03.960,00:30'03.960,246.05
11,,P,A,02'06.731,00'33.670,00'20.553,00'46.011,00'26.497,13,24,10:02'10.691,00:32'10.691,230.55
12,,,A,10'53.207,09'24.114,00'21.120,00'44.956,00'23.017,27,40,10:13'03.898,00:43'03.898,243.32
13,,,A,02'01.853,00'33.958,00'20.517,00'44.771,00'22.607,11,24,10:15'05.751,00:45'05.751,243.99
14,,P,A,02'06.772,00'34.023,00'20.803,00'45.006,00'26.940,14,25,10:17'12.523,00:47'12.523,244.67
15,,,A,09'10.244,07'41.581,00'20.776,00'45.167,00'22.720,24,36,10:26'22.767,00:56'22.767,242.65
16,,P,A,02'06.122,00'33.968,00'20.649,00'44.868,00'26.637,12,20,10:28'28.889,00:58'28.889,244.67
17,,,A,04'45.916,03'10.217,00'24.970,00'46.652,00'24.077,19,31,10:33'14.805,01:03'14.805,243.32
18,,,A,02'05.083,00'34.831,00'21.235,00'45.059,00'23.958,12,20,10:35'19.888,01:05'19.888,240.65
19,,,A,02'00.626,00'33.390,00'20.083,00'44.612,00'22.541,2,11,10:37'20.514,01:07'20.514,244.67
20,,,A,01'59.697,00'33.315,00'20.186,00'44.188,00'22.008,2,9,10:39'20.211,01:09'20.211,245.36
21,,P,A,02'06.247,00'33.324,00'20.293,00'44.408,00'28.222,9,18,10:41'26.458,01:11'26.458,246.74
22,,,B,05'01.437,03'33.395,00'20.758,00'44.568,00'22.716,19,29,10:46'27.895,01:16'27.895,244.67
23,,,B,02'00.621,00'33.430,00'20.421,00'44.361,00'22.409,4,10,10:48'28.516,01:18'28.516,245.36
24,,,B,02'01.437,00'33.469,00'20.493,00'44.418,00'23.057,5,13,10:50'29.953,01:20'29.953,245.36
25,,,B,02'00.910,00'33.411,00'20.408,00'44.367,00'22.724,4,11,10:52'30.863,01:22'30.863,246.05
26,,,B,02'02.713,00'34.305,00'20.922,00'44.842,00'22.644,8,15,10:54'33.576,01:24'33.576,246.05
27,,,B,02'01.233,00'33.588,00'20.628,00'44.638,00'22.379,5,12,10:56'34.809,01:26'34.809,245.36
28,,,B,02'00.600,00'33.433,00'20.415,00'44.356,00'22.396,3,10,10:58'35.409,01:28'35.409,246.74
29,,,B,02'00.885,00'33.490,00'20.377,00'44.567,00'22.451,3,8,11:00'36.294,01:30'36.294,246.05
30,,,B,02'01.221,00'33.537,00'20.677,00'44.500,00'22.507,2,7,11:02'37.515,01:32'37.515,246.74
31,,,B,02'01.164,00'33.626,00'20.633,00'44.467,00'22.438,4,8,11:04'38.679,01:34'38.679,246.74
32,,P,B,02'05.861,00'33.555,00'20.613,00'44.629,00'27.064,11,14,11:06'44.540,01:36'44.540,245.36
