【Class:300  Car No:61  R&D SPORT SUBARU  タイム履歴データ】
LapNo,Best,Pit,Driver,LapTime,Sector1,Sector2,Sector3,Sector4,RankClass,Rank,TimeFired,Time,Speed
1,,,B,02'30.438,00'54.342,00'23.185,00'47.648,00'25.263,1,1,09:32'30.438,00:02'30.438,239.34
2,,P,B,02'15.395,00'36.035,00'21.765,00'46.689,00'30.906,20,28,09:34'45.833,00:04'45.833,232.38
3,,,B,06'31.309,04'59.601,00'21.909,00'47.171,00'22.628,27,42,09:41'17.142,00:11'17.142,241.98
4,,,B,01'59.104,00'32.911,00'20.135,00'43.896,00'22.162,10,24,09:43'16.246,00:13'16.246,245.36
5,,P,B,02'07.692,00'32.791,00'21.160,00'45.087,00'28.654,18,33,09:45'23.938,00:15'23.938,243.99
6,,,B,06'29.828,05'02.062,00'20.608,00'44.800,00'22.358,19,30,09:51'53.766,00:21'53.766,244.67
7,,,B,01'58.482,00'32.870,00'19.967,00'43.674,00'21.971,1,8,09:53'52.248,00:23'52.248,245.36
8,,P,B,02'04.714,00'33.214,00'20.096,00'44.048,00'27.356,11,22,09:55'56.962,00:25'56.962,245.36
9,,,B,10'55.416,09'28.574,00'20.220,00'44.342,00'22.280,27,41,10:06'52.378,00:36'52.378,238.69
10,,,B,01'59.346,00'33.049,00'19.913,00'44.192,00'22.192,4,12,10:08'51.724,00:38'51.724,241.98
11,,P,B,02'06.106,00'33.810,00'20.377,00'44.289,00'27.630,12,23,10:10'57.830,00:40'57.830,243.32
12,,,B,08'44.061,07'09.998,00'25.627,00'45.476,00'22.960,25,37,10:19'41.891,00:49'41.891,241.98
13,,,B,02'03.892,00'34.646,00'21.716,00'44.385,00'23.145,14,27,10:21'45.783,00:51'45.783,241.98
14,BL,,B,01'57.820,00'32.456,00'19.686,00'43.827,00'21.851,1,9,10:23'43.603,00:53'43.603,243.32
15,,P,B,02'05.481,00'34.166,00'20.382,00'43.904,00'27.029,12,22,10:25'49.084,00:55'49.084,243.99
16,,,A,05'44.654,04'16.190,00'20.788,00'44.816,00'22.860,20,31,10:31'33.738,01:01'33.738,241.98
17,,,A,02'00.150,00'33.270,00'20.078,00'44.397,00'22.405,2,12,10:33'33.888,01:03'33.888,246.05
18,,,A,02'00.230,00'33.249,00'20.265,00'44.309,00'22.407,2,10,10:35'34.118,01:05'34.118,246.05
19,,P,A,02'08.693,00'34.687,00'20.290,00'44.655,00'29.061,18,28,10:37'42.811,01:07'42.811,243.32
20,,,A,08'01.454,06'33.031,00'20.591,00'45.092,00'22.740,24,37,10:45'44.265,01:15'44.265,239.99
21,,,A,02'01.588,00'33.865,00'20.468,00'44.921,00'22.334,5,17,10:47'45.853,01:17'45.853,241.98
22,,,A,02'00.642,00'33.435,00'20.168,00'44.625,00'22.414,3,16,10:49'46.495,01:19'46.495,241.98
23,,,A,02'01.587,00'33.471,00'20.734,00'44.892,00'22.490,9,18,10:51'48.082,01:21'48.082,242.65
24,,,A,02'01.174,00'33.480,00'20.432,00'44.824,00'22.438,5,15,10:53'49.256,01:23'49.256,242.65
25,,,A,02'01.268,00'33.605,00'20.426,00'44.749,00'22.488,6,16,10:55'50.524,01:25'50.524,241.98
26,,,A,02'00.733,00'33.460,00'20.238,00'44.668,00'22.367,1,10,10:57'51.257,01:27'51.257,242.65
27,,,A,02'01.738,00'34.084,00'20.398,00'44.729,00'22.527,7,15,10:59'52.995,01:29'52.995,243.32
28,,,A,02'01.287,00'33.672,00'20.434,00'44.837,00'22.344,4,12,11:01'54.282,01:31'54.282,
29,,,A,02'01.194,00'33.709,00'20.429,00'44.654,00'22.402,6,12,11:03'55.476,01:33'55.476,243.99
30,,,A,02'01.180,00'33.613,00'20.375,00'44.765,00'22.427,4,9,11:05'56.656,01:35'56.656,243.32
31,,P,A,02'08.581,00'34.291,00'20.828,00'45.108,00'28.354,11,15,11:08'05.237,01:38'05.237,242.65
